UserID,Risk_Level,Year,Portfolio_Performance,Stock_Count,Buy&Hold_CAGR,Portfolio_CAGR
1,low,2021,-14.531%,3,25.398%,10.867%
2,medium,2021,47.163%,3,42.219%,89.382%
3,low,2021,-17.833%,3,42.74%,24.907%
4,medium,2021,28.153%,3,3.871%,32.024%
5,medium,2021,28.153%,3,3.871%,32.024%
6,medium,2021,28.153%,3,3.871%,32.024%
7,medium,2021,9.025%,3,-2.009%,7.016%
8,medium,2021,28.153%,3,3.871%,32.024%
9,low,2021,-17.833%,3,42.74%,24.907%
10,medium,2021,45.859%,3,14.216%,60.075%
11,low,2021,-17.833%,3,42.74%,24.907%
12,medium,2021,44.657%,3,8.345%,53.003%
13,low,2021,6.478%,3,8.08%,14.558%
14,medium,2021,28.153%,3,3.871%,32.024%
15,low,2021,-24.758%,3,40.714%,15.956%
16,medium,2021,40.825%,3,6.598%,47.423%
17,low,2021,-0.468%,3,29.875%,29.407%
18,low,2021,-17.833%,3,42.74%,24.907%
19,medium,2021,28.153%,3,3.871%,32.024%
20,medium,2021,22.038%,3,3.591%,25.629%
21,high,2021,28.781%,3,-12.585%,16.196%
22,medium,2021,20.52%,3,50.956%,71.475%
23,low,2021,-14.531%,3,25.398%,10.867%
24,low,2021,6.478%,3,8.08%,14.558%
25,medium,2021,28.102%,3,2.264%,30.366%
26,medium,2021,31.182%,3,8.754%,39.936%
27,low,2021,-12.6%,3,64.441%,51.84%
28,medium,2021,28.153%,3,3.871%,32.024%
29,medium,2021,22.038%,3,3.591%,25.629%
30,low,2021,8.31%,3,-8.108%,0.202%
31,medium,2021,23.061%,3,7.436%,30.497%
32,low,2021,2.835%,3,12.533%,15.368%
33,medium,2021,54.966%,3,5.24%,60.207%
34,medium,2021,40.825%,3,6.598%,47.423%
35,medium,2021,25.87%,3,5.338%,31.208%
36,high,2021,19.697%,3,53.138%,72.835%
37,medium,2021,28.153%,3,3.871%,32.024%
38,high,2021,107.82%,3,6.465%,114.285%
39,low,2021,-21.476%,3,47.193%,25.717%
40,high,2021,19.697%,3,53.138%,72.835%
41,medium,2021,32.726%,3,32.532%,65.258%
42,medium,2021,22.933%,3,28.413%,51.346%
43,medium,2021,54.966%,3,5.24%,60.207%
44,medium,2021,32.183%,3,-0.695%,31.489%
45,medium,2021,28.153%,3,3.871%,32.024%
46,medium,2021,44.657%,3,8.345%,53.003%
47,medium,2021,60.02%,3,4.52%,64.54%
48,medium,2021,20.039%,3,56.223%,76.261%
49,medium,2021,28.153%,3,3.871%,32.024%
