Sector,Stock,Model,Volatility
Semiconductors,AMD,TWAP,153.05928468593936
Semiconductors,AMD,[5]SVR,115.58402711365235
Semiconductors,AMD,CAT,107.80300161471784
Semiconductors,AMD,CNN_LSTM_CLASS,106.60597667065744
Entertainment,NFLX,CAT,102.72487031363136
Semiconductors,AMD,CNN_LSTM_REG,96.31024622838127
Entertainment,NFLX,CNN_LSTM_CLASS,88.8773637151349
Retail,BBY,TWAP,87.62354434630868
Semiconductors,AMD,[5]SVC,85.9764078105151
Entertainment,NFLX,[5]SVC,82.60265581456233
Entertainment,NFLX,TWAP,80.41389426259738
Entertainment,NFLX,XGB,75.99532347767321
Semiconductors,AMD,XGB,73.72523125639907
Semiconductors,NVDA,TWAP,68.19601405751904
Blockchain,NVDA,TWAP,68.19601405751904
Social Media,TWTR,XGB,65.51484737574121
Retail,BBY,[5]SVC,63.27902307957008
Retail,BBY,CNN_LSTM_CLASS,61.91039569602263
Semiconductors,MU,TWAP,57.24243514170568
Social Media,TWTR,CAT,56.1851871641153
Semiconductors,MU,[5]SVR,53.87976424631139
Entertainment,NFLX,CNN_LSTM_REG,53.76663011837095
Semiconductors,MU,[5]SVC,51.24627512596125
Blockchain,FB,XGB,49.71934188163453
Social Media,FB,XGB,49.71934188163453
Entertainment,FB,XGB,49.71934188163453
Semiconductors,MU,CAT,48.83584568541354
Entertainment,NFLX,[5]SVR,48.57286411744142
Telecommunication,TMUS,XGB,47.75388465873745
Semiconductors,MU,XGB,45.820559068319255
Semiconductors,MU,CNN_LSTM_CLASS,45.24497346456868
Retail,BBY,[5]SVR,44.93788692130929
Social Media,TWTR,[5]SVR,43.3479579296034
Blockchain,NVDA,XGB,42.611077757069786
Semiconductors,NVDA,XGB,42.611077757069786
Telecommunication,TMUS,[5]SVR,42.02401167359986
Semiconductors,NVDA,[5]SVC,41.63974800939259
Blockchain,NVDA,[5]SVC,41.63974800939259
Entertainment,FB,[5]SVC,40.84981634277069
Social Media,FB,[5]SVC,40.84981634277069
Blockchain,FB,[5]SVC,40.84981634277069
Social Media,TWTR,[5]SVC,40.75353273030451
Blockchain,NVDA,CNN_LSTM_CLASS,37.59606090055307
Semiconductors,NVDA,CNN_LSTM_CLASS,37.59606090055307
Airline,BA,[5]SVR,37.31802532671998
