,Sector,Stock,Range_Start,Range_End,Buy&Hold_Profit,WithModel_Profit,Buy&Hold_CAGR(in %),WithModel_CAGR(in %),CAGR_Performance(in %),Buy&Hold_MDD(in %),WithModel_MDD(in %),MDD_Performance(in %)
0,BlockChain,COIN,20210101,20211231,-1603.28,5431.14,-16.03,54.31,70.34,-42.04,-44.91,-2.86
1,BlockChain,NVDA,20120101,20121231,-1543.03,1763.08,-15.43,17.63,33.06,-29.79,-21.47,8.32
2,BlockChain,NVDA,20130101,20131231,3261.18,4647.11,32.61,46.47,13.86,-27.53,-32.17,-4.64
3,BlockChain,NVDA,20140101,20141231,3133.62,6154.57,31.34,61.55,30.21,-28.47,-39.37,-10.9
4,BlockChain,NVDA,20150101,20151231,6946.15,7428.59,69.46,74.29,4.82,-43.67,-47.06,-3.39
5,BlockChain,NVDA,20160101,20161231,27193.07,20409.73,271.93,204.1,-67.83,-79.48,-71.35,8.13
6,BlockChain,NVDA,20170101,20171231,8780.24,11534.08,87.8,115.34,27.54,-55.94,-56.51,-0.58
7,BlockChain,NVDA,20180101,20181231,-3761.52,2958.32,-37.62,29.58,67.2,-56.23,-30.1,26.14
8,BlockChain,NVDA,20190101,20191231,6319.22,3674.07,63.19,36.74,-26.45,-44.23,-33.78,10.45
9,BlockChain,NVDA,20200101,20201231,11264.37,3058.06,112.64,30.58,-82.06,-66.0,-44.32,21.68
10,BlockChain,NVDA,20210101,20211231,11464.65,12826.81,114.65,128.27,13.62,-63.82,-64.57,-0.74
11,BlockChain,FB,20120101,20121231,-1678.75,5368.56,-16.79,53.69,70.47,-44.98,-42.36,2.62
12,BlockChain,FB,20130101,20131231,7662.53,14447.04,76.63,144.47,67.85,-60.58,-63.68,-3.1
13,BlockChain,FB,20140101,20141231,3892.63,1158.59,38.93,11.59,-27.34,-34.12,-23.81,10.31
14,BlockChain,FB,20150101,20151231,3599.5,2445.11,35.99,24.45,-11.54,-31.95,-27.99,3.96
15,BlockChain,FB,20160101,20161231,1754.55,3255.79,17.55,32.56,15.01,-30.46,-26.96,3.51
16,BlockChain,FB,20170101,20171231,4287.03,3350.37,42.87,33.5,-9.37,-32.24,-27.46,4.77
17,BlockChain,FB,20180101,20181231,-2786.92,2529.04,-27.87,25.29,53.16,-42.93,-31.13,11.8
18,BlockChain,FB,20190101,20191231,4198.2,5197.17,41.98,51.97,9.99,-31.95,-36.48,-4.53
19,BlockChain,FB,20200101,20201231,2371.07,4292.12,23.71,42.92,19.21,-53.44,-39.99,13.46
20,BlockChain,FB,20210101,20211231,3277.75,3981.89,32.78,39.82,7.04,-35.05,-30.83,4.22
21,Airline,BA,20120101,20121231,212.94,1106.42,2.13,11.06,8.93,-12.52,-16.86,-4.35
22,Airline,BA,20130101,20131231,8041.98,2177.51,80.42,21.78,-58.64,-49.12,-28.46,20.66
23,Airline,BA,20140101,20141231,-521.72,2297.37,-5.22,22.97,28.19,-15.67,-18.39,-2.72
24,Airline,BA,20150101,20151231,1306.53,3617.51,13.07,36.18,23.11,-19.46,-30.29,-10.83
25,Airline,BA,20160101,20161231,2270.6,1913.08,22.71,19.13,-3.58,-35.51,-23.66,11.85
26,Airline,BA,20170101,20171231,9043.4,5704.92,90.43,57.05,-33.38,-48.68,-37.44,11.25
27,Airline,BA,20180101,20181231,287.39,1488.38,2.87,14.88,12.01,-23.23,-27.99,-4.76
28,Airline,BA,20190101,20191231,-387.68,4243.5,-3.88,42.44,46.31,-26.89,-32.89,-6.0
29,Airline,BA,20200101,20201231,-3407.7,3530.49,-34.08,35.3,69.38,-71.42,-46.61,24.82
30,Airline,BA,20210101,20211231,-218.56,2867.96,-2.19,28.68,30.87,-31.38,-27.38,4.01
31,Airline,GD,20120101,20121231,2.48,885.55,0.02,8.86,8.83,-15.93,-14.6,1.33
32,Airline,GD,20130101,20131231,3618.33,2856.99,36.18,28.57,-7.61,-33.03,-26.65,6.38
33,Airline,GD,20140101,20141231,4876.75,5271.19,48.77,52.71,3.94,-36.26,-35.58,0.68
