,Sector,Stock,CAGR_Performance(in %),MDD_Performance(in %)
0,Airline,BA,22.741806478482793,7.522280239395498
1,Airline,GD,11.880256530820168,5.771033991697963
2,Airline,LMT,13.439046167967497,2.932379173819037
3,BlockChain,FB,21.071359596335856,6.423434773212404
4,BlockChain,NVDA,37.59606090055307,11.60599619244499
5,Cloud Computing,AMZN,33.48590151093442,10.638679205526184
6,Cloud Computing,CRM,13.544213665234457,6.376868166980373
7,Cloud Computing,GOOG,15.314439917933662,5.560811091918157
8,Cloud Computing,IBM,14.883304644562548,6.5601263054042755
9,Energy & Resources,DD,22.923660058467767,7.2884928875199275
10,Entertainment,DIS,13.429283922334307,5.923776144447374
11,Entertainment,FB,21.071359596335856,6.423434773212404
12,Entertainment,NFLX,88.8773637151349,9.789999513595008
13,Franchise,DPZ,16.559306978827575,3.3966965744746203
14,Franchise,MCD,8.68029322524248,3.9493073533758514
15,Franchise,SBUX,15.561001314335845,5.582147137676206
16,Franchise,YUM,10.70635147493122,3.253396759725207
17,Luxury goods,EL,12.282841496905153,2.916764352105649
18,Luxury goods,PVH,25.821297319036763,9.480363665919956
19,Luxury goods,RACE,32.471813803153445,7.944672743417439
20,Real Estate,AVB,11.064439821853998,4.56716438024629
21,Real Estate,EQR,14.313905826153812,4.255210251646125
22,Real Estate,HST,17.38930774382706,5.740401927192406
23,Real Estate,PLD,11.06236627575889,4.100405322589928
24,Real Estate,SPG,7.998370072053669,2.0044034856618405
25,Retail,BBY,61.910395696022626,7.244795833332135
26,Retail,COST,9.63845052751886,5.483541608434148
27,Retail,HD,20.45056396940355,6.996270094707267
28,Retail,TGT,16.028926678857523,6.193933668171971
29,Retail,WMT,11.090624311509593,2.4400663535084064
30,Semiconductors,AMD,106.60597667065745,11.24552927040024
31,Semiconductors,INTC,13.582970956311437,7.5497196415937635
32,Semiconductors,MU,45.24497346456868,8.713102886157255
33,Semiconductors,NVDA,37.59606090055307,11.60599619244499
34,Semiconductors,QCOM,18.89574265479371,3.878450844394054
35,Social Media,FB,21.071359596335856,6.423434773212404
36,Social Media,SNAP,24.388112883124027,13.944145724998718
37,Social Media,TWTR,27.608302676308565,12.44730278681557
38,Telecommunication,CHTR,23.63850531089759,9.037309176013464
39,Telecommunication,CMCSA,10.391510500220383,4.774480275879449
40,Telecommunication,T,9.744189233051861,3.9865804657028825
41,Telecommunication,TMUS,23.579530973969373,5.181283165210645
42,Telecommunication,VZ,6.665372850643483,3.9795130116037827
43,Traveling,BKNG,19.09081005540175,6.7581721253746165
44,Traveling,MAR,16.333009229048713,6.016797122975613
