,Sector,Stock,Range_Start,Range_End,Buy&Hold_Profit,WithModel_Profit,Buy&Hold_CAGR(in %),WithModel_CAGR(in %),CAGR_Performance(in %),Buy&Hold_MDD(in %),WithModel_MDD(in %),MDD_Performance(in %)
0,BlockChain,COIN,20210101,20211231,-1762.85,5924.69,-17.63,59.25,76.88,-42.04,-46.09,-4.05
1,BlockChain,NVDA,20120101,20121231,-1779.99,4781.62,-17.8,47.82,65.62,-29.79,-36.88,-7.09
2,BlockChain,NVDA,20130101,20131231,2978.12,7945.93,29.78,79.46,49.68,-27.53,-44.69,-17.16
3,BlockChain,NVDA,20140101,20141231,2880.98,6577.14,28.81,65.77,36.96,-28.47,-41.99,-13.52
4,BlockChain,NVDA,20150101,20151231,6994.78,8684.26,69.95,86.84,16.89,-43.67,-49.37,-5.7
5,BlockChain,NVDA,20160101,20161231,27880.18,27045.9,278.8,270.46,-8.34,-79.48,-73.15,6.33
6,BlockChain,NVDA,20170101,20171231,8452.01,17130.29,84.52,171.3,86.78,-55.94,-65.21,-9.28
7,BlockChain,NVDA,20180101,20181231,-3879.29,7949.93,-38.79,79.5,118.29,-56.23,-52.06,4.18
8,BlockChain,NVDA,20190101,20191231,6312.14,8367.1,63.12,83.67,20.55,-44.23,-45.81,-1.58
9,BlockChain,NVDA,20200101,20201231,11545.53,12713.04,115.46,127.13,11.68,-66.0,-62.31,3.7
10,BlockChain,NVDA,20210101,20211231,12030.4,21113.8,120.3,211.14,90.83,-63.82,-70.96,-7.14
11,BlockChain,FB,20120101,20121231,-2035.08,7803.65,-20.35,78.04,98.39,-45.05,-48.37,-3.33
12,BlockChain,FB,20130101,20131231,8210.22,20911.13,82.1,209.11,127.01,-60.58,-68.31,-7.73
13,BlockChain,FB,20140101,20141231,3544.61,5419.67,35.45,54.2,18.75,-34.12,-39.57,-5.45
14,BlockChain,FB,20150101,20151231,3525.63,3685.56,35.26,36.86,1.6,-31.95,-33.34,-1.39
15,BlockChain,FB,20160101,20161231,1900.88,4924.49,19.01,49.24,30.24,-30.46,-33.9,-3.43
16,BlockChain,FB,20170101,20171231,4249.41,4420.5,42.49,44.2,1.71,-32.24,-32.72,-0.48
17,BlockChain,FB,20180101,20181231,-2825.91,4451.58,-28.26,44.52,72.77,-42.93,-34.28,8.65
18,BlockChain,FB,20190101,20191231,4207.17,6547.94,42.07,65.48,23.41,-31.95,-41.34,-9.39
19,BlockChain,FB,20200101,20201231,2445.81,8585.94,24.46,85.86,61.4,-53.44,-51.45,2.0
20,BlockChain,FB,20210101,20211231,3131.38,7072.41,31.31,70.72,39.41,-35.05,-42.6,-7.55
21,Airline,BA,20120101,20121231,171.77,1825.35,1.72,18.25,16.54,-12.52,-19.9,-7.38
22,Airline,BA,20130101,20131231,8518.68,6694.91,85.19,66.95,-18.24,-49.12,-41.98,7.14
23,Airline,BA,20140101,20141231,-438.74,3357.49,-4.39,33.57,37.96,-15.67,-22.67,-7.01
24,Airline,BA,20150101,20151231,1354.71,4297.94,13.55,42.98,29.43,-19.46,-33.47,-14.01
25,Airline,BA,20160101,20161231,2353.76,4414.33,23.54,44.14,20.61,-35.51,-31.38,4.13
26,Airline,BA,20170101,20171231,9079.59,7144.58,90.8,71.45,-19.35,-48.68,-41.86,6.82
27,Airline,BA,20180101,20181231,504.64,5759.35,5.05,57.59,52.55,-23.23,-40.45,-17.22
28,Airline,BA,20190101,20191231,-287.58,4642.61,-2.88,46.43,49.3,-26.89,-35.18,-8.29
29,Airline,BA,20200101,20201231,-3506.89,11891.13,-35.07,118.91,153.98,-71.42,-56.39,15.03
30,Airline,BA,20210101,20211231,-45.64,6613.94,-0.46,66.14,66.6,-31.38,-40.76,-9.38
31,Airline,GD,20120101,20121231,-26.69,2021.63,-0.27,20.22,20.48,-15.93,-18.29,-2.35
32,Airline,GD,20130101,20131231,3709.92,4410.8,37.1,44.11,7.01,-33.03,-32.53,0.51
33,Airline,GD,20140101,20141231,4937.26,7369.56,49.37,73.7,24.32,-36.26,-42.64,-6.39
34,Airline,GD,20150101,20151231,199.86,2412.03,2.0,24.12,22.12,-14.13,-21.04,-6.91
35,Airline,GD,20160101,20161231,3469.84,5322.83,34.7,53.23,18.53,-32.12,-36.39,-4.28
36,Airline,GD,20170101,20171231,1707.42,1847.64,17.07,18.48,1.4,-19.36,-17.74,1.63
37,Airline,GD,20180101,20181231,-2250.85,2928.28,-22.51,29.28,51.79,-34.64,-26.05,8.59
38,Airline,GD,20190101,20191231,1290.45,3658.68,12.9,36.59,23.68,-18.94,-29.29,-10.35
39,Airline,GD,20200101,20201231,-1553.51,3222.94,-15.54,32.23,47.76,-40.67,-27.47,13.21
40,Airline,GD,20210101,20211231,4153.63,3767.33,41.54,37.67,-3.86,-30.8,-28.91,1.89
41,Airline,LMT,20120101,20121231,1787.95,1968.49,17.88,19.68,1.81,-17.95,-19.53,-1.58
42,Airline,LMT,20130101,20131231,6466.92,5816.4,64.67,58.16,-6.51,-44.49,-38.73,5.76
43,Airline,LMT,20140101,20141231,3466.77,5900.43,34.67,59.0,24.34,-28.29,-37.66,-9.37
