,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Hold,62.772,0,0,0,10000,0.0,10000.0
20130109,Hold,64.464,0,0,0,10000,0.0,10000.0
20130110,Hold,63.434,0,0,0,10000,0.0,10000.0
20130111,Hold,63.036,0,0,0,10000,0.0,10000.0
20130114,Hold,63.861,0,0,0,10000,0.0,10000.0
20130115,Hold,61.882,0,0,0,10000,0.0,10000.0
20130116,Hold,60.984,0,0,0,10000,0.0,10000.0
20130117,Hold,62.979,0,0,0,10000,0.0,10000.0
20130118,Hold,62.11,0,0,0,10000,0.0,10000.0
20130122,Hold,61.997,0,0,0,10000,0.0,10000.0
20130123,Hold,62.351,0,0,0,10000,0.0,10000.0
20130124,Buy,63.089,158,-9973.046031,158,26.954,-4.984,9995.016
20130125,Sell,61.926,-158,9779.415846000002,0,9806.37,-193.63,9806.37
20130128,Hold,62.211,0,0,0,9806.37,-193.63,9806.37
20130129,Hold,62.359,0,0,0,9806.37,-193.63,9806.37
20130130,Hold,62.428,0,0,0,9806.37,-193.63,9806.37
20130131,Hold,62.418,0,0,0,9806.37,-193.63,9806.37
20130201,Buy,62.25,157,-9778.136625,157,28.233,-198.517,9801.483
20130204,Hold,63.456,0,0,157,28.233,-9.175,9990.825
20130205,Hold,63.238,0,0,157,28.233,-43.401,9956.599
20130206,Hold,63.952,0,0,157,28.233,68.697,10068.697
20130207,Hold,64.722,0,0,157,28.233,189.587,10189.587
20130208,Sell,64.054,-157,10051.449761000002,0,10079.683,79.683,10079.683
20130211,Hold,63.733,0,0,0,10079.683,79.683,10079.683
20130212,Hold,63.814,0,0,0,10079.683,79.683,10079.683
20130213,Hold,62.988,0,0,0,10079.683,79.683,10079.683
20130214,Hold,63.468,0,0,0,10079.683,79.683,10079.683
20130215,Hold,63.24,0,0,0,10079.683,79.683,10079.683
20130219,Hold,63.788,0,0,0,10079.683,79.683,10079.683
20130220,Buy,63.215,159,-10056.210592500001,159,23.472,74.657,10074.657
20130221,Hold,64.683,0,0,159,23.472,308.069,10308.069
20130222,Hold,64.793,0,0,159,23.472,325.559,10325.559
20130225,Sell,63.613,-159,10109.4097665,0,10132.882,132.882,10132.882
20130226,Hold,63.696,0,0,0,10132.882,132.882,10132.882
20130227,Buy,65.137,155,-10101.2831175,155,31.599,127.834,10127.834
20130228,Hold,64.683,0,0,155,31.599,57.464,10057.464
20130301,Hold,64.742,0,0,155,31.599,66.609,10066.609
20130304,Hold,65.314,0,0,155,31.599,155.269,10155.269
20130305,Hold,66.346,0,0,155,31.599,315.229,10315.229
20130306,Hold,66.936,0,0,155,31.599,406.679,10406.679
20130307,Hold,68.386,0,0,155,31.599,631.429,10631.429
20130308,Hold,68.32,0,0,155,31.599,621.199,10621.199
20130311,Hold,70.081,0,0,155,31.599,894.154,10894.154
20130312,Hold,71.16,0,0,155,31.599,1061.399,11061.399
20130313,Hold,71.361,0,0,155,31.599,1092.554,11092.554
20130314,Hold,71.472,0,0,155,31.599,1109.759,11109.759
20130315,Hold,71.74,0,0,155,31.599,1151.299,11151.299
20130318,Hold,72.13,0,0,155,31.599,1211.749,11211.749
20130319,Sell,72.401,-155,11216.5439225,0,11248.143,1248.143,11248.143
20130320,Hold,71.854,0,0,0,11248.143,1248.143,11248.143
20130321,Hold,71.454,0,0,0,11248.143,1248.143,11248.143
20130322,Hold,71.707,0,0,0,11248.143,1248.143,11248.143
20130325,Buy,72.046,156,-11244.795588,156,3.347,1242.523,11242.523
20130326,Hold,72.316,0,0,156,3.347,1284.643,11284.643
20130327,Sell,72.872,-156,11362.347984,0,11365.695,1365.695,11365.695
20130328,Hold,72.189,0,0,0,11365.695,1365.695,11365.695
20130401,Hold,72.015,0,0,0,11365.695,1365.695,11365.695
20130402,Hold,71.093,0,0,0,11365.695,1365.695,11365.695
20130403,Hold,71.506,0,0,0,11365.695,1365.695,11365.695
20130404,Hold,70.926,0,0,0,11365.695,1365.695,11365.695
20130405,Buy,72.56,156,-11325.01968,156,40.676,1360.036,11360.036
20130408,Hold,73.47,0,0,156,40.676,1501.996,11501.996
20130409,Hold,73.658,0,0,156,40.676,1531.324,11531.324
20130410,Hold,74.179,0,0,156,40.676,1612.6,11612.6
20130411,Hold,74.456,0,0,156,40.676,1655.812,11655.812
20130412,Hold,74.583,0,0,156,40.676,1675.624,11675.624
20130415,Sell,73.751,-156,11499.403422000001,0,11540.079,1540.079,11540.079
20130416,Hold,72.919,0,0,0,11540.079,1540.079,11540.079
20130417,Hold,73.419,0,0,0,11540.079,1540.079,11540.079
20130418,Hold,73.851,0,0,0,11540.079,1540.079,11540.079
20130419,Buy,74.21,155,-11508.301274999998,155,31.778,1534.328,11534.328
20130422,Hold,73.663,0,0,155,31.778,1449.543,11449.543
20130423,Hold,77.375,0,0,155,31.778,2024.903,12024.903
20130424,Hold,77.038,0,0,155,31.778,1972.668,11972.668
20130425,Hold,77.493,0,0,155,31.778,2043.193,12043.193
