,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120109,Buy,54.933,181,-9947.8444365,181,52.156,-4.971,9995.029
20120110,Hold,54.772,0,0.0,181,52.156,-34.112,9965.888
20120111,Hold,55.384,0,0.0,181,52.156,76.66,10076.66
20120112,Hold,55.35,0,0.0,181,52.156,70.506,10070.506
20120113,Hold,56.191,0,0.0,181,52.156,222.727,10222.727
20120117,Hold,56.31,0,0.0,181,52.156,244.266,10244.266
20120118,Hold,56.993,0,0.0,181,52.156,367.889,10367.889
20120119,Hold,57.518,0,0.0,181,52.156,462.914,10462.914
20120120,Hold,57.484,0,0.0,181,52.156,456.76,10456.76
20120123,Sell,56.639,-181,10246.5331705,0,10298.689,298.689,10298.689
20120124,Hold,55.922,0,0.0,0,10298.689,298.689,10298.689
20120125,Hold,55.992,0,0.0,0,10298.689,298.689,10298.689
20120126,Hold,56.535,0,0.0,0,10298.689,298.689,10298.689
20120127,Hold,55.233,0,0.0,0,10298.689,298.689,10298.689
20120130,Hold,55.328,0,0.0,0,10298.689,298.689,10298.689
20120131,Hold,55.435,0,0.0,0,10298.689,298.689,10298.689
20120201,Buy,55.459,185,-10265.0449575,185,33.644,293.559,10293.559
20120202,Hold,55.662,0,0.0,185,33.644,331.114,10331.114
20120203,Hold,55.596,0,0.0,185,33.644,318.904,10318.904
20120206,Hold,56.095,0,0.0,185,33.644,411.219,10411.219
20120207,Hold,56.567,0,0.0,185,33.644,498.539,10498.539
20120208,Hold,56.935,0,0.0,185,33.644,566.619,10566.619
20120209,Sell,55.801,-185,10318.0234075,0,10351.667,351.667,10351.667
20120210,Hold,56.082,0,0.0,0,10351.667,351.667,10351.667
20120213,Hold,55.535,0,0.0,0,10351.667,351.667,10351.667
20120214,Hold,55.596,0,0.0,0,10351.667,351.667,10351.667
20120215,Buy,55.662,185,-10302.618734999998,185,49.048,346.518,10346.518
20120216,Hold,56.26,0,0.0,185,49.048,457.148,10457.148
20120217,Hold,56.499,0,0.0,185,49.048,501.363,10501.363
20120221,Hold,56.295,0,0.0,185,49.048,463.623,10463.623
