,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150108,Buy,159.36,62,-9885.260160000002,62,114.74,-4.94,9995.06
20150109,Hold,159.69,0,0.0,62,114.74,15.52,10015.52
20150112,Hold,160.18,0,0.0,62,114.74,45.9,10045.9
20150113,Sell,158.57,-62,9826.42433,0,9941.164,-58.836,9941.164
20150114,Hold,158.58,0,0.0,0,9941.164,-58.836,9941.164
20150115,Hold,156.72,0,0.0,0,9941.164,-58.836,9941.164
20150116,Buy,160.6,61,-9801.4983,61,139.666,-63.734,9936.266
20150120,Hold,159.27,0,0.0,61,139.666,-144.864,9855.136
20150121,Hold,160.92,0,0.0,61,139.666,-44.214,9955.786
20150122,Sell,161.72,-61,9859.98754,0,9999.653,-0.347,9999.653
20150123,Hold,160.27,0,0.0,0,9999.653,-0.347,9999.653
20150126,Hold,157.64,0,0.0,0,9999.653,-0.347,9999.653
20150127,Hold,156.68,0,0.0,0,9999.653,-0.347,9999.653
20150128,Hold,154.6,0,0.0,0,9999.653,-0.347,9999.653
20150129,Hold,154.99,0,0.0,0,9999.653,-0.347,9999.653
20150130,Hold,153.88,0,0.0,0,9999.653,-0.347,9999.653
20150202,Hold,155.48,0,0.0,0,9999.653,-0.347,9999.653
20150203,Buy,156.28,63,-9850.56282,63,149.091,-5.269,9994.731
20150204,Hold,157.71,0,0.0,63,149.091,84.821,10084.821
20150205,Hold,158.68,0,0.0,63,149.091,145.931,10145.931
20150206,Hold,158.74,0,0.0,63,149.091,149.711,10149.711
20150209,Hold,159.37,0,0.0,63,149.091,189.401,10189.401
20150210,Hold,159.41,0,0.0,63,149.091,191.921,10191.921
20150211,Hold,160.67,0,0.0,63,149.091,271.301,10271.301
20150212,Hold,161.14,0,0.0,63,149.091,300.911,10300.911
20150213,Hold,160.52,0,0.0,63,149.091,261.851,10261.851
20150217,Hold,161.37,0,0.0,63,149.091,315.401,10315.401
20150218,Hold,162.17,0,0.0,63,149.091,365.801,10365.801
20150219,Hold,164.06,0,0.0,63,149.091,484.871,10484.871
20150220,Hold,166.61,0,0.0,63,149.091,645.521,10645.521
