,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Buy,29.67,336,-9974.10456,336,25.895,-4.985,9995.015
20130109,Hold,30.6,0,0.0,336,25.895,307.495,10307.495
20130110,Hold,31.28,0,0.0,336,25.895,535.975,10535.975
20130111,Hold,32.08,0,0.0,336,25.895,804.775,10804.775
20130114,Sell,30.64,-336,10289.892480000002,0,10315.788,315.788,10315.788
20130115,Hold,30.21,0,0.0,0,10315.788,315.788,10315.788
20130116,Hold,30.08,0,0.0,0,10315.788,315.788,10315.788
20130117,Hold,30.32,0,0.0,0,10315.788,315.788,10315.788
20130118,Hold,29.75,0,0.0,0,10315.788,315.788,10315.788
20130122,Buy,31.1,331,-10299.24705,331,16.541,310.641,10310.641
20130123,Hold,31.27,0,0.0,331,16.541,366.911,10366.911
20130124,Hold,31.41,0,0.0,331,16.541,413.251,10413.251
20130125,Hold,31.88,0,0.0,331,16.541,568.821,10568.821
20130128,Hold,32.0,0,0.0,331,16.541,608.541,10608.541
20130129,Sell,30.98,-331,10249.252810000002,0,10265.794,265.794,10265.794
20130130,Hold,29.15,0,0.0,0,10265.794,265.794,10265.794
20130131,Hold,31.01,0,0.0,0,10265.794,265.794,10265.794
20130201,Hold,29.06,0,0.0,0,10265.794,265.794,10265.794
20130204,Hold,28.26,0,0.0,0,10265.794,265.794,10265.794
20130205,Hold,28.74,0,0.0,0,10265.794,265.794,10265.794
20130206,Hold,29.11,0,0.0,0,10265.794,265.794,10265.794
20130207,Hold,28.89,0,0.0,0,10265.794,265.794,10265.794
20130208,Hold,28.61,0,0.0,0,10265.794,265.794,10265.794
20130211,Hold,27.67,0,0.0,0,10265.794,265.794,10265.794
20130212,Hold,27.36,0,0.0,0,10265.794,265.794,10265.794
20130213,Hold,28.02,0,0.0,0,10265.794,265.794,10265.794
20130214,Buy,28.51,359,-10240.207545,359,25.586,260.676,10260.676
20130215,Hold,28.22,0,0.0,359,25.586,156.566,10156.566
20130219,Hold,28.92,0,0.0,359,25.586,407.866,10407.866
20130220,Sell,28.28,-359,10147.44374,0,10173.03,173.03,10173.03
20130221,Hold,27.62,0,0.0,0,10173.03,173.03,10173.03
20130222,Hold,27.16,0,0.0,0,10173.03,173.03,10173.03
20130225,Hold,27.36,0,0.0,0,10173.03,173.03,10173.03
20130226,Hold,27.34,0,0.0,0,10173.03,173.03,10173.03
20130227,Hold,26.84,0,0.0,0,10173.03,173.03,10173.03
20130228,Hold,27.05,0,0.0,0,10173.03,173.03,10173.03
20130301,Buy,27.76,366,-10165.24008,366,7.79,167.95,10167.95
20130304,Hold,27.88,0,0.0,366,7.79,211.87,10211.87
20130305,Hold,28.1,0,0.0,366,7.79,292.39,10292.39
20130306,Sell,27.57,-366,10085.574690000001,0,10093.364,93.364,10093.364
20130307,Buy,28.42,354,-10065.71034,354,27.654,88.334,10088.334
20130308,Sell,28.0,-354,9907.044,0,9934.698,-65.302,9934.698
20130311,Hold,28.1,0,0.0,0,9934.698,-65.302,9934.698
20130312,Hold,27.62,0,0.0,0,9934.698,-65.302,9934.698
20130313,Hold,27.1,0,0.0,0,9934.698,-65.302,9934.698
20130314,Hold,27.03,0,0.0,0,9934.698,-65.302,9934.698
20130315,Hold,26.37,0,0.0,0,9934.698,-65.302,9934.698
20130318,Hold,26.53,0,0.0,0,9934.698,-65.302,9934.698
20130319,Hold,26.68,0,0.0,0,9934.698,-65.302,9934.698
20130320,Hold,25.67,0,0.0,0,9934.698,-65.302,9934.698
20130321,Hold,25.8,0,0.0,0,9934.698,-65.302,9934.698
20130322,Hold,25.75,0,0.0,0,9934.698,-65.302,9934.698
20130325,Hold,25.08,0,0.0,0,9934.698,-65.302,9934.698
20130326,Hold,25.0,0,0.0,0,9934.698,-65.302,9934.698
20130327,Buy,26.09,380,-9919.1571,380,15.541,-70.259,9929.741
20130328,Sell,25.63,-380,9734.5303,0,9750.071,-249.929,9750.071
20130401,Hold,25.77,0,0.0,0,9750.071,-249.929,9750.071
20130402,Hold,25.83,0,0.0,0,9750.071,-249.929,9750.071
20130403,Buy,26.62,366,-9747.79146,366,2.28,-254.8,9745.2
20130404,Hold,26.87,0,0.0,366,2.28,-163.3,9836.7
20130405,Hold,27.19,0,0.0,366,2.28,-46.18,9953.82
20130408,Hold,26.58,0,0.0,366,2.28,-269.44,9730.56
20130409,Sell,27.0,-366,9877.059000000001,0,9879.339,-120.661,9879.339
20130410,Buy,27.48,359,-9870.252659999998,359,9.086,-125.594,9874.406
20130411,Hold,27.99,0,0.0,359,9.086,57.496,10057.496
20130412,Sell,27.16,-359,9745.56478,0,9754.651,-245.349,9754.651
20130415,Hold,26.81,0,0.0,0,9754.651,-245.349,9754.651
20130416,Hold,26.65,0,0.0,0,9754.651,-245.349,9754.651
20130417,Hold,26.81,0,0.0,0,9754.651,-245.349,9754.651
20130418,Hold,25.62,0,0.0,0,9754.651,-245.349,9754.651
20130419,Hold,25.81,0,0.0,0,9754.651,-245.349,9754.651
20130422,Hold,26.22,0,0.0,0,9754.651,-245.349,9754.651
20130423,Hold,25.92,0,0.0,0,9754.651,-245.349,9754.651
20130424,Buy,26.06,374,-9751.313219999998,374,3.338,-250.222,9749.778
