,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Hold,2.9101,0,0,0,10000,0.0,10000.0
20130109,Hold,2.848,0,0,0,10000,0.0,10000.0
20130110,Hold,2.8365,0,0,0,10000,0.0,10000.0
20130111,Hold,2.841,0,0,0,10000,0.0,10000.0
20130114,Hold,2.8059,0,0,0,10000,0.0,10000.0
20130115,Hold,2.7709,0,0,0,10000,0.0,10000.0
20130116,Buy,2.8033,3565,-9998.76138225,3565,1.239,-4.997,9995.003
20130117,Hold,2.8316,0,0,3565,1.239,95.893,10095.893
20130118,Hold,2.8109,0,0,3565,1.239,22.097,10022.097
20130122,Hold,2.8083,0,0,3565,1.239,12.828,10012.828
20130123,Hold,2.7939,0,0,3565,1.239,-38.508,9961.492
20130124,Hold,2.8219,0,0,3565,1.239,61.312,10061.312
20130125,Hold,2.8822,0,0,3565,1.239,276.282,10276.282
20130128,Hold,2.9029,0,0,3565,1.239,350.077,10350.077
20130129,Sell,2.855,-3565,10172.9859625,0,10174.225,174.225,10174.225
20130130,Hold,2.848,0,0,0,10174.225,174.225,10174.225
20130131,Hold,2.8458,0,0,0,10174.225,174.225,10174.225
20130201,Buy,2.8432,3576,-10172.3668416,3576,1.858,169.141,10169.141
20130204,Sell,2.8243,-3576,10094.6469516,0,10096.505,96.505,10096.505
20130205,Buy,2.8059,3596,-10095.061408199997,3596,1.443,91.46,10091.46
20130206,Hold,2.8432,0,0,3596,1.443,225.59,10225.59
20130207,Hold,2.8596,0,0,3596,1.443,284.565,10284.565
20130208,Hold,2.8822,0,0,3596,1.443,365.834,10365.834
20130211,Hold,2.8664,0,0,3596,1.443,309.018,10309.018
20130212,Hold,2.8749,0,0,3596,1.443,339.584,10339.584
20130213,Hold,2.8199,0,0,3596,1.443,141.804,10141.804
20130214,Hold,2.9354,0,0,3596,1.443,557.142,10557.142
20130215,Hold,2.9444,0,0,3596,1.443,589.506,10589.506
20130219,Sell,2.9127,-3596,10468.832165400001,0,10470.275,470.275,10470.275
20130220,Hold,2.8572,0,0,0,10470.275,470.275,10470.275
20130221,Hold,2.8596,0,0,0,10470.275,470.275,10470.275
20130222,Buy,2.9007,3607,-10468.056312449999,3607,2.219,465.044,10465.044
20130225,Sell,2.8492,-3607,10271.925867800002,0,10274.145,274.145,10274.145
20130226,Buy,2.8764,3570,-10273.882373999999,3570,0.263,269.011,10269.011
20130227,Hold,2.9211,0,0,3570,0.263,428.59,10428.59
20130228,Hold,2.9234,0,0,3570,0.263,436.801,10436.801
20130301,Hold,2.9369,0,0,3570,0.263,484.996,10484.996
20130304,Hold,2.9599,0,0,3570,0.263,567.106,10567.106
20130305,Hold,2.9949,0,0,3570,0.263,692.056,10692.056
20130306,Hold,2.9904,0,0,3570,0.263,675.991,10675.991
20130307,Hold,2.9766,0,0,3570,0.263,626.725,10626.725
20130308,Hold,2.9507,0,0,3570,0.263,534.262,10534.262
20130311,Sell,2.9484,-3570,10520.525106000001,0,10520.788,520.788,10520.788
20130312,Hold,2.9624,0,0,0,10520.788,520.788,10520.788
