,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150108,Hold,301.48,0,0,0,10000,0.0,10000.0
20150109,Hold,297.96,0,0,0,10000,0.0,10000.0
20150112,Hold,297.48,0,0,0,10000,0.0,10000.0
20150113,Hold,291.93,0,0,0,10000,0.0,10000.0
20150114,Hold,294.0,0,0,0,10000,0.0,10000.0
20150115,Hold,286.28,0,0,0,10000,0.0,10000.0
20150116,Buy,292.59,34,-9953.034029999999,34,46.966,-4.974,9995.026
20150120,Hold,289.64,0,0,34,46.966,-105.274,9894.726
20150121,Hold,300.3,0,0,34,46.966,257.166,10257.166
20150122,Hold,308.08,0,0,34,46.966,521.686,10521.686
20150123,Hold,312.0,0,0,34,46.966,654.966,10654.966
20150126,Hold,306.3,0,0,34,46.966,461.166,10461.166
20150127,Hold,309.81,0,0,34,46.966,580.506,10580.506
20150128,Hold,304.73,0,0,34,46.966,407.786,10407.786
20150129,Hold,346.32,0,0,34,46.966,1821.846,11821.846
20150130,Hold,350.05,0,0,34,46.966,1948.666,11948.666
20150202,Hold,360.25,0,0,34,46.966,2295.466,12295.466
20150203,Hold,358.38,0,0,34,46.966,2231.886,12231.886
20150204,Hold,366.0,0,0,34,46.966,2490.966,12490.966
20150205,Hold,374.87,0,0,34,46.966,2792.546,12792.546
20150206,Hold,371.0,0,0,34,46.966,2660.966,12660.966
20150209,Sell,370.89,-34,12603.954870000001,0,12650.921,2650.921,12650.921
20150210,Hold,371.23,0,0,0,12650.921,2650.921,12650.921
20150211,Buy,375.1,33,-12384.489150000001,33,266.432,2644.732,12644.732
20150212,Hold,378.31,0,0,33,266.432,2750.662,12750.662
20150213,Hold,377.72,0,0,33,266.432,2731.192,12731.192
20150217,Sell,373.78,-33,12328.57263,0,12595.004,2595.004,12595.004
20150218,Hold,373.43,0,0,0,12595.004,2595.004,12595.004
20150219,Hold,378.62,0,0,0,12595.004,2595.004,12595.004
20150220,Buy,383.4,32,-12274.934399999998,32,320.07,2588.87,12588.87
20150223,Hold,378.65,0,0,32,320.07,2436.87,12436.87
20150224,Sell,377.27,-32,12066.60368,0,12386.674,2386.674,12386.674
20150225,Hold,384.07,0,0,0,12386.674,2386.674,12386.674
20150226,Hold,384.0,0,0,0,12386.674,2386.674,12386.674
20150227,Hold,380.85,0,0,0,12386.674,2386.674,12386.674
20150302,Hold,384.0,0,0,0,12386.674,2386.674,12386.674
20150303,Hold,385.9,0,0,0,12386.674,2386.674,12386.674
20150304,Hold,385.61,0,0,0,12386.674,2386.674,12386.674
20150305,Hold,385.52,0,0,0,12386.674,2386.674,12386.674
20150306,Hold,378.4,0,0,0,12386.674,2386.674,12386.674
20150309,Hold,377.45,0,0,0,12386.674,2386.674,12386.674
20150310,Hold,370.61,0,0,0,12386.674,2386.674,12386.674
20150311,Hold,368.72,0,0,0,12386.674,2386.674,12386.674
20150312,Hold,371.85,0,0,0,12386.674,2386.674,12386.674
20150313,Hold,370.38,0,0,0,12386.674,2386.674,12386.674
20150316,Buy,371.11,33,-12252.753315,33,133.92,2380.55,12380.55
20150317,Hold,369.97,0,0,33,133.92,2342.93,12342.93
20150318,Hold,373.87,0,0,33,133.92,2471.63,12471.63
20150319,Sell,376.29,-33,12411.361215000003,0,12545.282,2545.282,12545.282
20150320,Buy,378.07,33,-12482.548154999999,33,62.733,2539.043,12539.043
