,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Buy,1256.9,7,-8802.69915,7,1197.301,-4.399,9995.601
20180109,Hold,1245.15,0,0.0,7,1197.301,-86.649,9913.351
20180110,Hold,1259.74,0,0.0,7,1197.301,15.481,10015.481
20180111,Hold,1273.39,0,0.0,7,1197.301,111.031,10111.031
20180112,Hold,1323.0,0,0.0,7,1197.301,458.301,10458.301
20180116,Hold,1312.24,0,0.0,7,1197.301,382.981,10382.981
20180117,Hold,1293.95,0,0.0,7,1197.301,254.951,10254.951
20180118,Hold,1312.0,0,0.0,7,1197.301,381.301,10381.301
20180119,Hold,1297.17,0,0.0,7,1197.301,277.491,10277.491
20180122,Hold,1338.09,0,0.0,7,1197.301,563.931,10563.931
20180123,Hold,1374.82,0,0.0,7,1197.301,821.041,10821.041
20180124,Hold,1368.0,0,0.0,7,1197.301,773.301,10773.301
20180125,Hold,1392.01,0,0.0,7,1197.301,941.371,10941.371
20180126,Hold,1409.18,0,0.0,7,1197.301,1061.561,11061.561
20180129,Hold,1403.17,0,0.0,7,1197.301,1019.491,11019.491
20180130,Hold,1451.3,0,0.0,7,1197.301,1356.401,11356.401
20180131,Hold,1445.0,0,0.0,7,1197.301,1312.301,11312.301
20180201,Sell,1477.39,-7,10336.559135000001,0,11533.86,1533.86,11533.86
20180202,Hold,1402.62,0,0.0,0,11533.86,1533.86,11533.86
20180205,Hold,1361.46,0,0.0,0,11533.86,1533.86,11533.86
20180206,Hold,1449.0,0,0.0,0,11533.86,1533.86,11533.86
20180207,Hold,1429.68,0,0.0,0,11533.86,1533.86,11533.86
20180208,Hold,1373.49,0,0.0,0,11533.86,1533.86,11533.86
20180209,Hold,1364.67,0,0.0,0,11533.86,1533.86,11533.86
20180212,Hold,1385.93,0,0.0,0,11533.86,1533.86,11533.86
20180213,Buy,1406.25,8,-11255.625,8,278.235,1528.235,11528.235
20180214,Hold,1466.89,0,0.0,8,278.235,2013.355,12013.355
20180215,Hold,1457.37,0,0.0,8,278.235,1937.195,11937.195
20180216,Hold,1446.49,0,0.0,8,278.235,1850.155,11850.155
20180220,Hold,1485.0,0,0.0,8,278.235,2158.235,12158.235
20180221,Hold,1495.36,0,0.0,8,278.235,2241.115,12241.115
20180222,Hold,1495.34,0,0.0,8,278.235,2240.955,12240.955
20180223,Hold,1509.2,0,0.0,8,278.235,2351.835,12351.835
20180226,Hold,1524.5,0,0.0,8,278.235,2474.235,12474.235
20180227,Hold,1519.51,0,0.0,8,278.235,2434.315,12434.315
20180228,Sell,1513.6,-8,12102.7456,0,12380.981,2380.981,12380.981
20180301,Hold,1469.1,0,0.0,0,12380.981,2380.981,12380.981
20180302,Buy,1494.24,8,-11959.89696,8,421.084,2375.004,12375.004
20180305,Hold,1533.2,0,0.0,8,421.084,2686.684,12686.684
20180306,Hold,1526.52,0,0.0,8,421.084,2633.244,12633.244
20180307,Hold,1550.0,0,0.0,8,421.084,2821.084,12821.084
20180308,Hold,1563.5,0,0.0,8,421.084,2929.084,12929.084
20180309,Hold,1592.6,0,0.0,8,421.084,3161.884,13161.884
20180312,Hold,1615.96,0,0.0,8,421.084,3348.764,13348.764
20180313,Hold,1597.0,0,0.0,8,421.084,3197.084,13197.084
20180314,Sell,1595.0,-8,12753.62,0,13174.704,3174.704,13174.704
20180315,Hold,1583.45,0,0.0,0,13174.704,3174.704,13174.704
20180316,Hold,1554.53,0,0.0,0,13174.704,3174.704,13174.704
20180319,Hold,1550.34,0,0.0,0,13174.704,3174.704,13174.704
20180320,Hold,1586.45,0,0.0,0,13174.704,3174.704,13174.704
20180321,Hold,1565.47,0,0.0,0,13174.704,3174.704,13174.704
20180322,Hold,1539.01,0,0.0,0,13174.704,3174.704,13174.704
20180323,Hold,1530.0,0,0.0,0,13174.704,3174.704,13174.704
20180326,Hold,1572.4,0,0.0,0,13174.704,3174.704,13174.704
20180327,Hold,1447.0,0,0.0,0,13174.704,3174.704,13174.704
20180328,Hold,1406.0,0,0.0,0,13174.704,3174.704,13174.704
20180329,Hold,1417.62,0,0.0,0,13174.704,3174.704,13174.704
20180402,Hold,1391.38,0,0.0,0,13174.704,3174.704,13174.704
20180403,Hold,1358.24,0,0.0,0,13174.704,3174.704,13174.704
20180404,Buy,1441.99,9,-12984.398954999999,9,190.305,3168.215,13168.215
20180405,Hold,1429.97,0,0.0,9,190.305,3060.035,13060.035
20180406,Sell,1425.03,-9,12818.857365000002,0,13009.162,3009.162,13009.162
20180409,Hold,1431.99,0,0.0,0,13009.162,3009.162,13009.162
20180410,Buy,1439.44,9,-12961.43748,9,47.725,3002.685,13002.685
20180411,Sell,1439.5,-9,12949.02225,0,12996.747,2996.747,12996.747
20180412,Buy,1449.14,8,-11598.91656,8,1397.83,2990.95,12990.95
20180413,Hold,1445.0,0,0.0,8,1397.83,2957.83,12957.83
20180416,Hold,1462.3,0,0.0,8,1397.83,3096.23,13096.23
20180417,Hold,1514.65,0,0.0,8,1397.83,3515.03,13515.03
20180418,Hold,1543.22,0,0.0,8,1397.83,3743.59,13743.59
20180419,Hold,1561.2,0,0.0,8,1397.83,3887.43,13887.43
20180420,Hold,1517.86,0,0.0,8,1397.83,3540.71,13540.71
20180423,Sell,1535.8,-8,12280.256800000001,0,13678.087,3678.087,13678.087
20180424,Hold,1458.0,0,0.0,0,13678.087,3678.087,13678.087
20180425,Hold,1485.01,0,0.0,0,13678.087,3678.087,13678.087
20180426,Buy,1634.01,8,-13078.616039999999,8,599.471,3671.551,13671.551
20180427,Hold,1582.5,0,0.0,8,599.471,3259.471,13259.471
20180430,Hold,1563.22,0,0.0,8,599.471,3105.231,13105.231
20180501,Hold,1580.98,0,0.0,8,599.471,3247.311,13247.311
20180502,Hold,1560.01,0,0.0,8,599.471,3079.551,13079.551
20180503,Sell,1562.45,-8,12493.3502,0,13092.821,3092.821,13092.821
20180504,Buy,1589.34,8,-12721.07736,8,371.744,3086.464,13086.464
20180507,Hold,1595.0,0,0.0,8,371.744,3131.744,13131.744
20180508,Hold,1600.0,0,0.0,8,371.744,3171.744,13171.744
20180509,Hold,1608.48,0,0.0,8,371.744,3239.584,13239.584
20180510,Hold,1610.99,0,0.0,8,371.744,3259.664,13259.664
20180511,Sell,1604.0,-8,12825.584,0,13197.328,3197.328,13197.328
20180514,Hold,1587.8,0,0.0,0,13197.328,3197.328,13197.328
20180515,Hold,1577.5,0,0.0,0,13197.328,3197.328,13197.328
20180516,Hold,1580.56,0,0.0,0,13197.328,3197.328,13197.328
20180517,Hold,1581.33,0,0.0,0,13197.328,3197.328,13197.328
20180518,Hold,1585.0,0,0.0,0,13197.328,3197.328,13197.328
20180521,Buy,1589.89,8,-12725.47956,8,471.848,3190.968,13190.968
20180522,Hold,1571.05,0,0.0,8,471.848,3040.248,13040.248
20180523,Hold,1598.03,0,0.0,8,471.848,3256.088,13256.088
20180524,Hold,1603.0,0,0.0,8,471.848,3295.848,13295.848
20180525,Hold,1600.71,0,0.0,8,471.848,3277.528,13277.528
20180529,Hold,1618.1,0,0.0,8,471.848,3416.648,13416.648
