,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160108,Hold,73.74,0,0,0,10000,0.0,10000.0
20160111,Hold,73.97,0,0,0,10000,0.0,10000.0
20160112,Buy,74.99,133,-9978.656835,133,21.343,-4.987,9995.013
20160113,Sell,72.42,-133,9627.044070000002,0,9648.387,-351.613,9648.387
20160114,Hold,69.87,0,0,0,9648.387,-351.613,9648.387
20160115,Hold,71.86,0,0,0,9648.387,-351.613,9648.387
20160119,Hold,69.13,0,0,0,9648.387,-351.613,9648.387
20160120,Hold,70.36,0,0,0,9648.387,-351.613,9648.387
20160121,Hold,70.45,0,0,0,9648.387,-351.613,9648.387
20160122,Hold,71.23,0,0,0,9648.387,-351.613,9648.387
20160125,Hold,69.96,0,0,0,9648.387,-351.613,9648.387
20160126,Hold,69.27,0,0,0,9648.387,-351.613,9648.387
20160127,Hold,66.88,0,0,0,9648.387,-351.613,9648.387
20160128,Hold,66.49,0,0,0,9648.387,-351.613,9648.387
20160129,Hold,67.59,0,0,0,9648.387,-351.613,9648.387
20160201,Hold,67.65,0,0,0,9648.387,-351.613,9648.387
20160202,Hold,65.42,0,0,0,9648.387,-351.613,9648.387
20160203,Hold,65.68,0,0,0,9648.387,-351.613,9648.387
20160204,Hold,63.11,0,0,0,9648.387,-351.613,9648.387
20160205,Hold,56.87,0,0,0,9648.387,-351.613,9648.387
20160208,Hold,53.61,0,0,0,9648.387,-351.613,9648.387
20160209,Hold,58.5,0,0,0,9648.387,-351.613,9648.387
20160210,Hold,57.19,0,0,0,9648.387,-351.613,9648.387
20160211,Buy,60.01,160,-9606.4008,160,41.986,-356.414,9643.586
20160212,Hold,60.68,0,0,160,41.986,-249.214,9750.786
20160216,Hold,60.38,0,0,160,41.986,-297.214,9702.786
20160217,Hold,63.48,0,0,160,41.986,198.786,10198.786
20160218,Sell,61.75,-160,9875.060000000001,0,9917.046,-82.954,9917.046
20160219,Buy,63.0,157,-9895.9455,157,21.101,-87.899,9912.101
20160222,Hold,63.72,0,0,157,21.101,25.141,10025.141
20160223,Hold,62.0,0,0,157,21.101,-244.899,9755.101
20160224,Hold,70.5,0,0,157,21.101,1089.601,11089.601
20160225,Hold,69.68,0,0,157,21.101,960.861,10960.861
20160226,Hold,69.13,0,0,157,21.101,874.511,10874.511
20160229,Hold,68.12,0,0,157,21.101,715.941,10715.941
20160301,Hold,69.68,0,0,157,21.101,960.861,10960.861
20160302,Hold,70.05,0,0,157,21.101,1018.951,11018.951
20160303,Hold,71.18,0,0,157,21.101,1196.361,11196.361
20160304,Hold,70.5,0,0,157,21.101,1089.601,11089.601
20160307,Hold,69.79,0,0,157,21.101,978.131,10978.131
20160308,Sell,70.09,-157,10998.627935000002,0,11019.729,1019.729,11019.729
20160309,Buy,71.44,154,-11007.26088,154,12.468,1014.228,11014.228
20160310,Hold,71.16,0,0,154,12.468,971.108,10971.108
20160311,Hold,71.31,0,0,154,12.468,994.208,10994.208
20160314,Hold,71.78,0,0,154,12.468,1066.588,11066.588
20160315,Hold,71.27,0,0,154,12.468,988.048,10988.048
20160316,Hold,72.53,0,0,154,12.468,1182.088,11182.088
20160317,Hold,73.1,0,0,154,12.468,1269.868,11269.868
20160318,Hold,72.5,0,0,154,12.468,1177.468,11177.468
20160321,Hold,72.16,0,0,154,12.468,1125.108,11125.108
20160322,Hold,71.69,0,0,154,12.468,1052.728,11052.728
20160323,Sell,71.54,-154,11011.651420000002,0,11024.119,1024.119,11024.119
20160324,Buy,72.39,152,-11008.78164,152,15.338,1018.618,11018.618
20160328,Hold,71.54,0,0,152,15.338,889.418,10889.418
20160329,Hold,73.0,0,0,152,15.338,1111.338,11111.338
20160330,Hold,74.06,0,0,152,15.338,1272.458,11272.458
20160331,Hold,73.38,0,0,152,15.338,1169.098,11169.098
20160401,Hold,75.85,0,0,152,15.338,1544.538,11544.538
20160404,Hold,74.88,0,0,152,15.338,1397.098,11397.098
20160405,Sell,74.76,-152,11357.838240000001,0,11373.176,1373.176,11373.176
20160406,Buy,74.91,151,-11317.065704999999,151,56.11,1367.52,11367.52
20160407,Hold,75.72,0,0,151,56.11,1489.83,11489.83
20160408,Sell,75.47,-151,11390.272015,0,11446.382,1446.382,11446.382
20160411,Hold,74.53,0,0,0,11446.382,1446.382,11446.382
20160412,Hold,74.77,0,0,0,11446.382,1446.382,11446.382
20160413,Buy,76.0,150,-11405.699999999999,150,40.682,1440.682,11440.682
20160414,Hold,76.25,0,0,150,40.682,1478.182,11478.182
20160415,Hold,76.24,0,0,150,40.682,1476.682,11476.682
20160418,Hold,77.59,0,0,150,40.682,1679.182,11679.182
20160419,Sell,76.2,-150,11424.285,0,11464.967,1464.967,11464.967
20160420,Hold,76.66,0,0,0,11464.967,1464.967,11464.967
20160421,Buy,76.23,150,-11440.21725,150,24.75,1459.25,11459.25
