,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Buy,1109.4,9,-9989.5923,9,10.408,-4.992,9995.008
20180109,Hold,1097.1,0,0.0,9,10.408,-115.692,9884.308
20180110,Hold,1106.3,0,0.0,9,10.408,-32.892,9967.108
20180111,Hold,1102.41,0,0.0,9,10.408,-67.902,9932.098
20180112,Hold,1132.51,0,0.0,9,10.408,202.998,10202.998
20180116,Hold,1126.22,0,0.0,9,10.408,146.388,10146.388
20180117,Hold,1131.41,0,0.0,9,10.408,193.098,10193.098
20180118,Hold,1131.83,0,0.0,9,10.408,196.878,10196.878
20180119,Hold,1137.49,0,0.0,9,10.408,247.818,10247.818
20180122,Hold,1159.85,0,0.0,9,10.408,449.058,10449.058
20180123,Hold,1177.33,0,0.0,9,10.408,606.378,10606.378
20180124,Hold,1172.53,0,0.0,9,10.408,563.178,10563.178
20180125,Hold,1175.08,0,0.0,9,10.408,586.128,10586.128
20180126,Sell,1176.48,-9,10583.02584,0,10593.434,593.434,10593.434
20180129,Hold,1167.83,0,0.0,0,10593.434,593.434,10593.434
20180130,Hold,1170.57,0,0.0,0,10593.434,593.434,10593.434
20180131,Hold,1162.61,0,0.0,0,10593.434,593.434,10593.434
20180201,Hold,1122.0,0,0.0,0,10593.434,593.434,10593.434
20180202,Hold,1090.6,0,0.0,0,10593.434,593.434,10593.434
20180205,Hold,1027.18,0,0.0,0,10593.434,593.434,10593.434
20180206,Hold,1081.54,0,0.0,0,10593.434,593.434,10593.434
20180207,Hold,1055.41,0,0.0,0,10593.434,593.434,10593.434
20180208,Hold,1017.25,0,0.0,0,10593.434,593.434,10593.434
20180209,Buy,1048.0,10,-10485.24,10,108.194,588.194,10588.194
20180212,Hold,1045.0,0,0.0,10,108.194,558.194,10558.194
20180213,Hold,1048.95,0,0.0,10,108.194,597.694,10597.694
20180214,Hold,1079.07,0,0.0,10,108.194,898.894,10898.894
20180215,Hold,1088.41,0,0.0,10,108.194,992.294,10992.294
20180216,Hold,1090.57,0,0.0,10,108.194,1013.894,11013.894
20180220,Hold,1106.47,0,0.0,10,108.194,1172.894,11172.894
20180221,Hold,1116.19,0,0.0,10,108.194,1270.094,11270.094
20180222,Hold,1112.64,0,0.0,10,108.194,1234.594,11234.594
20180223,Hold,1127.8,0,0.0,10,108.194,1386.194,11386.194
20180226,Hold,1141.24,0,0.0,10,108.194,1520.594,11520.594
20180227,Sell,1123.03,-10,11224.68485,0,11332.878,1332.878,11332.878
