,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140108,Buy,135.21,73,-9875.265164999999,73,124.735,-4.935,9995.065
20140109,Hold,134.74,0,0.0,73,124.735,-39.245,9960.755
20140110,Sell,133.26,-73,9723.11601,0,9847.851,-152.149,9847.851
20140113,Hold,132.38,0,0.0,0,9847.851,-152.149,9847.851
20140114,Hold,132.93,0,0.0,0,9847.851,-152.149,9847.851
20140115,Buy,134.17,73,-9799.307205,73,48.544,-157.046,9842.954
20140116,Hold,134.52,0,0.0,73,48.544,-131.496,9868.504
20140117,Hold,136.08,0,0.0,73,48.544,-17.616,9982.384
20140121,Sell,129.71,-73,9464.095585000001,0,9512.639,-487.361,9512.639
20140122,Hold,129.65,0,0.0,0,9512.639,-487.361,9512.639
20140123,Hold,129.7,0,0.0,0,9512.639,-487.361,9512.639
20140124,Hold,128.5,0,0.0,0,9512.639,-487.361,9512.639
20140127,Hold,127.39,0,0.0,0,9512.639,-487.361,9512.639
20140128,Hold,125.91,0,0.0,0,9512.639,-487.361,9512.639
20140129,Hold,126.76,0,0.0,0,9512.639,-487.361,9512.639
20140130,Hold,125.98,0,0.0,0,9512.639,-487.361,9512.639
20140131,Hold,125.79,0,0.0,0,9512.639,-487.361,9512.639
20140203,Hold,124.15,0,0.0,0,9512.639,-487.361,9512.639
20140204,Hold,123.28,0,0.0,0,9512.639,-487.361,9512.639
20140205,Buy,125.13,75,-9389.442374999999,75,123.197,-492.053,9507.947
20140206,Hold,126.35,0,0.0,75,123.197,-400.553,9599.447
20140207,Hold,127.29,0,0.0,75,123.197,-330.053,9669.947
20140210,Hold,127.22,0,0.0,75,123.197,-335.303,9664.697
20140211,Hold,129.15,0,0.0,75,123.197,-190.553,9809.447
20140212,Hold,128.23,0,0.0,75,123.197,-259.553,9740.447
20140213,Hold,130.38,0,0.0,75,123.197,-98.303,9901.697
20140214,Hold,131.78,0,0.0,75,123.197,6.697,10006.697
20140218,Hold,131.44,0,0.0,75,123.197,-18.803,9981.197
20140219,Hold,131.6,0,0.0,75,123.197,-6.803,9993.197
20140220,Hold,132.55,0,0.0,75,123.197,64.447,10064.447
20140221,Sell,131.51,-75,9858.318375,0,9981.515,-18.485,9981.515
20140224,Buy,132.05,75,-9908.701874999999,75,72.813,-23.437,9976.563
20140225,Hold,132.31,0,0.0,75,72.813,-3.937,9996.063
20140226,Hold,132.23,0,0.0,75,72.813,-9.937,9990.063
20140227,Hold,133.37,0,0.0,75,72.813,75.563,10075.563
