,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190108,Buy,74.318,134,-9963.591305999998,134,36.409,-4.979,9995.021
20190109,Hold,73.527,0,0.0,134,36.409,-110.973,9889.027
20190110,Hold,73.863,0,0.0,134,36.409,-65.949,9934.051
20190111,Hold,72.909,0,0.0,134,36.409,-193.785,9806.215
20190114,Hold,73.324,0,0.0,134,36.409,-138.175,9861.825
20190115,Hold,73.258,0,0.0,134,36.409,-147.019,9852.981
20190116,Hold,74.118,0,0.0,134,36.409,-31.779,9968.221
20190117,Hold,77.057,0,0.0,134,36.409,362.047,10362.047
20190118,Hold,77.125,0,0.0,134,36.409,371.159,10371.159
20190122,Hold,75.327,0,0.0,134,36.409,130.227,10130.227
20190123,Hold,74.992,0,0.0,134,36.409,85.337,10085.337
20190124,Hold,76.414,0,0.0,134,36.409,275.885,10275.885
20190125,Hold,76.333,0,0.0,134,36.409,265.031,10265.031
20190128,Hold,77.538,0,0.0,134,36.409,426.501,10426.501
20190129,Hold,78.309,0,0.0,134,36.409,529.815,10529.815
20190130,Sell,72.829,-134,9754.206457,0,9790.615,-209.385,9790.615
20190131,Hold,71.449,0,0.0,0,9790.615,-209.385,9790.615
20190201,Hold,71.08,0,0.0,0,9790.615,-209.385,9790.615
20190204,Hold,71.025,0,0.0,0,9790.615,-209.385,9790.615
20190205,Hold,71.846,0,0.0,0,9790.615,-209.385,9790.615
20190206,Hold,70.584,0,0.0,0,9790.615,-209.385,9790.615
20190207,Hold,69.11,0,0.0,0,9790.615,-209.385,9790.615
20190208,Hold,69.942,0,0.0,0,9790.615,-209.385,9790.615
20190211,Hold,70.237,0,0.0,0,9790.615,-209.385,9790.615
20190212,Buy,71.943,136,-9789.140124,136,1.475,-214.277,9785.723
20190213,Hold,70.625,0,0.0,136,1.475,-393.525,9606.475
20190214,Hold,71.142,0,0.0,136,1.475,-323.213,9676.787
20190215,Hold,71.771,0,0.0,136,1.475,-237.669,9762.331
20190219,Hold,72.99,0,0.0,136,1.475,-71.885,9928.115
20190220,Hold,75.247,0,0.0,136,1.475,235.067,10235.067
20190221,Hold,74.436,0,0.0,136,1.475,124.771,10124.771
20190222,Hold,73.849,0,0.0,136,1.475,44.939,10044.939
20190225,Hold,74.811,0,0.0,136,1.475,175.771,10175.771
20190226,Hold,74.619,0,0.0,136,1.475,149.659,10149.659
20190227,Sell,73.544,-136,9996.983008000001,0,9998.458,-1.542,9998.458
20190228,Hold,72.469,0,0.0,0,9998.458,-1.542,9998.458
20190301,Hold,72.227,0,0.0,0,9998.458,-1.542,9998.458
20190304,Buy,72.749,137,-9971.5963065,137,26.862,-6.525,9993.475
20190305,Hold,72.482,0,0.0,137,26.862,-43.104,9956.896
20190306,Hold,72.884,0,0.0,137,26.862,11.97,10011.97
20190307,Hold,72.936,0,0.0,137,26.862,19.094,10019.094
20190308,Hold,74.214,0,0.0,137,26.862,194.18,10194.18
20190311,Hold,75.214,0,0.0,137,26.862,331.18,10331.18
20190312,Hold,75.348,0,0.0,137,26.862,349.538,10349.538
20190313,Hold,75.061,0,0.0,137,26.862,310.219,10310.219
20190314,Sell,74.082,-137,10144.159382999998,0,10171.021,171.021,10171.021
20190315,Hold,74.442,0,0.0,0,10171.021,171.021,10171.021
20190318,Hold,74.739,0,0.0,0,10171.021,171.021,10171.021
20190319,Hold,73.922,0,0.0,0,10171.021,171.021,10171.021
20190320,Hold,73.46,0,0.0,0,10171.021,171.021,10171.021
20190321,Buy,74.442,136,-10129.174055999998,136,41.847,165.959,10165.959
20190322,Sell,72.24,-136,9819.72768,0,9861.575,-138.425,9861.575
20190325,Hold,72.749,0,0.0,0,9861.575,-138.425,9861.575
20190326,Hold,71.67,0,0.0,0,9861.575,-138.425,9861.575
20190327,Hold,70.678,0,0.0,0,9861.575,-138.425,9861.575
20190328,Buy,69.032,142,-9807.445271999999,142,54.129,-143.327,9856.673
20190329,Hold,72.547,0,0.0,142,54.129,355.803,10355.803
20190401,Hold,73.125,0,0.0,142,54.129,437.879,10437.879
20190402,Hold,73.627,0,0.0,142,54.129,509.163,10509.163
20190403,Hold,74.946,0,0.0,142,54.129,696.461,10696.461
20190404,Hold,75.986,0,0.0,142,54.129,844.141,10844.141
20190405,Hold,75.369,0,0.0,142,54.129,756.527,10756.527
20190408,Hold,75.986,0,0.0,142,54.129,844.141,10844.141
20190409,Hold,76.346,0,0.0,142,54.129,895.261,10895.261
20190410,Hold,76.83,0,0.0,142,54.129,963.989,10963.989
20190411,Hold,78.369,0,0.0,142,54.129,1182.527,11182.527
20190412,Hold,79.032,0,0.0,142,54.129,1276.673,11276.673
20190415,Sell,77.593,-142,11012.696897000002,0,11066.826,1066.826,11066.826
20190416,Hold,78.871,0,0.0,0,11066.826,1066.826,11066.826
20190417,Hold,78.63,0,0.0,0,11066.826,1066.826,11066.826
20190418,Hold,77.411,0,0.0,0,11066.826,1066.826,11066.826
20190422,Hold,76.126,0,0.0,0,11066.826,1066.826,11066.826
20190423,Hold,76.908,0,0.0,0,11066.826,1066.826,11066.826
20190424,Hold,76.266,0,0.0,0,11066.826,1066.826,11066.826
20190425,Hold,75.088,0,0.0,0,11066.826,1066.826,11066.826
20190426,Hold,76.166,0,0.0,0,11066.826,1066.826,11066.826
20190429,Hold,76.187,0,0.0,0,11066.826,1066.826,11066.826
20190430,Hold,76.871,0,0.0,0,11066.826,1066.826,11066.826
20190501,Hold,74.163,0,0.0,0,11066.826,1066.826,11066.826
20190502,Hold,70.003,0,0.0,0,11066.826,1066.826,11066.826
20190503,Hold,68.333,0,0.0,0,11066.826,1066.826,11066.826
20190506,Hold,66.785,0,0.0,0,11066.826,1066.826,11066.826
20190507,Hold,64.716,0,0.0,0,11066.826,1066.826,11066.826
20190508,Hold,62.807,0,0.0,0,11066.826,1066.826,11066.826
20190509,Hold,61.862,0,0.0,0,11066.826,1066.826,11066.826
20190510,Hold,61.602,0,0.0,0,11066.826,1066.826,11066.826
20190513,Hold,61.079,0,0.0,0,11066.826,1066.826,11066.826
20190514,Hold,60.995,0,0.0,0,11066.826,1066.826,11066.826
20190515,Hold,61.079,0,0.0,0,11066.826,1066.826,11066.826
20190516,Buy,61.2,180,-11021.508,180,45.318,1061.318,11061.318
20190517,Hold,61.56,0,0.0,180,45.318,1126.118,11126.118
20190520,Hold,63.269,0,0.0,180,45.318,1433.738,11433.738
20190521,Hold,63.954,0,0.0,180,45.318,1557.038,11557.038
20190522,Sell,62.847,-180,11306.803770000002,0,11352.122,1352.122,11352.122
20190523,Hold,63.027,0,0.0,0,11352.122,1352.122,11352.122
20190524,Buy,62.464,181,-11311.636992,181,40.485,1346.469,11346.469
20190528,Hold,61.079,0,0.0,181,40.485,1095.784,11095.784
20190529,Hold,62.667,0,0.0,181,40.485,1383.212,11383.212
20190530,Hold,61.602,0,0.0,181,40.485,1190.447,11190.447
20190531,Hold,62.374,0,0.0,181,40.485,1330.179,11330.179
20190603,Hold,72.463,0,0.0,181,40.485,3156.288,13156.288
20190604,Hold,70.411,0,0.0,181,40.485,2784.876,12784.876
20190605,Hold,71.036,0,0.0,181,40.485,2898.001,12898.001
20190606,Hold,69.831,0,0.0,181,40.485,2679.896,12679.896
20190607,Sell,70.933,-181,12832.453563500003,0,12872.939,2872.939,12872.939
20190610,Buy,70.572,182,-12850.526052000001,182,22.413,2866.517,12866.517
20190611,Hold,69.821,0,0.0,182,22.413,2729.835,12729.835
20190612,Hold,69.794,0,0.0,182,22.413,2724.921,12724.921
20190613,Hold,71.018,0,0.0,182,22.413,2947.689,12947.689
20190614,Hold,70.763,0,0.0,182,22.413,2901.279,12901.279
20190617,Hold,71.065,0,0.0,182,22.413,2956.243,12956.243
20190618,Sell,70.914,-182,12899.894826000002,0,12922.307,2922.307,12922.307
20190619,Hold,69.669,0,0.0,0,12922.307,2922.307,12922.307
20190620,Buy,71.427,180,-12863.28843,180,59.019,2915.879,12915.879
20190621,Hold,70.763,0,0.0,180,59.019,2796.359,12796.359
20190624,Hold,70.666,0,0.0,180,59.019,2778.899,12778.899
20190625,Sell,70.609,-180,12703.26519,0,12762.284,2762.284,12762.284
20190626,Hold,70.391,0,0.0,0,12762.284,2762.284,12762.284
20190627,Hold,70.222,0,0.0,0,12762.284,2762.284,12762.284
20190628,Buy,71.114,179,-12735.770703,179,26.514,2755.92,12755.92
20190701,Hold,72.046,0,0.0,179,26.514,2922.748,12922.748
20190702,Hold,71.046,0,0.0,179,26.514,2743.748,12743.748
20190703,Sell,69.366,-179,12410.305743,0,12436.819,2436.819,12436.819
20190705,Hold,69.737,0,0.0,0,12436.819,2436.819,12436.819
20190708,Hold,67.836,0,0.0,0,12436.819,2436.819,12436.819
20190709,Hold,67.029,0,0.0,0,12436.819,2436.819,12436.819
20190710,Hold,66.079,0,0.0,0,12436.819,2436.819,12436.819
20190711,Hold,66.412,0,0.0,0,12436.819,2436.819,12436.819
20190712,Buy,67.922,183,-12435.940862999998,183,0.878,2430.604,12430.604
20190715,Hold,68.387,0,0.0,183,0.878,2515.699,12515.699
