,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Buy,54.55,183,-9987.641324999999,183,12.359,-4.991,9995.009
20210111,Hold,56.081,0,0.0,183,12.359,275.182,10275.182
20210112,Hold,57.432,0,0.0,183,12.359,522.415,10522.415
20210113,Hold,56.922,0,0.0,183,12.359,429.085,10429.085
20210114,Sell,55.42,-183,10136.78907,0,10149.148,149.148,10149.148
20210115,Hold,54.606,0,0.0,0,10149.148,149.148,10149.148
20210119,Hold,54.71,0,0.0,0,10149.148,149.148,10149.148
20210120,Hold,55.316,0,0.0,0,10149.148,149.148,10149.148
20210121,Hold,53.879,0,0.0,0,10149.148,149.148,10149.148
20210122,Hold,53.755,0,0.0,0,10149.148,149.148,10149.148
20210125,Hold,54.73,0,0.0,0,10149.148,149.148,10149.148
20210126,Hold,51.656,0,0.0,0,10149.148,149.148,10149.148
20210127,Hold,51.183,0,0.0,0,10149.148,149.148,10149.148
20210128,Hold,50.91,0,0.0,0,10149.148,149.148,10149.148
20210129,Hold,49.529,0,0.0,0,10149.148,149.148,10149.148
20210201,Hold,50.636,0,0.0,0,10149.148,149.148,10149.148
20210202,Buy,51.346,197,-10120.219580999998,197,28.928,144.09,10144.09
20210203,Hold,52.441,0,0.0,197,28.928,359.805,10359.805
20210204,Hold,53.641,0,0.0,197,28.928,596.205,10596.205
20210205,Hold,54.596,0,0.0,197,28.928,784.34,10784.34
20210208,Hold,54.36,0,0.0,197,28.928,737.848,10737.848
20210209,Hold,53.888,0,0.0,197,28.928,644.864,10644.864
20210210,Hold,54.655,0,0.0,197,28.928,795.963,10795.963
20210211,Hold,54.416,0,0.0,197,28.928,748.88,10748.88
20210212,Hold,55.685,0,0.0,197,28.928,998.873,10998.873
20210216,Hold,55.381,0,0.0,197,28.928,938.985,10938.985
20210217,Hold,55.117,0,0.0,197,28.928,886.977,10886.977
20210218,Hold,54.596,0,0.0,197,28.928,784.34,10784.34
20210219,Hold,57.311,0,0.0,197,28.928,1319.195,11319.195
20210222,Hold,59.503,0,0.0,197,28.928,1751.019,11751.019
20210223,Hold,58.615,0,0.0,197,28.928,1576.083,11576.083
20210224,Hold,59.724,0,0.0,197,28.928,1794.556,11794.556
20210225,Sell,58.167,-197,11453.1695505,0,11482.098,1482.098,11482.098
20210226,Hold,58.454,0,0.0,0,11482.098,1482.098,11482.098
20210301,Buy,59.468,192,-11423.564928,192,58.533,1476.389,11476.389
20210302,Hold,59.744,0,0.0,192,58.533,1529.381,11529.381
20210303,Hold,59.323,0,0.0,192,58.533,1448.549,11448.549
20210304,Hold,59.382,0,0.0,192,58.533,1459.877,11459.877
20210305,Hold,60.383,0,0.0,192,58.533,1652.069,11652.069
20210308,Hold,60.862,0,0.0,192,58.533,1744.037,11744.037
20210309,Hold,59.859,0,0.0,192,58.533,1551.461,11551.461
20210310,Hold,61.493,0,0.0,192,58.533,1865.189,11865.189
20210311,Hold,61.827,0,0.0,192,58.533,1929.317,11929.317
20210312,Hold,61.244,0,0.0,192,58.533,1817.381,11817.381
20210315,Sell,59.926,-192,11500.039104000001,0,11558.572,1558.572,11558.572
20210316,Buy,60.68,190,-11534.9646,190,23.607,1552.807,11552.807
20210317,Hold,63.147,0,0.0,190,23.607,2021.537,12021.537
20210318,Sell,61.867,-190,11748.852635000001,0,11772.46,1772.46,11772.46
20210319,Hold,60.987,0,0.0,0,11772.46,1772.46,11772.46
20210322,Hold,59.906,0,0.0,0,11772.46,1772.46,11772.46
20210323,Hold,58.884,0,0.0,0,11772.46,1772.46,11772.46
20210324,Hold,58.759,0,0.0,0,11772.46,1772.46,11772.46
20210325,Buy,60.595,194,-11761.307714999999,194,11.152,1766.582,11766.582
