,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170109,Buy,103.33,96,-9924.63984,96,75.36,-4.96,9995.04
20170110,Hold,103.94,0,0.0,96,75.36,53.6,10053.6
20170111,Hold,103.53,0,0.0,96,75.36,14.24,10014.24
20170112,Sell,102.62,-96,9846.59424,0,9921.954,-78.046,9921.954
20170113,Hold,103.34,0,0.0,0,9921.954,-78.046,9921.954
20170117,Hold,102.4,0,0.0,0,9921.954,-78.046,9921.954
20170118,Hold,103.35,0,0.0,0,9921.954,-78.046,9921.954
20170119,Hold,102.8,0,0.0,0,9921.954,-78.046,9921.954
20170120,Hold,102.79,0,0.0,0,9921.954,-78.046,9921.954
20170123,Hold,102.65,0,0.0,0,9921.954,-78.046,9921.954
20170124,Buy,103.64,95,-9850.722899999999,95,71.232,-82.968,9917.032
20170125,Hold,103.62,0,0.0,95,71.232,-84.868,9915.132
20170126,Hold,103.89,0,0.0,95,71.232,-59.218,9940.782
20170127,Hold,105.2,0,0.0,95,71.232,65.232,10065.232
20170130,Hold,105.9,0,0.0,95,71.232,131.732,10131.732
20170131,Hold,106.01,0,0.0,95,71.232,142.182,10142.182
20170201,Hold,106.5,0,0.0,95,71.232,188.732,10188.732
20170202,Hold,106.2,0,0.0,95,71.232,160.232,10160.232
20170203,Sell,105.26,-95,9994.70015,0,10065.932,65.932,10065.932
20170206,Hold,105.01,0,0.0,0,10065.932,65.932,10065.932
20170207,Hold,104.92,0,0.0,0,10065.932,65.932,10065.932
20170208,Hold,104.44,0,0.0,0,10065.932,65.932,10065.932
20170209,Buy,104.71,96,-10057.18608,96,8.746,60.906,10060.906
20170210,Hold,104.33,0,0.0,96,8.746,24.426,10024.426
20170213,Hold,105.14,0,0.0,96,8.746,102.186,10102.186
20170214,Hold,105.25,0,0.0,96,8.746,112.746,10112.746
20170215,Hold,105.67,0,0.0,96,8.746,153.066,10153.066
20170216,Hold,105.57,0,0.0,96,8.746,143.466,10143.466
20170217,Hold,105.28,0,0.0,96,8.746,115.626,10115.626
20170221,Sell,105.05,-96,10079.757599999999,0,10088.503,88.503,10088.503
20170222,Buy,105.63,95,-10039.867425,95,48.636,83.486,10083.486
20170223,Sell,104.98,-95,9968.11345,0,10016.749,16.749,10016.749
20170224,Buy,105.27,95,-10005.650324999999,95,11.099,11.749,10011.749
20170227,Hold,105.34,0,0.0,95,11.099,18.399,10018.399
20170228,Hold,105.97,0,0.0,95,11.099,78.249,10078.249
20170301,Hold,106.3,0,0.0,95,11.099,109.599,10109.599
20170302,Hold,105.67,0,0.0,95,11.099,49.749,10049.749
20170303,Hold,106.07,0,0.0,95,11.099,87.749,10087.749
20170306,Hold,106.0,0,0.0,95,11.099,81.099,10081.099
20170307,Hold,106.17,0,0.0,95,11.099,97.249,10097.249
20170308,Hold,106.2,0,0.0,95,11.099,100.099,10100.099
20170309,Hold,106.69,0,0.0,95,11.099,146.649,10146.649
20170310,Hold,106.22,0,0.0,95,11.099,101.999,10101.999
20170313,Hold,106.98,0,0.0,95,11.099,174.199,10174.199
20170314,Hold,107.66,0,0.0,95,11.099,238.799,10238.799
20170315,Hold,107.43,0,0.0,95,11.099,216.949,10216.949
20170316,Hold,107.12,0,0.0,95,11.099,187.499,10187.499
20170317,Hold,107.32,0,0.0,95,11.099,206.499,10206.499
20170320,Hold,108.19,0,0.0,95,11.099,289.149,10289.149
20170321,Sell,107.1,-95,10169.412750000001,0,10180.512,180.512,10180.512
20170322,Buy,106.98,95,-10168.18155,95,12.33,175.43,10175.43
20170323,Hold,107.64,0,0.0,95,12.33,238.13,10238.13
20170324,Hold,107.06,0,0.0,95,12.33,183.03,10183.03
