,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140108,Hold,48.824,0,0,0,10000,0.0,10000.0
20140109,Hold,48.296,0,0,0,10000,0.0,10000.0
20140110,Hold,47.304,0,0,0,10000,0.0,10000.0
20140113,Buy,48.777,204,-9955.483253999999,204,44.517,-4.975,9995.025
20140114,Hold,47.857,0,0,204,44.517,-192.655,9807.345
20140115,Hold,46.916,0,0,204,44.517,-384.619,9615.381
20140116,Hold,47.437,0,0,204,44.517,-278.335,9721.665
20140117,Hold,47.453,0,0,204,44.517,-275.071,9724.929
20140121,Hold,47.071,0,0,204,44.517,-352.999,9647.001
20140122,Hold,55.343,0,0,204,44.517,1334.489,11334.489
20140123,Hold,54.921,0,0,204,44.517,1248.401,11248.401
20140124,Hold,55.364,0,0,204,44.517,1338.773,11338.773
20140127,Hold,54.474,0,0,204,44.517,1157.213,11157.213
20140128,Hold,57.589,0,0,204,44.517,1792.673,11792.673
20140129,Hold,58.157,0,0,204,44.517,1908.545,11908.545
20140130,Hold,57.473,0,0,204,44.517,1769.009,11769.009
20140131,Hold,58.843,0,0,204,44.517,2048.489,12048.489
20140203,Sell,57.921,-204,11809.976058,0,11854.493,1854.493,11854.493
20140204,Buy,57.614,205,-11816.775434999998,205,37.717,1848.587,11848.587
20140205,Sell,58.06,-205,11896.348850000002,0,11934.066,1934.066,11934.066
20140206,Buy,59.063,201,-11877.5988315,201,56.467,1928.13,11928.13
20140207,Hold,61.303,0,0,201,56.467,2378.37,12378.37
20140210,Hold,61.423,0,0,201,56.467,2402.49,12402.49
20140211,Hold,62.111,0,0,201,56.467,2540.778,12540.778
20140212,Hold,60.813,0,0,201,56.467,2279.88,12279.88
20140213,Hold,62.437,0,0,201,56.467,2606.304,12606.304
20140214,Hold,62.423,0,0,201,56.467,2603.49,12603.49
20140218,Hold,61.667,0,0,201,56.467,2451.534,12451.534
20140219,Hold,61.53,0,0,201,56.467,2423.997,12423.997
20140220,Hold,62.671,0,0,201,56.467,2653.338,12653.338
20140221,Hold,62.21,0,0,201,56.467,2560.677,12560.677
20140224,Hold,64.286,0,0,201,56.467,2977.953,12977.953
20140225,Hold,65.129,0,0,201,56.467,3147.396,13147.396
20140226,Hold,63.977,0,0,201,56.467,2915.844,12915.844
20140227,Hold,64.733,0,0,201,56.467,3067.8,13067.8
20140228,Hold,62.944,0,0,201,56.467,2708.211,12708.211
20140303,Sell,64.417,-201,12941.3430915,0,12997.81,2997.81,12997.81
20140304,Hold,64.856,0,0,0,12997.81,2997.81,12997.81
20140305,Hold,64.991,0,0,0,12997.81,2997.81,12997.81
20140306,Hold,64.927,0,0,0,12997.81,2997.81,12997.81
20140307,Hold,64.071,0,0,0,12997.81,2997.81,12997.81
20140310,Hold,63.234,0,0,0,12997.81,2997.81,12997.81
20140311,Hold,61.954,0,0,0,12997.81,2997.81,12997.81
20140312,Hold,62.816,0,0,0,12997.81,2997.81,12997.81
20140313,Hold,61.104,0,0,0,12997.81,2997.81,12997.81
20140314,Hold,61.17,0,0,0,12997.81,2997.81,12997.81
20140317,Hold,60.339,0,0,0,12997.81,2997.81,12997.81
20140318,Hold,59.981,0,0,0,12997.81,2997.81,12997.81
20140319,Hold,59.953,0,0,0,12997.81,2997.81,12997.81
20140320,Hold,60.871,0,0,0,12997.81,2997.81,12997.81
20140321,Hold,57.923,0,0,0,12997.81,2997.81,12997.81
