,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Buy,41.503,240,-9965.700359999999,240,34.3,-4.98,9995.02
20130109,Hold,41.539,0,0.0,240,34.3,3.66,10003.66
20130110,Sell,40.821,-240,9792.14148,0,9826.441,-173.559,9826.441
20130111,Hold,41.075,0,0.0,0,9826.441,-173.559,9826.441
20130114,Hold,40.802,0,0.0,0,9826.441,-173.559,9826.441
20130115,Buy,40.785,240,-9793.294199999998,240,33.147,-178.453,9821.547
20130116,Hold,41.105,0,0.0,240,33.147,-101.653,9898.347
20130117,Hold,41.321,0,0.0,240,33.147,-49.813,9950.187
20130118,Hold,41.94,0,0.0,240,33.147,98.747,10098.747
20130122,Hold,42.491,0,0.0,240,33.147,230.987,10230.987
20130123,Hold,42.245,0,0.0,240,33.147,171.947,10171.947
20130124,Hold,41.95,0,0.0,240,33.147,101.147,10101.147
20130125,Sell,42.347,-240,10158.19836,0,10191.345,191.345,10191.345
20130128,Hold,42.001,0,0.0,0,10191.345,191.345,10191.345
20130129,Hold,42.168,0,0.0,0,10191.345,191.345,10191.345
20130130,Buy,42.129,241,-10158.1655445,241,33.18,186.269,10186.269
20130131,Hold,42.616,0,0.0,241,33.18,303.636,10303.636
20130201,Hold,43.1,0,0.0,241,33.18,420.28,10420.28
20130204,Sell,42.537,-241,10246.2912915,0,10279.471,279.471,10279.471
20130205,Hold,42.32,0,0.0,0,10279.471,279.471,10279.471
20130206,Hold,42.51,0,0.0,0,10279.471,279.471,10279.471
20130207,Hold,42.195,0,0.0,0,10279.471,279.471,10279.471
20130208,Hold,42.439,0,0.0,0,10279.471,279.471,10279.471
20130211,Hold,42.635,0,0.0,0,10279.471,279.471,10279.471
20130212,Hold,42.265,0,0.0,0,10279.471,279.471,10279.471
20130213,Hold,41.275,0,0.0,0,10279.471,279.471,10279.471
20130214,Hold,40.777,0,0.0,0,10279.471,279.471,10279.471
20130215,Hold,41.23,0,0.0,0,10279.471,279.471,10279.471
20130219,Hold,41.284,0,0.0,0,10279.471,279.471,10279.471
20130220,Hold,40.777,0,0.0,0,10279.471,279.471,10279.471
20130221,Hold,41.176,0,0.0,0,10279.471,279.471,10279.471
20130222,Buy,41.95,244,-10240.9179,244,38.553,274.353,10274.353
20130225,Hold,41.129,0,0.0,244,38.553,74.029,10074.029
20130226,Hold,41.794,0,0.0,244,38.553,236.289,10236.289
20130227,Hold,43.84,0,0.0,244,38.553,735.513,10735.513
20130228,Hold,43.148,0,0.0,244,38.553,566.665,10566.665
20130301,Hold,43.867,0,0.0,244,38.553,742.101,10742.101
20130304,Hold,44.473,0,0.0,244,38.553,889.965,10889.965
20130305,Hold,45.047,0,0.0,244,38.553,1030.021,11030.021
20130306,Hold,45.236,0,0.0,244,38.553,1076.137,11076.137
20130307,Hold,45.348,0,0.0,244,38.553,1103.465,11103.465
20130308,Hold,44.972,0,0.0,244,38.553,1011.721,11011.721
20130311,Hold,45.226,0,0.0,244,38.553,1073.697,11073.697
20130312,Hold,45.106,0,0.0,244,38.553,1044.417,11044.417
20130313,Hold,45.586,0,0.0,244,38.553,1161.537,11161.537
20130314,Hold,45.539,0,0.0,244,38.553,1150.069,11150.069
20130315,Hold,44.999,0,0.0,244,38.553,1018.309,11018.309
20130318,Hold,45.81,0,0.0,244,38.553,1216.193,11216.193
20130319,Hold,46.304,0,0.0,244,38.553,1336.729,11336.729
20130320,Hold,46.103,0,0.0,244,38.553,1287.685,11287.685
20130321,Hold,46.429,0,0.0,244,38.553,1367.229,11367.229
20130322,Hold,46.824,0,0.0,244,38.553,1463.609,11463.609
20130325,Hold,46.788,0,0.0,244,38.553,1454.825,11454.825
20130326,Sell,46.402,-244,11316.426956000001,0,11354.98,1354.98,11354.98
20130327,Hold,46.806,0,0.0,0,11354.98,1354.98,11354.98
20130328,Hold,46.926,0,0.0,0,11354.98,1354.98,11354.98
20130401,Hold,46.526,0,0.0,0,11354.98,1354.98,11354.98
20130402,Hold,45.645,0,0.0,0,11354.98,1354.98,11354.98
20130403,Hold,44.937,0,0.0,0,11354.98,1354.98,11354.98
20130404,Hold,45.883,0,0.0,0,11354.98,1354.98,11354.98
20130405,Hold,46.203,0,0.0,0,11354.98,1354.98,11354.98
20130408,Buy,46.649,243,-11341.3748535,243,13.605,1349.312,11349.312
20130409,Sell,46.258,-243,11235.073653000001,0,11248.679,1248.679,11248.679
20130410,Buy,47.217,238,-11243.264822999998,238,5.414,1243.06,11243.06
20130411,Sell,47.379,-238,11270.563899,0,11275.978,1275.978,11275.978
20130412,Buy,47.17,238,-11232.07323,238,43.905,1270.365,11270.365
20130415,Sell,46.194,-238,10988.674914000001,0,11032.58,1032.58,11032.58
20130416,Hold,45.967,0,0.0,0,11032.58,1032.58,11032.58
20130417,Hold,45.5,0,0.0,0,11032.58,1032.58,11032.58
20130418,Hold,45.603,0,0.0,0,11032.58,1032.58,11032.58
20130419,Buy,46.322,238,-11030.148318,238,2.431,1027.067,11027.067
20130422,Hold,46.586,0,0.0,238,2.431,1089.899,11089.899
20130423,Hold,46.526,0,0.0,238,2.431,1075.619,11075.619
20130424,Hold,47.189,0,0.0,238,2.431,1233.413,11233.413
20130425,Hold,47.342,0,0.0,238,2.431,1269.827,11269.827
20130426,Hold,48.128,0,0.0,238,2.431,1456.895,11456.895
20130429,Hold,50.153,0,0.0,238,2.431,1938.845,11938.845
20130430,Hold,50.373,0,0.0,238,2.431,1991.205,11991.205
20130501,Hold,49.96,0,0.0,238,2.431,1892.911,11892.911
20130502,Hold,50.892,0,0.0,238,2.431,2114.727,12114.727
20130503,Hold,51.074,0,0.0,238,2.431,2158.043,12158.043
20130506,Hold,52.308,0,0.0,238,2.431,2451.735,12451.735
20130507,Hold,52.452,0,0.0,238,2.431,2486.007,12486.007
20130508,Hold,52.791,0,0.0,238,2.431,2566.689,12566.689
20130509,Hold,52.572,0,0.0,238,2.431,2514.567,12514.567
20130510,Hold,52.91,0,0.0,238,2.431,2595.011,12595.011
20130513,Sell,53.146,-238,12642.423626,0,12644.855,2644.855,12644.855
20130514,Hold,52.772,0,0.0,0,12644.855,2644.855,12644.855
20130515,Hold,52.452,0,0.0,0,12644.855,2644.855,12644.855
20130516,Hold,52.224,0,0.0,0,12644.855,2644.855,12644.855
20130517,Hold,52.452,0,0.0,0,12644.855,2644.855,12644.855
20130520,Hold,51.915,0,0.0,0,12644.855,2644.855,12644.855
20130521,Hold,52.007,0,0.0,0,12644.855,2644.855,12644.855
20130522,Buy,52.581,240,-12625.74972,240,19.105,2638.545,12638.545
20130523,Hold,53.568,0,0.0,240,19.105,2875.425,12875.425
20130524,Hold,53.949,0,0.0,240,19.105,2966.865,12966.865
