,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Buy,196.86,50,-9847.921499999999,50,152.079,-4.921,9995.079
20180109,Hold,191.12,0,0.0,50,152.079,-291.921,9708.079
20180110,Hold,193.55,0,0.0,50,152.079,-170.421,9829.579
20180111,Hold,201.71,0,0.0,50,152.079,237.579,10237.579
20180112,Hold,205.99,0,0.0,50,152.079,451.579,10451.579
20180116,Hold,201.5,0,0.0,50,152.079,227.079,10227.079
20180117,Hold,200.25,0,0.0,50,152.079,164.579,10164.579
20180118,Hold,203.6,0,0.0,50,152.079,332.079,10332.079
20180119,Hold,205.52,0,0.0,50,152.079,428.079,10428.079
20180122,Hold,208.23,0,0.0,50,152.079,563.579,10563.579
20180123,Hold,211.87,0,0.0,50,152.079,745.579,10745.579
20180124,Hold,212.69,0,0.0,50,152.079,786.579,10786.579
20180125,Hold,211.18,0,0.0,50,152.079,711.079,10711.079
20180126,Sell,207.69,-50,10379.30775,0,10531.386,531.386,10531.386
20180129,Hold,206.06,0,0.0,0,10531.386,531.386,10531.386
20180130,Hold,208.74,0,0.0,0,10531.386,531.386,10531.386
20180131,Hold,207.69,0,0.0,0,10531.386,531.386,10531.386
20180201,Hold,209.04,0,0.0,0,10531.386,531.386,10531.386
20180202,Hold,202.57,0,0.0,0,10531.386,531.386,10531.386
20180205,Hold,194.62,0,0.0,0,10531.386,531.386,10531.386
20180206,Hold,200.11,0,0.0,0,10531.386,531.386,10531.386
20180207,Hold,202.82,0,0.0,0,10531.386,531.386,10531.386
20180208,Hold,192.81,0,0.0,0,10531.386,531.386,10531.386
20180209,Hold,200.66,0,0.0,0,10531.386,531.386,10531.386
20180212,Buy,203.2,51,-10368.381599999999,51,163.005,526.205,10526.205
20180213,Hold,198.81,0,0.0,51,163.005,302.315,10302.315
20180214,Hold,204.4,0,0.0,51,163.005,587.405,10587.405
20180215,Hold,209.88,0,0.0,51,163.005,866.885,10866.885
20180216,Hold,213.26,0,0.0,51,163.005,1039.265,11039.265
20180220,Hold,213.87,0,0.0,51,163.005,1070.375,11070.375
20180221,Hold,221.46,0,0.0,51,163.005,1457.465,11457.465
20180222,Hold,219.48,0,0.0,51,163.005,1356.485,11356.485
20180223,Hold,222.14,0,0.0,51,163.005,1492.145,11492.145
20180226,Sell,220.46,-51,11237.838270000002,0,11400.843,1400.843,11400.843
20180227,Hold,217.8,0,0.0,0,11400.843,1400.843,11400.843
20180228,Hold,213.72,0,0.0,0,11400.843,1400.843,11400.843
20180301,Hold,212.49,0,0.0,0,11400.843,1400.843,11400.843
20180302,Hold,214.08,0,0.0,0,11400.843,1400.843,11400.843
20180305,Hold,215.18,0,0.0,0,11400.843,1400.843,11400.843
20180306,Buy,214.63,53,-11381.077694999998,53,19.765,1395.155,11395.155
20180307,Hold,215.47,0,0.0,53,19.765,1439.675,11439.675
20180308,Hold,216.03,0,0.0,53,19.765,1469.355,11469.355
20180309,Hold,221.93,0,0.0,53,19.765,1782.055,11782.055
20180312,Hold,219.7,0,0.0,53,19.765,1663.865,11663.865
20180313,Hold,217.81,0,0.0,53,19.765,1563.695,11563.695
20180314,Hold,219.43,0,0.0,53,19.765,1649.555,11649.555
20180315,Hold,219.54,0,0.0,53,19.765,1655.385,11655.385
20180316,Hold,220.82,0,0.0,53,19.765,1723.225,11723.225
20180319,Hold,220.04,0,0.0,53,19.765,1681.885,11681.885
20180320,Hold,223.37,0,0.0,53,19.765,1858.375,11858.375
20180321,Sell,219.48,-53,11626.62378,0,11646.389,1646.389,11646.389
20180322,Hold,219.27,0,0.0,0,11646.389,1646.389,11646.389
20180323,Hold,220.63,0,0.0,0,11646.389,1646.389,11646.389
20180326,Buy,223.91,51,-11425.119705,51,221.269,1640.679,11640.679
20180327,Hold,223.9,0,0.0,51,221.269,1640.169,11640.169
20180328,Hold,226.38,0,0.0,51,221.269,1766.649,11766.649
20180329,Hold,225.16,0,0.0,51,221.269,1704.429,11704.429
20180402,Sell,223.82,-51,11409.11259,0,11630.382,1630.382,11630.382
20180403,Hold,217.84,0,0.0,0,11630.382,1630.382,11630.382
20180404,Hold,225.14,0,0.0,0,11630.382,1630.382,11630.382
20180405,Buy,225.55,51,-11508.801525,51,121.58,1624.63,11624.63
20180406,Sell,224.56,-51,11446.83372,0,11568.414,1568.414,11568.414
20180409,Hold,225.87,0,0.0,0,11568.414,1568.414,11568.414
20180410,Hold,222.74,0,0.0,0,11568.414,1568.414,11568.414
20180411,Hold,224.0,0,0.0,0,11568.414,1568.414,11568.414
20180412,Buy,224.28,51,-11443.99914,51,124.415,1562.695,11562.695
20180413,Hold,223.01,0,0.0,51,124.415,1497.925,11497.925
20180416,Hold,226.45,0,0.0,51,124.415,1673.365,11673.365
20180417,Hold,229.11,0,0.0,51,124.415,1809.025,11809.025
20180418,Hold,229.46,0,0.0,51,124.415,1826.875,11826.875
20180419,Hold,231.2,0,0.0,51,124.415,1915.615,11915.615
20180420,Hold,231.27,0,0.0,51,124.415,1919.185,11919.185
20180423,Sell,231.99,-51,11825.574255,0,11949.989,1949.989,11949.989
20180424,Hold,224.2,0,0.0,0,11949.989,1949.989,11949.989
20180425,Hold,240.85,0,0.0,0,11949.989,1949.989,11949.989
20180426,Buy,243.2,49,-11922.758399999999,49,27.231,1944.031,11944.031
20180427,Hold,241.28,0,0.0,49,27.231,1849.951,11849.951
20180430,Hold,233.71,0,0.0,49,27.231,1479.021,11479.021
20180501,Hold,238.14,0,0.0,49,27.231,1696.091,11696.091
20180502,Sell,234.62,-49,11490.63181,0,11517.863,1517.863,11517.863
20180503,Hold,236.84,0,0.0,0,11517.863,1517.863,11517.863
20180504,Buy,240.83,47,-11324.669505,47,193.193,1512.203,11512.203
20180507,Hold,241.1,0,0.0,47,193.193,1524.893,11524.893
20180508,Hold,240.8,0,0.0,47,193.193,1510.793,11510.793
20180509,Hold,241.76,0,0.0,47,193.193,1555.913,11555.913
20180510,Sell,241.17,-47,11329.322505,0,11522.516,1522.516,11522.516
20180511,Hold,240.91,0,0.0,0,11522.516,1522.516,11522.516
20180514,Hold,238.45,0,0.0,0,11522.516,1522.516,11522.516
20180515,Hold,237.89,0,0.0,0,11522.516,1522.516,11522.516
20180516,Hold,237.49,0,0.0,0,11522.516,1522.516,11522.516
20180517,Hold,238.68,0,0.0,0,11522.516,1522.516,11522.516
20180518,Buy,236.82,48,-11373.04368,48,149.472,1516.832,11516.832
20180521,Hold,240.54,0,0.0,48,149.472,1695.392,11695.392
20180522,Hold,239.37,0,0.0,48,149.472,1639.232,11639.232
20180523,Hold,241.22,0,0.0,48,149.472,1728.032,11728.032
20180524,Hold,243.03,0,0.0,48,149.472,1814.912,11814.912
20180525,Sell,240.76,-48,11550.70176,0,11700.174,1700.174,11700.174
20180529,Buy,238.87,48,-11471.49288,48,228.681,1694.441,11694.441
20180530,Hold,242.37,0,0.0,48,228.681,1862.441,11862.441
20180531,Hold,244.59,0,0.0,48,228.681,1969.001,11969.001
20180601,Hold,243.99,0,0.0,48,228.681,1940.201,11940.201
20180604,Hold,246.21,0,0.0,48,228.681,2046.761,12046.761
20180605,Hold,254.76,0,0.0,48,228.681,2457.161,12457.161
20180606,Hold,260.81,0,0.0,48,228.681,2747.561,12747.561
20180607,Hold,255.12,0,0.0,48,228.681,2474.441,12474.441
20180608,Hold,260.1,0,0.0,48,228.681,2713.481,12713.481
20180611,Hold,260.17,0,0.0,48,228.681,2716.841,12716.841
20180612,Hold,263.77,0,0.0,48,228.681,2889.641,12889.641
20180613,Hold,265.38,0,0.0,48,228.681,2966.921,12966.921
20180614,Hold,264.79,0,0.0,48,228.681,2938.601,12938.601
20180615,Hold,268.05,0,0.0,48,228.681,3095.081,13095.081
20180618,Hold,272.47,0,0.0,48,228.681,3307.241,13307.241
20180619,Hold,280.48,0,0.0,48,228.681,3691.721,13691.721
20180620,Hold,279.68,0,0.0,48,228.681,3653.321,13653.321
20180621,Hold,284.01,0,0.0,48,228.681,3861.161,13861.161
20180622,Hold,282.6,0,0.0,48,228.681,3793.481,13793.481
20180625,Sell,272.69,-48,13082.57544,0,13311.256,3311.256,13311.256
20180626,Hold,274.31,0,0.0,0,13311.256,3311.256,13311.256
20180627,Hold,270.68,0,0.0,0,13311.256,3311.256,13311.256
20180628,Hold,274.7,0,0.0,0,13311.256,3311.256,13311.256
20180629,Buy,269.47,49,-13210.632015,49,100.624,3304.654,13304.654
20180702,Sell,273.41,-49,13390.391455000003,0,13491.016,3491.016,13491.016
20180703,Hold,271.46,0,0.0,0,13491.016,3491.016,13491.016
20180705,Hold,269.76,0,0.0,0,13491.016,3491.016,13491.016
20180706,Hold,272.72,0,0.0,0,13491.016,3491.016,13491.016
20180709,Hold,269.32,0,0.0,0,13491.016,3491.016,13491.016
20180710,Hold,262.46,0,0.0,0,13491.016,3491.016,13491.016
20180711,Buy,271.42,49,-13306.22979,49,184.786,3484.366,13484.366
20180712,Hold,270.01,0,0.0,49,184.786,3415.276,13415.276
20180713,Hold,272.69,0,0.0,49,184.786,3546.596,13546.596
20180716,Hold,269.36,0,0.0,49,184.786,3383.426,13383.426
20180717,Sell,272.76,-49,13358.55738,0,13543.343,3543.343,13543.343
20180718,Hold,265.94,0,0.0,0,13543.343,3543.343,13543.343
20180719,Hold,265.94,0,0.0,0,13543.343,3543.343,13543.343
20180720,Hold,267.66,0,0.0,0,13543.343,3543.343,13543.343
20180723,Hold,262.62,0,0.0,0,13543.343,3543.343,13543.343
20180724,Hold,254.66,0,0.0,0,13543.343,3543.343,13543.343
20180725,Hold,253.27,0,0.0,0,13543.343,3543.343,13543.343
20180726,Hold,254.21,0,0.0,0,13543.343,3543.343,13543.343
20180727,Hold,251.62,0,0.0,0,13543.343,3543.343,13543.343
20180730,Hold,246.62,0,0.0,0,13543.343,3543.343,13543.343
20180731,Buy,254.81,53,-13511.682465,53,31.661,3536.591,13536.591
20180801,Hold,260.73,0,0.0,53,31.661,3850.351,13850.351
20180802,Hold,268.35,0,0.0,53,31.661,4254.211,14254.211
20180803,Hold,270.27,0,0.0,53,31.661,4355.971,14355.971
20180806,Hold,269.12,0,0.0,53,31.661,4295.021,14295.021
20180807,Hold,268.66,0,0.0,53,31.661,4270.641,14270.641
20180808,Hold,277.44,0,0.0,53,31.661,4735.981,14735.981
20180809,Hold,280.24,0,0.0,53,31.661,4884.381,14884.381
20180810,Hold,283.47,0,0.0,53,31.661,5055.571,15055.571
20180813,Sell,280.76,-53,14872.83986,0,14904.501,4904.501,14904.501
20180814,Hold,276.11,0,0.0,0,14904.501,4904.501,14904.501
20180815,Hold,276.56,0,0.0,0,14904.501,4904.501,14904.501
20180816,Buy,278.3,53,-14757.27495,53,147.226,4897.126,14897.126
20180817,Sell,275.67,-53,14603.204745000001,0,14750.43,4750.43,14750.43
20180820,Buy,276.04,53,-14637.43506,53,112.995,4743.115,14743.115
20180821,Hold,277.46,0,0.0,53,112.995,4818.375,14818.375
20180822,Hold,282.61,0,0.0,53,112.995,5091.325,15091.325
20180823,Hold,279.91,0,0.0,53,112.995,4948.225,14948.225
20180824,Hold,289.14,0,0.0,53,112.995,5437.415,15437.415
20180827,Hold,288.67,0,0.0,53,112.995,5412.505,15412.505
20180828,Hold,291.41,0,0.0,53,112.995,5557.725,15557.725
20180829,Hold,290.11,0,0.0,53,112.995,5488.825,15488.825
20180830,Sell,291.01,-53,15415.818234999999,0,15528.814,5528.814,15528.814
20180831,Hold,289.05,0,0.0,0,15528.814,5528.814,15528.814
20180904,Hold,287.26,0,0.0,0,15528.814,5528.814,15528.814
20180905,Hold,280.71,0,0.0,0,15528.814,5528.814,15528.814
20180906,Hold,279.55,0,0.0,0,15528.814,5528.814,15528.814
20180907,Hold,285.62,0,0.0,0,15528.814,5528.814,15528.814
20180910,Hold,282.64,0,0.0,0,15528.814,5528.814,15528.814
20180911,Hold,276.92,0,0.0,0,15528.814,5528.814,15528.814
20180912,Hold,277.11,0,0.0,0,15528.814,5528.814,15528.814
20180913,Hold,277.07,0,0.0,0,15528.814,5528.814,15528.814
20180914,Hold,270.24,0,0.0,0,15528.814,5528.814,15528.814
20180917,Hold,265.79,0,0.0,0,15528.814,5528.814,15528.814
20180918,Buy,273.23,56,-15308.53044,56,220.283,5521.163,15521.163
20180919,Hold,273.12,0,0.0,56,220.283,5515.003,15515.003
20180920,Hold,275.02,0,0.0,56,220.283,5621.403,15621.403
20180921,Hold,276.63,0,0.0,56,220.283,5711.563,15711.563
20180924,Hold,280.59,0,0.0,56,220.283,5933.323,15933.323
20180925,Hold,281.87,0,0.0,56,220.283,6005.003,16005.003
20180926,Hold,282.6,0,0.0,56,220.283,6045.883,16045.883
20180927,Hold,284.1,0,0.0,56,220.283,6129.883,16129.883
20180928,Sell,287.65,-56,16100.3458,0,16320.629,6320.629,16320.629
20181001,Hold,277.96,0,0.0,0,16320.629,6320.629,16320.629
20181002,Hold,275.17,0,0.0,0,16320.629,6320.629,16320.629
20181003,Hold,274.81,0,0.0,0,16320.629,6320.629,16320.629
20181004,Hold,273.94,0,0.0,0,16320.629,6320.629,16320.629
20181005,Hold,271.6,0,0.0,0,16320.629,6320.629,16320.629
20181008,Hold,273.09,0,0.0,0,16320.629,6320.629,16320.629
20181009,Hold,275.35,0,0.0,0,16320.629,6320.629,16320.629
20181010,Hold,265.07,0,0.0,0,16320.629,6320.629,16320.629
20181011,Hold,266.91,0,0.0,0,16320.629,6320.629,16320.629
20181012,Hold,269.28,0,0.0,0,16320.629,6320.629,16320.629
20181015,Hold,256.59,0,0.0,0,16320.629,6320.629,16320.629
20181016,Hold,253.22,0,0.0,0,16320.629,6320.629,16320.629
20181017,Hold,257.98,0,0.0,0,16320.629,6320.629,16320.629
20181018,Hold,257.67,0,0.0,0,16320.629,6320.629,16320.629
20181019,Buy,259.86,62,-16119.375660000002,62,201.253,6312.573,16312.573
20181022,Sell,256.77,-62,15911.78013,0,16113.033,6113.033,16113.033
20181023,Hold,257.43,0,0.0,0,16113.033,6113.033,16113.033
20181024,Hold,248.8,0,0.0,0,16113.033,6113.033,16113.033
20181025,Hold,249.95,0,0.0,0,16113.033,6113.033,16113.033
20181026,Hold,256.2,0,0.0,0,16113.033,6113.033,16113.033
20181029,Hold,247.08,0,0.0,0,16113.033,6113.033,16113.033
20181030,Buy,261.63,61,-15967.409715,61,145.624,6105.054,16105.054
20181031,Hold,259.53,0,0.0,61,145.624,5976.954,15976.954
20181101,Hold,259.45,0,0.0,61,145.624,5972.074,15972.074
20181102,Sell,255.61,-61,15584.413895000002,0,15730.038,5730.038,15730.038
20181105,Hold,252.18,0,0.0,0,15730.038,5730.038,15730.038
20181106,Hold,256.44,0,0.0,0,15730.038,5730.038,15730.038
20181107,Buy,261.21,60,-15680.436299999998,60,49.601,5722.201,15722.201
20181108,Hold,264.69,0,0.0,60,49.601,5931.001,15931.001
20181109,Hold,264.84,0,0.0,60,49.601,5940.001,15940.001
20181112,Sell,261.59,-60,15687.5523,0,15737.154,5737.154,15737.154
20181113,Hold,259.1,0,0.0,0,15737.154,5737.154,15737.154
20181114,Hold,256.01,0,0.0,0,15737.154,5737.154,15737.154
20181115,Hold,249.08,0,0.0,0,15737.154,5737.154,15737.154
20181116,Hold,255.44,0,0.0,0,15737.154,5737.154,15737.154
20181119,Hold,239.24,0,0.0,0,15737.154,5737.154,15737.154
20181120,Hold,248.05,0,0.0,0,15737.154,5737.154,15737.154
20181121,Buy,250.11,62,-15514.57341,62,222.58,5729.4,15729.4
20181123,Hold,257.9,0,0.0,62,222.58,6212.38,16212.38
20181126,Hold,258.17,0,0.0,62,222.58,6229.12,16229.12
20181127,Hold,261.68,0,0.0,62,222.58,6446.74,16446.74
20181128,Hold,264.06,0,0.0,62,222.58,6594.3,16594.3
20181129,Hold,271.62,0,0.0,62,222.58,7063.02,17063.02
20181130,Sell,273.67,-62,16959.056230000002,0,17181.636,7181.636,17181.636
20181203,Hold,268.43,0,0.0,0,17181.636,7181.636,17181.636
20181204,Hold,254.82,0,0.0,0,17181.636,7181.636,17181.636
20181206,Hold,256.39,0,0.0,0,17181.636,7181.636,17181.636
20181207,Hold,247.97,0,0.0,0,17181.636,7181.636,17181.636
20181210,Hold,251.02,0,0.0,0,17181.636,7181.636,17181.636
20181211,Hold,247.15,0,0.0,0,17181.636,7181.636,17181.636
20181212,Hold,241.94,0,0.0,0,17181.636,7181.636,17181.636
20181213,Hold,240.67,0,0.0,0,17181.636,7181.636,17181.636
20181214,Hold,240.06,0,0.0,0,17181.636,7181.636,17181.636
20181217,Hold,236.04,0,0.0,0,17181.636,7181.636,17181.636
20181218,Hold,236.7,0,0.0,0,17181.636,7181.636,17181.636
20181219,Hold,231.67,0,0.0,0,17181.636,7181.636,17181.636
20181220,Hold,231.13,0,0.0,0,17181.636,7181.636,17181.636
20181221,Hold,229.89,0,0.0,0,17181.636,7181.636,17181.636
20181224,Hold,227.91,0,0.0,0,17181.636,7181.636,17181.636
20181226,Buy,236.16,72,-17012.02176,72,169.615,7173.135,17173.135
20181227,Hold,242.76,0,0.0,72,169.615,7648.335,17648.335
20181228,Hold,244.86,0,0.0,72,169.615,7799.535,17799.535
