,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200108,Buy,86.549,115,-9958.1115675,115,41.888,-4.977,9995.023
20200109,Hold,87.077,0,0.0,115,41.888,55.743,10055.743
20200110,Hold,86.905,0,0.0,115,41.888,35.963,10035.963
20200113,Hold,87.451,0,0.0,115,41.888,98.753,10098.753
20200114,Hold,87.27,0,0.0,115,41.888,77.938,10077.938
20200115,Hold,88.217,0,0.0,115,41.888,186.843,10186.843
20200116,Hold,89.12,0,0.0,115,41.888,290.688,10290.688
20200117,Hold,89.023,0,0.0,115,41.888,279.533,10279.533
20200121,Sell,89.321,-115,10266.7790425,0,10308.667,308.667,10308.667
20200122,Hold,88.152,0,0.0,0,10308.667,308.667,10308.667
20200123,Hold,90.147,0,0.0,0,10308.667,308.667,10308.667
20200124,Hold,84.996,0,0.0,0,10308.667,308.667,10308.667
20200127,Hold,85.399,0,0.0,0,10308.667,308.667,10308.667
20200128,Hold,84.536,0,0.0,0,10308.667,308.667,10308.667
20200129,Hold,81.947,0,0.0,0,10308.667,308.667,10308.667
20200130,Hold,82.273,0,0.0,0,10308.667,308.667,10308.667
20200131,Hold,81.58,0,0.0,0,10308.667,308.667,10308.667
20200203,Hold,83.567,0,0.0,0,10308.667,308.667,10308.667
20200204,Buy,85.634,120,-10281.21804,120,27.449,303.529,10303.529
20200205,Hold,84.447,0,0.0,120,27.449,161.089,10161.089
20200206,Sell,82.627,-120,9910.28238,0,9937.732,-62.268,9937.732
20200207,Buy,83.272,119,-9914.322684,119,23.409,-67.223,9932.777
20200210,Hold,84.649,0,0.0,119,23.409,96.64,10096.64
20200211,Sell,84.506,-119,10051.185893,0,10074.595,74.595,10074.595
20200212,Buy,85.267,118,-10066.536752999998,118,8.058,69.564,10069.564
20200213,Hold,86.885,0,0.0,118,8.058,260.488,10260.488
20200214,Sell,86.105,-118,10155.309805000003,0,10163.368,163.368,10163.368
20200218,Hold,86.221,0,0.0,0,10163.368,163.368,10163.368
20200219,Hold,86.451,0,0.0,0,10163.368,163.368,10163.368
20200220,Hold,84.786,0,0.0,0,10163.368,163.368,10163.368
20200221,Hold,81.442,0,0.0,0,10163.368,163.368,10163.368
20200224,Hold,81.914,0,0.0,0,10163.368,163.368,10163.368
20200225,Hold,79.582,0,0.0,0,10163.368,163.368,10163.368
20200226,Hold,75.95,0,0.0,0,10163.368,163.368,10163.368
20200227,Hold,73.386,0,0.0,0,10163.368,163.368,10163.368
20200228,Hold,75.063,0,0.0,0,10163.368,163.368,10163.368
20200302,Hold,79.246,0,0.0,0,10163.368,163.368,10163.368
20200303,Hold,76.393,0,0.0,0,10163.368,163.368,10163.368
20200304,Hold,75.053,0,0.0,0,10163.368,163.368,10163.368
20200305,Hold,70.776,0,0.0,0,10163.368,163.368,10163.368
20200306,Hold,68.0,0,0.0,0,10163.368,163.368,10163.368
20200309,Hold,69.909,0,0.0,0,10163.368,163.368,10163.368
20200310,Hold,70.169,0,0.0,0,10163.368,163.368,10163.368
20200311,Hold,60.652,0,0.0,0,10163.368,163.368,10163.368
20200312,Hold,63.251,0,0.0,0,10163.368,163.368,10163.368
20200313,Hold,58.415,0,0.0,0,10163.368,163.368,10163.368
20200316,Hold,57.374,0,0.0,0,10163.368,163.368,10163.368
20200317,Hold,53.52,0,0.0,0,10163.368,163.368,10163.368
20200318,Hold,54.175,0,0.0,0,10163.368,163.368,10163.368
20200319,Hold,60.025,0,0.0,0,10163.368,163.368,10163.368
20200320,Buy,55.138,184,-10150.464696,184,12.903,158.295,10158.295
20200323,Hold,60.323,0,0.0,184,12.903,1112.335,11112.335
20200324,Hold,64.388,0,0.0,184,12.903,1860.295,11860.295
20200325,Hold,64.272,0,0.0,184,12.903,1838.951,11838.951
20200326,Hold,64.243,0,0.0,184,12.903,1833.615,11833.615
20200327,Hold,64.128,0,0.0,184,12.903,1812.455,11812.455
20200330,Sell,64.725,-184,11903.4453,0,11916.349,1916.349,11916.349
20200331,Hold,60.698,0,0.0,0,11916.349,1916.349,11916.349
20200401,Hold,63.349,0,0.0,0,11916.349,1916.349,11916.349
20200402,Hold,62.116,0,0.0,0,11916.349,1916.349,11916.349
20200403,Hold,63.848,0,0.0,0,11916.349,1916.349,11916.349
20200406,Buy,68.952,172,-11865.673871999998,172,50.675,1910.419,11910.419
20200407,Hold,67.038,0,0.0,172,50.675,1581.211,11581.211
20200408,Hold,68.599,0,0.0,172,50.675,1849.703,11849.703
20200409,Hold,70.833,0,0.0,172,50.675,2233.951,12233.951
20200413,Hold,70.998,0,0.0,172,50.675,2262.331,12262.331
20200414,Hold,69.379,0,0.0,172,50.675,1983.863,11983.863
20200415,Sell,70.44,-172,12109.62216,0,12160.297,2160.297,12160.297
20200416,Buy,73.82,164,-12112.533239999999,164,47.764,2154.244,12154.244
20200417,Hold,73.244,0,0.0,164,47.764,2059.78,12059.78
20200420,Hold,70.719,0,0.0,164,47.764,1645.68,11645.68
20200421,Sell,71.827,-164,11773.738186,0,11821.502,1821.502,11821.502
20200422,Buy,74.504,158,-11777.517816000001,158,43.984,1815.616,11815.616
20200423,Sell,72.982,-158,11525.390422,0,11569.375,1569.375,11569.375
20200424,Buy,73.878,156,-11530.730484,156,38.644,1563.612,11563.612
