,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Hold,39.564,0,0,0,10000,0.0,10000.0
20130109,Hold,39.749,0,0,0,10000,0.0,10000.0
20130110,Hold,40.201,0,0,0,10000,0.0,10000.0
20130111,Buy,40.715,245,-9980.1625875,245,19.837,-4.988,9995.012
20130114,Hold,40.145,0,0,245,19.837,-144.638,9855.362
20130115,Sell,40.096,-245,9818.60824,0,9838.446,-161.554,9838.446
20130116,Hold,40.252,0,0,0,9838.446,-161.554,9838.446
20130117,Hold,39.769,0,0,0,9838.446,-161.554,9838.446
20130118,Hold,39.48,0,0,0,9838.446,-161.554,9838.446
20130122,Hold,39.769,0,0,0,9838.446,-161.554,9838.446
20130123,Buy,40.287,244,-9834.943014,244,3.503,-166.469,9833.531
20130124,Hold,39.949,0,0,244,3.503,-248.941,9751.059
20130125,Sell,39.227,-244,9566.602305999999,0,9570.105,-429.895,9570.105
20130128,Hold,39.072,0,0,0,9570.105,-429.895,9570.105
20130129,Hold,38.846,0,0,0,9570.105,-429.895,9570.105
20130130,Hold,39.046,0,0,0,9570.105,-429.895,9570.105
20130131,Hold,39.726,0,0,0,9570.105,-429.895,9570.105
20130201,Hold,40.076,0,0,0,9570.105,-429.895,9570.105
20130204,Hold,36.33,0,0,0,9570.105,-429.895,9570.105
20130205,Hold,37.379,0,0,0,9570.105,-429.895,9570.105
20130206,Hold,38.334,0,0,0,9570.105,-429.895,9570.105
20130207,Hold,38.735,0,0,0,9570.105,-429.895,9570.105
20130208,Buy,39.591,241,-9546.2017155,241,23.903,-434.666,9565.334
20130211,Hold,39.272,0,0,241,23.903,-511.545,9488.455
20130212,Hold,39.388,0,0,241,23.903,-483.589,9516.411
20130213,Hold,39.084,0,0,241,23.903,-556.853,9443.147
20130214,Sell,38.81,-241,9348.533395000002,0,9372.437,-627.563,9372.437
20130215,Hold,39.041,0,0,0,9372.437,-627.563,9372.437
20130219,Buy,39.632,236,-9357.828576,236,14.608,-632.24,9367.76
20130220,Hold,39.084,0,0,236,14.608,-761.568,9238.432
20130221,Hold,39.654,0,0,236,14.608,-627.048,9372.952
20130222,Hold,39.902,0,0,236,14.608,-568.52,9431.48
20130225,Sell,39.62,-236,9345.64484,0,9360.253,-639.747,9360.253
20130226,Buy,39.435,237,-9350.768047500002,237,9.485,-644.42,9355.58
20130227,Hold,39.91,0,0,237,9.485,-531.845,9468.155
20130228,Hold,39.461,0,0,237,9.485,-638.258,9361.742
20130301,Hold,39.596,0,0,237,9.485,-606.263,9393.737
20130304,Hold,39.887,0,0,237,9.485,-537.296,9462.704
20130305,Hold,40.354,0,0,237,9.485,-426.617,9573.383
20130306,Hold,40.632,0,0,237,9.485,-360.731,9639.269
20130307,Hold,41.176,0,0,237,9.485,-231.803,9768.197
20130308,Hold,41.221,0,0,237,9.485,-221.138,9778.862
20130311,Hold,43.414,0,0,237,9.485,298.603,10298.603
20130312,Hold,41.723,0,0,237,9.485,-102.164,9897.836
20130313,Hold,42.239,0,0,237,9.485,20.128,10020.128
20130314,Hold,42.283,0,0,237,9.485,30.556,10030.556
20130315,Hold,42.149,0,0,237,9.485,-1.202,9998.798
20130318,Sell,42.122,-237,9977.922543,0,9987.407,-12.593,9987.407
20130319,Hold,42.069,0,0,0,9987.407,-12.593,9987.407
20130320,Hold,41.996,0,0,0,9987.407,-12.593,9987.407
20130321,Buy,42.176,236,-9958.512767999999,236,28.895,-17.569,9982.431
20130322,Hold,42.896,0,0,236,28.895,152.351,10152.351
20130325,Hold,43.06,0,0,236,28.895,191.055,10191.055
20130326,Hold,42.946,0,0,236,28.895,164.151,10164.151
20130327,Hold,43.371,0,0,236,28.895,264.451,10264.451
20130328,Sell,43.643,-236,10294.598126,0,10323.493,323.493,10323.493
20130401,Hold,43.067,0,0,0,10323.493,323.493,10323.493
20130402,Hold,42.525,0,0,0,10323.493,323.493,10323.493
20130403,Hold,41.11,0,0,0,10323.493,323.493,10323.493
20130404,Hold,40.44,0,0,0,10323.493,323.493,10323.493
20130405,Hold,40.244,0,0,0,10323.493,323.493,10323.493
20130408,Hold,40.94,0,0,0,10323.493,323.493,10323.493
20130409,Hold,40.813,0,0,0,10323.493,323.493,10323.493
20130410,Hold,40.289,0,0,0,10323.493,323.493,10323.493
20130411,Hold,41.01,0,0,0,10323.493,323.493,10323.493
20130412,Hold,40.973,0,0,0,10323.493,323.493,10323.493
20130415,Hold,40.52,0,0,0,10323.493,323.493,10323.493
20130416,Hold,40.504,0,0,0,10323.493,323.493,10323.493
20130417,Hold,40.547,0,0,0,10323.493,323.493,10323.493
20130418,Hold,39.896,0,0,0,10323.493,323.493,10323.493
20130419,Hold,39.748,0,0,0,10323.493,323.493,10323.493
20130422,Hold,39.356,0,0,0,10323.493,323.493,10323.493
20130423,Buy,41.801,246,-10288.187523,246,35.305,318.351,10318.351
20130424,Hold,42.005,0,0,246,35.305,368.535,10368.535
20130425,Hold,40.945,0,0,246,35.305,107.775,10107.775
20130426,Hold,41.039,0,0,246,35.305,130.899,10130.899
20130429,Hold,41.251,0,0,246,35.305,183.051,10183.051
20130430,Hold,41.432,0,0,246,35.305,227.577,10227.577
20130501,Hold,41.336,0,0,246,35.305,203.961,10203.961
20130502,Hold,41.866,0,0,246,35.305,334.341,10334.341
20130503,Hold,41.558,0,0,246,35.305,258.573,10258.573
20130506,Hold,41.944,0,0,246,35.305,353.529,10353.529
20130507,Hold,41.988,0,0,246,35.305,364.353,10364.353
20130508,Hold,42.372,0,0,246,35.305,458.817,10458.817
20130509,Hold,42.36,0,0,246,35.305,455.865,10455.865
20130510,Hold,42.341,0,0,246,35.305,451.191,10451.191
20130513,Sell,42.283,-246,10396.417191,0,10431.722,431.722,10431.722
20130514,Buy,42.723,244,-10429.624206,244,2.098,426.51,10426.51
20130515,Hold,42.736,0,0,244,2.098,429.682,10429.682
20130516,Sell,42.609,-244,10391.397702,0,10393.496,393.496,10393.496
20130517,Buy,42.841,242,-10372.705761000001,242,20.79,388.312,10388.312
20130520,Hold,42.941,0,0,242,20.79,412.512,10412.512
20130521,Sell,42.812,-242,10355.323747999999,0,10376.114,376.114,10376.114
20130522,Hold,42.135,0,0,0,10376.114,376.114,10376.114
20130523,Hold,42.251,0,0,0,10376.114,376.114,10376.114
20130524,Hold,42.698,0,0,0,10376.114,376.114,10376.114
20130528,Buy,42.614,243,-10360.379600999999,243,15.734,370.936,10370.936
20130529,Sell,42.479,-243,10317.235801499999,0,10332.97,332.97,10332.97
20130530,Hold,41.864,0,0,0,10332.97,332.97,10332.97
20130531,Hold,41.432,0,0,0,10332.97,332.97,10332.97
20130603,Hold,42.195,0,0,0,10332.97,332.97,10332.97
20130604,Buy,41.934,246,-10320.921881999999,246,12.048,327.812,10327.812
20130605,Hold,41.744,0,0,246,12.048,281.072,10281.072
20130606,Hold,44.154,0,0,246,12.048,873.932,10873.932
20130607,Hold,44.86,0,0,246,12.048,1047.608,11047.608
20130610,Hold,43.919,0,0,246,12.048,816.122,10816.122
20130611,Hold,43.907,0,0,246,12.048,813.17,10813.17
20130612,Sell,43.717,-246,10749.004809,0,10761.053,761.053,10761.053
20130613,Hold,43.761,0,0,0,10761.053,761.053,10761.053
20130614,Hold,43.724,0,0,0,10761.053,761.053,10761.053
20130617,Hold,43.864,0,0,0,10761.053,761.053,10761.053
20130618,Hold,44.128,0,0,0,10761.053,761.053,10761.053
20130619,Hold,43.276,0,0,0,10761.053,761.053,10761.053
20130620,Hold,42.609,0,0,0,10761.053,761.053,10761.053
20130621,Hold,41.597,0,0,0,10761.053,761.053,10761.053
20130624,Hold,42.093,0,0,0,10761.053,761.053,10761.053
20130625,Hold,42.147,0,0,0,10761.053,761.053,10761.053
20130626,Buy,42.666,252,-10757.207915999998,252,3.845,755.677,10755.677
20130627,Hold,42.55,0,0,252,3.845,726.445,10726.445
20130628,Hold,42.539,0,0,252,3.845,723.673,10723.673
20130701,Hold,42.918,0,0,252,3.845,819.181,10819.181
20130702,Hold,42.742,0,0,252,3.845,774.829,10774.829
20130703,Hold,43.761,0,0,252,3.845,1031.617,11031.617
20130705,Hold,44.298,0,0,252,3.845,1166.941,11166.941
20130708,Hold,44.803,0,0,252,3.845,1294.201,11294.201
20130709,Hold,44.605,0,0,252,3.845,1244.305,11244.305
20130710,Hold,43.545,0,0,252,3.845,977.185,10977.185
20130711,Sell,43.894,-252,11055.757356000002,0,11059.602,1059.602,11059.602
20130712,Hold,43.501,0,0,0,11059.602,1059.602,11059.602
20130715,Hold,44.235,0,0,0,11059.602,1059.602,11059.602
20130716,Hold,44.206,0,0,0,11059.602,1059.602,11059.602
20130717,Hold,43.82,0,0,0,11059.602,1059.602,11059.602
20130718,Buy,44.392,249,-11059.134804,249,0.468,1054.076,11054.076
20130719,Hold,43.913,0,0,249,0.468,934.805,10934.805
20130722,Sell,43.857,-249,10914.9328035,0,10915.4,915.4,10915.4
20130723,Hold,43.373,0,0,0,10915.4,915.4,10915.4
20130724,Buy,43.988,248,-10914.478512,248,0.922,909.946,10909.946
20130725,Hold,44.206,0,0,248,0.922,964.01,10964.01
20130726,Hold,45.196,0,0,248,0.922,1209.53,11209.53
20130729,Hold,45.314,0,0,248,0.922,1238.794,11238.794
20130730,Hold,45.022,0,0,248,0.922,1166.378,11166.378
20130731,Sell,45.129,-248,11186.396004,0,11187.318,1187.318,11187.318
20130801,Buy,45.374,246,-11167.585002,246,19.733,1181.737,11181.737
20130802,Hold,45.744,0,0,246,19.733,1272.757,11272.757
20130805,Hold,45.883,0,0,246,19.733,1306.951,11306.951
20130806,Hold,45.637,0,0,246,19.733,1246.435,11246.435
20130807,Sell,45.5,-246,11187.4035,0,11207.136,1207.136,11207.136
20130808,Hold,45.385,0,0,0,11207.136,1207.136,11207.136
20130809,Hold,45.593,0,0,0,11207.136,1207.136,11207.136
20130812,Hold,44.456,0,0,0,11207.136,1207.136,11207.136
20130813,Hold,44.441,0,0,0,11207.136,1207.136,11207.136
20130814,Hold,44.619,0,0,0,11207.136,1207.136,11207.136
20130815,Hold,44.362,0,0,0,11207.136,1207.136,11207.136
20130816,Hold,44.386,0,0,0,11207.136,1207.136,11207.136
20130819,Hold,44.404,0,0,0,11207.136,1207.136,11207.136
20130820,Hold,44.559,0,0,0,11207.136,1207.136,11207.136
20130821,Hold,44.469,0,0,0,11207.136,1207.136,11207.136
20130822,Hold,44.723,0,0,0,11207.136,1207.136,11207.136
20130823,Hold,44.545,0,0,0,11207.136,1207.136,11207.136
20130826,Hold,43.876,0,0,0,11207.136,1207.136,11207.136
20130827,Hold,43.702,0,0,0,11207.136,1207.136,11207.136
20130828,Hold,43.403,0,0,0,11207.136,1207.136,11207.136
20130829,Hold,43.3,0,0,0,11207.136,1207.136,11207.136
20130830,Hold,43.454,0,0,0,11207.136,1207.136,11207.136
20130903,Hold,42.513,0,0,0,11207.136,1207.136,11207.136
20130904,Hold,42.913,0,0,0,11207.136,1207.136,11207.136
20130905,Buy,42.992,260,-11183.50896,260,23.627,1201.547,11201.547
20130906,Hold,43.065,0,0,260,23.627,1220.527,11220.527
20130909,Hold,44.027,0,0,260,23.627,1470.647,11470.647
20130910,Hold,43.969,0,0,260,23.627,1455.567,11455.567
20130911,Hold,44.417,0,0,260,23.627,1572.047,11572.047
20130912,Hold,44.521,0,0,260,23.627,1599.087,11599.087
20130913,Hold,44.82,0,0,260,23.627,1676.827,11676.827
20130916,Hold,44.559,0,0,260,23.627,1608.967,11608.967
20130917,Hold,44.565,0,0,260,23.627,1610.527,11610.527
20130918,Hold,45.226,0,0,260,23.627,1782.387,11782.387
20130919,Hold,44.641,0,0,260,23.627,1630.287,11630.287
20130920,Sell,44.155,-260,11474.559850000001,0,11498.187,1498.187,11498.187
20130923,Hold,44.116,0,0,0,11498.187,1498.187,11498.187
20130924,Hold,44.206,0,0,0,11498.187,1498.187,11498.187
20130925,Hold,44.141,0,0,0,11498.187,1498.187,11498.187
20130926,Hold,44.289,0,0,0,11498.187,1498.187,11498.187
20130927,Hold,43.913,0,0,0,11498.187,1498.187,11498.187
20130930,Hold,43.949,0,0,0,11498.187,1498.187,11498.187
20131001,Hold,43.538,0,0,0,11498.187,1498.187,11498.187
20131002,Hold,43.29,0,0,0,11498.187,1498.187,11498.187
20131003,Hold,43.352,0,0,0,11498.187,1498.187,11498.187
20131004,Hold,43.574,0,0,0,11498.187,1498.187,11498.187
20131007,Hold,43.747,0,0,0,11498.187,1498.187,11498.187
20131008,Hold,40.578,0,0,0,11498.187,1498.187,11498.187
20131009,Hold,41.255,0,0,0,11498.187,1498.187,11498.187
20131010,Hold,40.718,0,0,0,11498.187,1498.187,11498.187
20131011,Hold,41.249,0,0,0,11498.187,1498.187,11498.187
20131014,Buy,41.28,278,-11481.57792,278,16.609,1492.449,11492.449
20131015,Sell,40.839,-278,11347.565379000001,0,11364.175,1364.175,11364.175
20131016,Buy,40.987,277,-11359.075699500001,277,5.099,1358.498,11358.498
20131017,Hold,41.789,0,0,277,5.099,1580.652,11580.652
20131018,Hold,41.2,0,0,277,5.099,1417.499,11417.499
20131021,Hold,41.35,0,0,277,5.099,1459.049,11459.049
20131022,Hold,41.35,0,0,277,5.099,1459.049,11459.049
20131023,Sell,40.374,-277,11178.006201,0,11183.105,1183.105,11183.105
20131024,Hold,40.894,0,0,0,11183.105,1183.105,11183.105
20131025,Buy,41.084,272,-11180.435424000001,272,2.67,1177.518,11177.518
20131028,Hold,41.288,0,0,272,2.67,1233.006,11233.006
20131029,Hold,41.642,0,0,272,2.67,1329.294,11329.294
20131030,Hold,41.907,0,0,272,2.67,1401.374,11401.374
20131031,Hold,41.729,0,0,272,2.67,1352.958,11352.958
20131101,Hold,42.531,0,0,272,2.67,1571.102,11571.102
20131104,Hold,42.888,0,0,272,2.67,1668.206,11668.206
20131105,Hold,43.401,0,0,272,2.67,1807.742,11807.742
20131106,Hold,43.466,0,0,272,2.67,1825.422,11825.422
20131107,Hold,42.976,0,0,272,2.67,1692.142,11692.142
20131108,Hold,43.771,0,0,272,2.67,1908.382,11908.382
20131111,Hold,44.167,0,0,272,2.67,2016.094,12016.094
20131112,Hold,44.035,0,0,272,2.67,1980.19,11980.19
20131113,Hold,45.177,0,0,272,2.67,2290.814,12290.814
20131114,Hold,45.353,0,0,272,2.67,2338.686,12338.686
20131115,Hold,45.58,0,0,272,2.67,2400.43,12400.43
20131118,Hold,45.364,0,0,272,2.67,2341.678,12341.678
20131119,Hold,45.67,0,0,272,2.67,2424.91,12424.91
