,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190108,Buy,86.947,114,-9916.913979,114,83.086,-4.956,9995.044
20190109,Hold,85.978,0,0.0,114,83.086,-115.422,9884.578
20190110,Hold,84.697,0,0.0,114,83.086,-261.456,9738.544
20190111,Sell,85.427,-114,9733.808661000001,0,9816.895,-183.105,9816.895
20190114,Hold,85.599,0,0.0,0,9816.895,-183.105,9816.895
20190115,Hold,85.655,0,0.0,0,9816.895,-183.105,9816.895
20190116,Hold,84.764,0,0.0,0,9816.895,-183.105,9816.895
20190117,Buy,86.72,113,-9804.25968,113,12.635,-188.005,9811.995
20190118,Hold,87.497,0,0.0,113,12.635,-100.204,9899.796
20190122,Hold,87.999,0,0.0,113,12.635,-43.478,9956.522
20190123,Hold,88.171,0,0.0,113,12.635,-24.042,9975.958
20190124,Hold,88.864,0,0.0,113,12.635,54.267,10054.267
20190125,Hold,87.999,0,0.0,113,12.635,-43.478,9956.522
20190128,Hold,88.323,0,0.0,113,12.635,-6.866,9993.134
20190129,Hold,88.323,0,0.0,113,12.635,-6.866,9993.134
20190130,Hold,88.503,0,0.0,113,12.635,13.474,10013.474
20190131,Hold,89.679,0,0.0,113,12.635,146.362,10146.362
20190201,Hold,89.396,0,0.0,113,12.635,114.383,10114.383
20190204,Hold,89.778,0,0.0,113,12.635,157.549,10157.549
20190205,Hold,89.738,0,0.0,113,12.635,153.029,10153.029
20190206,Hold,84.944,0,0.0,113,12.635,-388.693,9611.307
20190207,Sell,89.214,-113,10076.141409000002,0,10088.776,88.776,10088.776
20190208,Hold,89.623,0,0.0,0,10088.776,88.776,10088.776
20190211,Hold,89.29,0,0.0,0,10088.776,88.776,10088.776
20190212,Hold,89.644,0,0.0,0,10088.776,88.776,10088.776
20190213,Hold,88.594,0,0.0,0,10088.776,88.776,10088.776
20190214,Buy,90.331,111,-10031.754370499999,111,57.022,83.763,10083.763
20190215,Hold,89.854,0,0.0,111,57.022,30.816,10030.816
20190219,Hold,90.254,0,0.0,111,57.022,75.216,10075.216
20190220,Hold,90.121,0,0.0,111,57.022,60.453,10060.453
20190221,Hold,90.57,0,0.0,111,57.022,110.292,10110.292
20190222,Hold,91.236,0,0.0,111,57.022,184.218,10184.218
20190225,Sell,89.013,-111,9875.502778500002,0,9932.525,-67.475,9932.525
20190226,Hold,88.813,0,0.0,0,9932.525,-67.475,9932.525
20190227,Hold,88.719,0,0.0,0,9932.525,-67.475,9932.525
20190228,Buy,90.57,109,-9877.066064999999,109,55.459,-72.411,9927.589
20190301,Hold,91.331,0,0.0,109,55.459,10.538,10010.538
20190304,Hold,90.864,0,0.0,109,55.459,-40.365,9959.635
20190305,Hold,91.593,0,0.0,109,55.459,39.096,10039.096
20190306,Hold,91.951,0,0.0,109,55.459,78.118,10078.118
20190307,Hold,91.426,0,0.0,109,55.459,20.893,10020.893
20190308,Hold,92.323,0,0.0,109,55.459,118.666,10118.666
20190311,Hold,93.468,0,0.0,109,55.459,243.471,10243.471
20190312,Hold,93.733,0,0.0,109,55.459,272.356,10272.356
20190313,Hold,93.714,0,0.0,109,55.459,270.285,10270.285
20190314,Hold,94.467,0,0.0,109,55.459,352.362,10352.362
20190315,Hold,96.194,0,0.0,109,55.459,540.605,10540.605
20190318,Hold,94.897,0,0.0,109,55.459,399.232,10399.232
20190319,Sell,93.659,-109,10203.7265845,0,10259.185,259.185,10259.185
20190320,Hold,93.733,0,0.0,0,10259.185,259.185,10259.185
