,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120109,Buy,73.058,136,-9940.855944,136,59.144,-4.968,9995.032
20120110,Hold,73.0,0,0.0,136,59.144,-12.856,9987.144
20120111,Hold,71.428,0,0.0,136,59.144,-226.648,9773.352
20120112,Hold,74.481,0,0.0,136,59.144,188.56,10188.56
20120113,Hold,75.254,0,0.0,136,59.144,293.688,10293.688
20120117,Hold,73.721,0,0.0,136,59.144,85.2,10085.2
20120118,Hold,75.284,0,0.0,136,59.144,297.768,10297.768
20120119,Hold,76.103,0,0.0,136,59.144,409.152,10409.152
20120120,Hold,75.611,0,0.0,136,59.144,342.24,10342.24
20120123,Hold,75.274,0,0.0,136,59.144,296.408,10296.408
20120124,Hold,76.803,0,0.0,136,59.144,504.352,10504.352
20120125,Hold,77.041,0,0.0,136,59.144,536.72,10536.72
20120126,Hold,76.053,0,0.0,136,59.144,402.352,10402.352
20120127,Sell,75.195,-136,10221.406739999999,0,10280.551,280.551,10280.551
20120130,Hold,76.182,0,0.0,0,10280.551,280.551,10280.551
20120131,Buy,76.843,133,-10225.2290595,133,55.322,275.441,10275.441
20120201,Hold,75.855,0,0.0,133,55.322,144.037,10144.037
20120202,Hold,76.212,0,0.0,133,55.322,191.518,10191.518
20120203,Hold,77.021,0,0.0,133,55.322,299.115,10299.115
20120206,Hold,77.031,0,0.0,133,55.322,300.445,10300.445
20120207,Hold,80.856,0,0.0,133,55.322,809.17,10809.17
20120208,Hold,80.104,0,0.0,133,55.322,709.154,10709.154
20120209,Hold,79.512,0,0.0,133,55.322,630.418,10630.418
20120210,Hold,81.024,0,0.0,133,55.322,831.514,10831.514
20120213,Hold,80.717,0,0.0,133,55.322,790.683,10790.683
20120214,Hold,81.452,0,0.0,133,55.322,888.438,10888.438
20120215,Hold,80.52,0,0.0,133,55.322,764.482,10764.482
20120216,Hold,81.539,0,0.0,133,55.322,900.009,10900.009
20120217,Hold,81.856,0,0.0,133,55.322,942.17,10942.17
20120221,Hold,81.054,0,0.0,133,55.322,835.504,10835.504
20120222,Hold,81.104,0,0.0,133,55.322,842.154,10842.154
20120223,Hold,80.856,0,0.0,133,55.322,809.17,10809.17
20120224,Hold,80.727,0,0.0,133,55.322,792.013,10792.013
20120227,Hold,82.045,0,0.0,133,55.322,967.307,10967.307
20120228,Hold,82.764,0,0.0,133,55.322,1062.934,11062.934
20120229,Hold,84.357,0,0.0,133,55.322,1274.803,11274.803
20120301,Hold,84.732,0,0.0,133,55.322,1324.678,11324.678
20120302,Sell,83.723,-133,11129.5914205,0,11184.913,1184.913,11184.913
20120305,Hold,82.941,0,0.0,0,11184.913,1184.913,11184.913
20120306,Hold,82.114,0,0.0,0,11184.913,1184.913,11184.913
20120307,Buy,83.296,134,-11167.244832,134,17.668,1179.332,11179.332
20120308,Hold,83.782,0,0.0,134,17.668,1244.456,11244.456
20120309,Hold,85.967,0,0.0,134,17.668,1537.246,11537.246
20120312,Hold,86.744,0,0.0,134,17.668,1641.364,11641.364
20120313,Hold,88.199,0,0.0,134,17.668,1836.334,11836.334
20120314,Hold,87.972,0,0.0,134,17.668,1805.916,11805.916
20120315,Hold,89.585,0,0.0,134,17.668,2022.058,12022.058
20120316,Hold,88.041,0,0.0,134,17.668,1815.162,11815.162
20120319,Sell,87.34,-134,11697.708220000002,0,11715.377,1715.377,11715.377
