,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160108,Hold,41.204,0,0,0,10000,0.0,10000.0
20160111,Hold,41.918,0,0,0,10000,0.0,10000.0
20160112,Hold,41.423,0,0,0,10000,0.0,10000.0
20160113,Hold,40.507,0,0,0,10000,0.0,10000.0
20160114,Hold,38.6,0,0,0,10000,0.0,10000.0
20160115,Hold,38.809,0,0,0,10000,0.0,10000.0
20160119,Hold,39.087,0,0,0,10000,0.0,10000.0
20160120,Hold,38.418,0,0,0,10000,0.0,10000.0
20160121,Hold,39.305,0,0,0,10000,0.0,10000.0
20160122,Hold,39.555,0,0,0,10000,0.0,10000.0
20160125,Hold,38.418,0,0,0,10000,0.0,10000.0
20160126,Hold,39.402,0,0,0,10000,0.0,10000.0
20160127,Hold,38.933,0,0,0,10000,0.0,10000.0
20160128,Hold,37.656,0,0,0,10000,0.0,10000.0
20160129,Hold,37.122,0,0,0,10000,0.0,10000.0
20160201,Hold,37.998,0,0,0,10000,0.0,10000.0
20160202,Hold,35.519,0,0,0,10000,0.0,10000.0
20160203,Hold,34.576,0,0,0,10000,0.0,10000.0
20160204,Hold,36.941,0,0,0,10000,0.0,10000.0
20160205,Hold,35.328,0,0,0,10000,0.0,10000.0
20160208,Hold,32.849,0,0,0,10000,0.0,10000.0
20160209,Hold,33.411,0,0,0,10000,0.0,10000.0
20160210,Hold,30.797,0,0,0,10000,0.0,10000.0
20160211,Hold,30.846,0,0,0,10000,0.0,10000.0
20160212,Hold,33.021,0,0,0,10000,0.0,10000.0
20160216,Buy,34.69,288,-9995.715359999998,288,4.285,-4.995,9995.005
20160217,Hold,36.969,0,0,288,4.285,651.357,10651.357
20160218,Hold,36.149,0,0,288,4.285,415.197,10415.197
20160219,Hold,37.598,0,0,288,4.285,832.509,10832.509
20160222,Hold,37.437,0,0,288,4.285,786.141,10786.141
20160223,Sell,35.548,-288,10232.705088,0,10236.99,236.99,10236.99
20160224,Hold,36.446,0,0,0,10236.99,236.99,10236.99
20160225,Hold,36.979,0,0,0,10236.99,236.99,10236.99
20160226,Hold,36.711,0,0,0,10236.99,236.99,10236.99
20160229,Hold,36.989,0,0,0,10236.99,236.99,10236.99
20160301,Buy,37.265,274,-10215.715305,274,21.274,231.884,10231.884
20160302,Hold,37.294,0,0,274,21.274,239.83,10239.83
20160303,Hold,37.427,0,0,274,21.274,276.272,10276.272
20160304,Hold,37.303,0,0,274,21.274,242.296,10242.296
20160307,Hold,39.992,0,0,274,21.274,979.082,10979.082
20160308,Hold,39.793,0,0,274,21.274,924.556,10924.556
20160309,Hold,40.04,0,0,274,21.274,992.234,10992.234
20160310,Hold,40.145,0,0,274,21.274,1021.004,11021.004
20160311,Hold,40.604,0,0,274,21.274,1146.77,11146.77
20160314,Hold,39.545,0,0,274,21.274,856.604,10856.604
20160315,Sell,39.209,-274,10737.894367000003,0,10759.169,759.169,10759.169
20160316,Buy,40.527,265,-10745.0248275,265,14.144,753.799,10753.799
20160317,Hold,40.756,0,0,265,14.144,814.484,10814.484
20160318,Sell,40.421,-265,10706.209217500002,0,10720.353,720.353,10720.353
20160321,Hold,39.715,0,0,0,10720.353,720.353,10720.353
20160322,Hold,39.734,0,0,0,10720.353,720.353,10720.353
20160323,Hold,38.372,0,0,0,10720.353,720.353,10720.353
20160324,Hold,39.145,0,0,0,10720.353,720.353,10720.353
20160328,Hold,38.982,0,0,0,10720.353,720.353,10720.353
20160329,Hold,40.155,0,0,0,10720.353,720.353,10720.353
20160330,Buy,39.67,270,-10716.255449999999,270,4.098,714.998,10714.998
20160331,Sell,38.848,-270,10483.71552,0,10487.813,487.813,10487.813
20160401,Hold,39.334,0,0,0,10487.813,487.813,10487.813
20160404,Hold,38.353,0,0,0,10487.813,487.813,10487.813
20160405,Hold,38.333,0,0,0,10487.813,487.813,10487.813
20160406,Buy,38.992,268,-10455.080928,268,32.732,482.588,10482.588
20160407,Sell,39.353,-268,10541.330698000002,0,10574.063,574.063,10574.063
20160408,Hold,39.268,0,0,0,10574.063,574.063,10574.063
20160411,Buy,39.334,268,-10546.782756,268,27.28,568.792,10568.792
20160412,Hold,40.001,0,0,268,27.28,747.548,10747.548
20160413,Hold,40.116,0,0,268,27.28,778.368,10778.368
20160414,Hold,41.308,0,0,268,27.28,1097.824,11097.824
20160415,Hold,41.805,0,0,268,27.28,1231.02,11231.02
20160418,Hold,42.387,0,0,268,27.28,1386.996,11386.996
20160419,Hold,42.596,0,0,268,27.28,1443.008,11443.008
