,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170109,Hold,148.63,0,0,0,10000,0.0,10000.0
20170110,Hold,148.63,0,0,0,10000,0.0,10000.0
20170111,Hold,147.21,0,0,0,10000,0.0,10000.0
20170112,Hold,148.41,0,0,0,10000,0.0,10000.0
20170113,Hold,148.32,0,0,0,10000,0.0,10000.0
20170117,Hold,148.7,0,0,0,10000,0.0,10000.0
20170118,Hold,148.0,0,0,0,10000,0.0,10000.0
20170119,Hold,147.62,0,0,0,10000,0.0,10000.0
20170120,Hold,148.63,0,0,0,10000,0.0,10000.0
20170123,Hold,149.25,0,0,0,10000,0.0,10000.0
20170124,Hold,147.1,0,0,0,10000,0.0,10000.0
20170125,Hold,146.23,0,0,0,10000,0.0,10000.0
20170126,Hold,146.9,0,0,0,10000,0.0,10000.0
20170127,Hold,145.64,0,0,0,10000,0.0,10000.0
20170130,Hold,145.2,0,0,0,10000,0.0,10000.0
20170131,Hold,144.96,0,0,0,10000,0.0,10000.0
20170201,Hold,144.22,0,0,0,10000,0.0,10000.0
20170202,Buy,148.73,67,-9969.892455,67,30.108,-4.982,9995.018
20170203,Hold,146.2,0,0,67,30.108,-174.492,9825.508
20170206,Hold,146.95,0,0,67,30.108,-124.242,9875.758
20170207,Hold,147.9,0,0,67,30.108,-60.592,9939.408
20170208,Hold,150.25,0,0,67,30.108,96.858,10096.858
20170209,Hold,149.16,0,0,67,30.108,23.828,10023.828
20170210,Hold,151.84,0,0,67,30.108,203.388,10203.388
20170213,Hold,149.77,0,0,67,30.108,64.698,10064.698
20170214,Hold,149.26,0,0,67,30.108,30.528,10030.528
20170215,Sell,150.05,-67,10048.323325000001,0,10078.431,78.431,10078.431
20170216,Buy,150.89,66,-9963.719369999999,66,114.712,73.452,10073.452
20170217,Hold,149.83,0,0,66,114.712,3.492,10003.492
20170221,Hold,152.61,0,0,66,114.712,186.972,10186.972
20170222,Hold,152.86,0,0,66,114.712,203.472,10203.472
20170223,Hold,154.05,0,0,66,114.712,282.012,10282.012
20170224,Hold,154.49,0,0,66,114.712,311.052,10311.052
20170227,Hold,154.64,0,0,66,114.712,320.952,10320.952
20170228,Sell,154.31,-66,10179.36777,0,10294.079,294.079,10294.079
20170301,Hold,154.26,0,0,0,10294.079,294.079,10294.079
20170302,Hold,153.19,0,0,0,10294.079,294.079,10294.079
20170303,Hold,151.7,0,0,0,10294.079,294.079,10294.079
20170306,Hold,153.97,0,0,0,10294.079,294.079,10294.079
20170307,Hold,154.44,0,0,0,10294.079,294.079,10294.079
20170308,Hold,152.97,0,0,0,10294.079,294.079,10294.079
20170309,Hold,151.1,0,0,0,10294.079,294.079,10294.079
20170310,Hold,149.57,0,0,0,10294.079,294.079,10294.079
20170313,Hold,150.16,0,0,0,10294.079,294.079,10294.079
20170314,Buy,150.77,68,-10257.48618,68,36.593,288.953,10288.953
20170315,Hold,154.07,0,0,68,36.593,513.353,10513.353
20170316,Hold,156.3,0,0,68,36.593,664.993,10664.993
20170317,Hold,156.5,0,0,68,36.593,678.593,10678.593
20170320,Hold,155.9,0,0,68,36.593,637.793,10637.793
20170321,Hold,157.06,0,0,68,36.593,716.673,10716.673
20170322,Hold,156.42,0,0,68,36.593,673.153,10673.153
