,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200108,Buy,73.851,135,-9974.8699425,135,25.13,-4.985,9995.015
20200109,Hold,74.453,0,0.0,135,25.13,76.285,10076.285
20200110,Hold,74.896,0,0.0,135,25.13,136.09,10136.09
20200113,Hold,75.663,0,0.0,135,25.13,239.635,10239.635
20200114,Hold,75.423,0,0.0,135,25.13,207.235,10207.235
20200115,Hold,75.94,0,0.0,135,25.13,277.03,10277.03
20200116,Hold,76.182,0,0.0,135,25.13,309.7,10309.7
20200117,Hold,76.633,0,0.0,135,25.13,370.585,10370.585
20200121,Hold,77.271,0,0.0,135,25.13,456.715,10456.715
20200122,Hold,76.153,0,0.0,135,25.13,305.785,10305.785
20200123,Hold,76.918,0,0.0,135,25.13,409.06,10409.06
20200124,Hold,76.182,0,0.0,135,25.13,309.7,10309.7
20200127,Hold,76.208,0,0.0,135,25.13,313.21,10313.21
20200128,Hold,79.645,0,0.0,135,25.13,777.205,10777.205
20200129,Hold,75.728,0,0.0,135,25.13,248.41,10248.41
20200130,Hold,77.603,0,0.0,135,25.13,501.535,10501.535
20200131,Sell,77.011,-135,10391.2867575,0,10416.417,416.417,10416.417
20200203,Hold,76.689,0,0.0,0,10416.417,416.417,10416.417
20200204,Buy,77.206,134,-10350.776802,134,65.64,411.244,10411.244
20200205,Hold,77.169,0,0.0,134,65.64,406.286,10406.286
20200206,Hold,77.723,0,0.0,134,65.64,480.522,10480.522
20200207,Hold,78.296,0,0.0,134,65.64,557.304,10557.304
20200210,Hold,78.399,0,0.0,134,65.64,571.106,10571.106
20200211,Sell,78.214,-134,10475.435662,0,10541.076,541.076,10541.076
20200212,Hold,78.185,0,0.0,0,10541.076,541.076,10541.076
20200213,Buy,79.063,133,-10520.636689500001,133,20.439,535.818,10535.818
20200214,Hold,80.089,0,0.0,133,20.439,672.276,10672.276
20200218,Hold,79.636,0,0.0,133,20.439,612.027,10612.027
20200219,Sell,78.906,-133,10489.250751000001,0,10509.69,509.69,10509.69
20200220,Hold,79.626,0,0.0,0,10509.69,509.69,10509.69
20200221,Hold,79.802,0,0.0,0,10509.69,509.69,10509.69
20200224,Hold,79.496,0,0.0,0,10509.69,509.69,10509.69
20200225,Hold,77.539,0,0.0,0,10509.69,509.69,10509.69
20200226,Hold,76.133,0,0.0,0,10509.69,509.69,10509.69
20200227,Hold,71.293,0,0.0,0,10509.69,509.69,10509.69
20200228,Hold,69.814,0,0.0,0,10509.69,509.69,10509.69
20200302,Hold,73.001,0,0.0,0,10509.69,509.69,10509.69
20200303,Buy,73.631,142,-10460.829801,142,48.86,504.462,10504.462
20200304,Hold,73.842,0,0.0,142,48.86,534.424,10534.424
