,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170109,Hold,16.028,0,0,0,10000,0.0,10000.0
20170110,Hold,15.889,0,0,0,10000,0.0,10000.0
20170111,Hold,15.88,0,0,0,10000,0.0,10000.0
20170112,Hold,15.873,0,0,0,10000,0.0,10000.0
20170113,Buy,15.827,631,-9991.8304185,631,8.17,-4.993,9995.007
20170117,Hold,15.94,0,0,631,8.17,66.31,10066.31
20170118,Hold,15.88,0,0,631,8.17,28.45,10028.45
20170119,Hold,15.985,0,0,631,8.17,94.705,10094.705
20170120,Hold,16.011,0,0,631,8.17,111.111,10111.111
20170123,Sell,16.028,-631,10108.611166,0,10116.781,116.781,10116.781
20170124,Hold,16.046,0,0,0,10116.781,116.781,10116.781
20170125,Buy,16.177,625,-10115.680312499999,625,1.1,111.725,10111.725
20170126,Hold,16.345,0,0,625,1.1,216.725,10216.725
20170127,Hold,16.256,0,0,625,1.1,161.1,10161.1
20170130,Sell,15.738,-625,9831.331875,0,9832.432,-167.568,9832.432
20170131,Hold,15.906,0,0,0,9832.432,-167.568,9832.432
20170201,Hold,15.626,0,0,0,9832.432,-167.568,9832.432
20170202,Hold,15.81,0,0,0,9832.432,-167.568,9832.432
20170203,Buy,15.819,621,-9828.5107995,621,3.922,-172.479,9827.521
20170206,Sell,15.738,-621,9768.411350999999,0,9772.333,-227.667,9772.333
20170207,Buy,15.738,620,-9762.438779999999,620,9.894,-232.546,9767.454
20170208,Hold,16.083,0,0,620,9.894,-18.646,9981.354
20170209,Hold,16.09,0,0,620,9.894,-14.306,9985.694
20170210,Hold,16.17,0,0,620,9.894,35.294,10035.294
20170213,Hold,16.231,0,0,620,9.894,73.114,10073.114
20170214,Hold,16.345,0,0,620,9.894,143.794,10143.794
20170215,Hold,16.345,0,0,620,9.894,143.794,10143.794
20170216,Sell,16.273,-620,10084.21537,0,10094.109,94.109,10094.109
20170217,Hold,16.083,0,0,0,10094.109,94.109,10094.109
20170221,Hold,17.274,0,0,0,10094.109,94.109,10094.109
20170222,Hold,16.134,0,0,0,10094.109,94.109,10094.109
20170223,Hold,15.757,0,0,0,10094.109,94.109,10094.109
20170224,Hold,15.793,0,0,0,10094.109,94.109,10094.109
20170227,Hold,15.889,0,0,0,10094.109,94.109,10094.109
20170228,Hold,15.898,0,0,0,10094.109,94.109,10094.109
20170301,Buy,16.073,627,-10082.8098855,627,11.3,89.071,10089.071
20170302,Hold,16.299,0,0,627,11.3,230.773,10230.773
20170303,Hold,15.94,0,0,627,11.3,5.68,10005.68
20170306,Sell,16.125,-627,10105.3198125,0,10116.619,116.619,10116.619
20170307,Hold,15.873,0,0,0,10116.619,116.619,10116.619
20170308,Hold,15.93,0,0,0,10116.619,116.619,10116.619
20170309,Hold,15.757,0,0,0,10116.619,116.619,10116.619
20170310,Hold,15.723,0,0,0,10116.619,116.619,10116.619
20170313,Hold,15.66,0,0,0,10116.619,116.619,10116.619
20170314,Hold,15.66,0,0,0,10116.619,116.619,10116.619
20170315,Buy,16.108,627,-10104.765858,627,11.854,111.57,10111.57
20170316,Hold,16.046,0,0,627,11.854,72.696,10072.696
20170317,Hold,16.17,0,0,627,11.854,150.444,10150.444
20170320,Sell,16.144,-627,10117.226856,0,10129.08,129.08,10129.08
20170321,Hold,15.748,0,0,0,10129.08,129.08,10129.08
20170322,Hold,15.889,0,0,0,10129.08,129.08,10129.08
20170323,Hold,15.889,0,0,0,10129.08,129.08,10129.08
20170324,Buy,15.731,643,-10120.090516499999,643,8.99,124.023,10124.023
20170327,Hold,15.765,0,0,643,8.99,145.885,10145.885
20170328,Hold,15.906,0,0,643,8.99,236.548,10236.548
20170329,Hold,16.147,0,0,643,8.99,391.511,10391.511
20170330,Hold,16.41,0,0,643,8.99,560.62,10560.62
20170331,Hold,16.526,0,0,643,8.99,635.208,10635.208
20170403,Sell,16.188,-643,10403.679558,0,10412.669,412.669,10412.669
20170404,Hold,16.313,0,0,0,10412.669,412.669,10412.669
20170405,Hold,16.198,0,0,0,10412.669,412.669,10412.669
20170406,Buy,16.34,636,-10397.436119999998,636,15.233,407.473,10407.473
20170407,Sell,16.322,-636,10375.601604,0,10390.835,390.835,10390.835
20170410,Buy,16.347,635,-10385.5351725,635,5.3,385.645,10385.645
20170411,Hold,16.464,0,0,635,5.3,459.94,10459.94
20170412,Hold,16.286,0,0,635,5.3,346.91,10346.91
20170413,Hold,16.394,0,0,635,5.3,415.49,10415.49
20170417,Hold,16.34,0,0,635,5.3,381.2,10381.2
20170418,Hold,16.563,0,0,635,5.3,522.805,10522.805
20170419,Hold,16.853,0,0,635,5.3,706.955,10706.955
20170420,Hold,16.862,0,0,635,5.3,712.67,10712.67
20170421,Hold,16.872,0,0,635,5.3,719.02,10719.02
20170424,Sell,16.934,-635,10747.713455000001,0,10753.013,753.013,10753.013
20170425,Hold,16.846,0,0,0,10753.013,753.013,10753.013
20170426,Hold,17.12,0,0,0,10753.013,753.013,10753.013
20170427,Hold,17.199,0,0,0,10753.013,753.013,10753.013
20170428,Hold,15.985,0,0,0,10753.013,753.013,10753.013
20170501,Hold,16.019,0,0,0,10753.013,753.013,10753.013
20170502,Hold,16.356,0,0,0,10753.013,753.013,10753.013
20170503,Buy,16.137,666,-10752.615620999999,666,0.398,747.64,10747.64
20170504,Sell,16.039,-666,10676.633013,0,10677.031,677.031,10677.031
20170505,Hold,16.119,0,0,0,10677.031,677.031,10677.031
20170508,Hold,15.818,0,0,0,10677.031,677.031,10677.031
