,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Hold,57.055,0,0,0,10000,0.0,10000.0
20180109,Hold,56.074,0,0,0,10000,0.0,10000.0
20180110,Hold,55.384,0,0,0,10000,0.0,10000.0
20180111,Hold,55.454,0,0,0,10000,0.0,10000.0
20180112,Hold,55.932,0,0,0,10000,0.0,10000.0
20180116,Buy,56.101,178,-9990.970989,178,9.029,-4.993,9995.007
20180117,Hold,56.4,0,0,178,9.029,48.229,10048.229
20180118,Sell,55.284,-178,9835.631724,0,9844.661,-155.339,9844.661
20180119,Buy,55.626,176,-9795.071087999999,176,49.59,-160.234,9839.766
20180122,Hold,56.964,0,0,176,49.59,75.254,10075.254
20180123,Hold,58.375,0,0,176,49.59,323.59,10323.59
20180124,Hold,58.194,0,0,176,49.59,291.734,10291.734
20180125,Hold,57.826,0,0,176,49.59,226.966,10226.966
20180126,Sell,57.736,-176,10156.455232,0,10206.045,206.045,10206.045
20180129,Hold,56.775,0,0,0,10206.045,206.045,10206.045
20180130,Hold,56.667,0,0,0,10206.045,206.045,10206.045
20180131,Hold,58.422,0,0,0,10206.045,206.045,10206.045
20180201,Hold,56.848,0,0,0,10206.045,206.045,10206.045
20180202,Hold,57.071,0,0,0,10206.045,206.045,10206.045
20180205,Hold,54.051,0,0,0,10206.045,206.045,10206.045
20180206,Hold,54.411,0,0,0,10206.045,206.045,10206.045
20180207,Hold,53.981,0,0,0,10206.045,206.045,10206.045
20180208,Hold,52.749,0,0,0,10206.045,206.045,10206.045
20180209,Buy,54.485,187,-10193.789347499998,187,12.256,200.951,10200.951
20180212,Hold,53.962,0,0,187,12.256,103.15,10103.15
20180213,Hold,54.629,0,0,187,12.256,227.879,10227.879
20180214,Hold,54.601,0,0,187,12.256,222.643,10222.643
20180215,Hold,55.23,0,0,187,12.256,340.266,10340.266
20180216,Hold,55.021,0,0,187,12.256,301.183,10301.183
20180220,Sell,54.95,-187,10270.512175,0,10282.768,282.768,10282.768
20180221,Hold,54.07,0,0,0,10282.768,282.768,10282.768
20180222,Hold,54.222,0,0,0,10282.768,282.768,10282.768
20180223,Buy,55.294,185,-10234.504695,185,48.263,277.653,10277.653
20180226,Hold,55.264,0,0,185,48.263,272.103,10272.103
20180227,Sell,54.571,-185,10090.587182500001,0,10138.85,138.85,10138.85
20180228,Buy,54.378,186,-10119.365154000001,186,19.485,133.793,10133.793
20180301,Sell,54.411,-186,10115.385777000001,0,10134.871,134.871,10134.871
20180302,Hold,53.711,0,0,0,10134.871,134.871,10134.871
20180305,Buy,54.834,184,-10094.500727999999,184,40.37,129.826,10129.826
20180306,Hold,55.356,0,0,184,40.37,225.874,10225.874
20180307,Hold,55.814,0,0,184,40.37,310.146,10310.146
20180308,Hold,56.236,0,0,184,40.37,387.794,10387.794
20180309,Hold,57.098,0,0,184,40.37,546.402,10546.402
20180312,Hold,57.385,0,0,184,40.37,599.21,10599.21
20180313,Hold,57.091,0,0,184,40.37,545.114,10545.114
20180314,Hold,57.361,0,0,184,40.37,594.794,10594.794
20180315,Hold,57.489,0,0,184,40.37,618.346,10618.346
20180316,Hold,57.798,0,0,184,40.37,675.202,10675.202
20180319,Sell,57.489,-184,10572.687011999999,0,10613.057,613.057,10613.057
20180320,Hold,57.473,0,0,0,10613.057,613.057,10613.057
