,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200108,Buy,127.77,78,-9971.043029999999,78,28.957,-4.983,9995.017
20200109,Sell,127.21,-78,9917.41881,0,9946.376,-53.624,9946.376
20200110,Hold,127.5,0,0.0,0,9946.376,-53.624,9946.376
20200113,Buy,128.32,77,-9885.58032,77,60.795,-58.565,9941.435
20200114,Hold,129.68,0,0.0,77,60.795,46.155,10046.155
20200115,Hold,129.96,0,0.0,77,60.795,67.715,10067.715
20200116,Hold,131.09,0,0.0,77,60.795,154.725,10154.725
20200117,Sell,130.29,-77,10027.313835,0,10088.109,88.109,10088.109
20200121,Hold,131.67,0,0.0,0,10088.109,88.109,10088.109
20200122,Hold,128.68,0,0.0,0,10088.109,88.109,10088.109
20200123,Hold,129.82,0,0.0,0,10088.109,88.109,10088.109
20200124,Hold,126.78,0,0.0,0,10088.109,88.109,10088.109
20200127,Hold,125.09,0,0.0,0,10088.109,88.109,10088.109
20200128,Hold,123.72,0,0.0,0,10088.109,88.109,10088.109
20200129,Hold,122.61,0,0.0,0,10088.109,88.109,10088.109
20200130,Hold,119.94,0,0.0,0,10088.109,88.109,10088.109
20200131,Hold,117.63,0,0.0,0,10088.109,88.109,10088.109
20200203,Hold,116.05,0,0.0,0,10088.109,88.109,10088.109
20200204,Buy,121.06,83,-10053.00399,83,35.105,83.085,10083.085
20200205,Hold,125.04,0,0.0,83,35.105,413.425,10413.425
20200206,Hold,123.75,0,0.0,83,35.105,306.355,10306.355
20200207,Hold,125.34,0,0.0,83,35.105,438.325,10438.325
20200210,Hold,126.54,0,0.0,83,35.105,537.925,10537.925
20200211,Hold,125.23,0,0.0,83,35.105,429.195,10429.195
20200212,Sell,122.61,-83,10171.541685,0,10206.647,206.647,10206.647
20200213,Hold,124.23,0,0.0,0,10206.647,206.647,10206.647
20200214,Hold,124.43,0,0.0,0,10206.647,206.647,10206.647
20200218,Hold,124.35,0,0.0,0,10206.647,206.647,10206.647
20200219,Hold,122.68,0,0.0,0,10206.647,206.647,10206.647
20200220,Hold,125.23,0,0.0,0,10206.647,206.647,10206.647
20200221,Hold,125.7,0,0.0,0,10206.647,206.647,10206.647
20200224,Hold,126.06,0,0.0,0,10206.647,206.647,10206.647
20200225,Hold,122.08,0,0.0,0,10206.647,206.647,10206.647
20200226,Hold,116.45,0,0.0,0,10206.647,206.647,10206.647
20200227,Hold,110.58,0,0.0,0,10206.647,206.647,10206.647
20200228,Hold,110.54,0,0.0,0,10206.647,206.647,10206.647
20200302,Hold,113.79,0,0.0,0,10206.647,206.647,10206.647
20200303,Hold,110.44,0,0.0,0,10206.647,206.647,10206.647
20200304,Hold,108.71,0,0.0,0,10206.647,206.647,10206.647
20200305,Hold,104.73,0,0.0,0,10206.647,206.647,10206.647
20200306,Hold,100.74,0,0.0,0,10206.647,206.647,10206.647
20200309,Hold,95.804,0,0.0,0,10206.647,206.647,10206.647
20200310,Hold,97.328,0,0.0,0,10206.647,206.647,10206.647
20200311,Hold,82.845,0,0.0,0,10206.647,206.647,10206.647
20200312,Hold,79.559,0,0.0,0,10206.647,206.647,10206.647
20200313,Hold,70.631,0,0.0,0,10206.647,206.647,10206.647
20200316,Hold,59.592,0,0.0,0,10206.647,206.647,10206.647
20200317,Hold,48.801,0,0.0,0,10206.647,206.647,10206.647
20200318,Hold,41.469,0,0.0,0,10206.647,206.647,10206.647
20200319,Hold,52.803,0,0.0,0,10206.647,206.647,10206.647
20200320,Hold,43.428,0,0.0,0,10206.647,206.647,10206.647
20200323,Buy,48.757,209,-10195.308106499999,209,11.339,201.552,10201.552
20200324,Hold,49.893,0,0.0,209,11.339,438.976,10438.976
20200325,Hold,56.134,0,0.0,209,11.339,1743.345,11743.345
20200326,Hold,54.103,0,0.0,209,11.339,1318.866,11318.866
20200327,Sell,51.549,-209,10768.354129500001,0,10779.693,779.693,10779.693
20200330,Hold,50.689,0,0.0,0,10779.693,779.693,10779.693
20200331,Hold,45.445,0,0.0,0,10779.693,779.693,10779.693
