,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160108,Hold,24.06,0,0,0,10000,0.0,10000.0
20160111,Hold,24.501,0,0,0,10000,0.0,10000.0
20160112,Hold,24.948,0,0,0,10000,0.0,10000.0
20160113,Hold,22.409,0,0,0,10000,0.0,10000.0
20160114,Hold,20.975,0,0,0,10000,0.0,10000.0
20160115,Hold,22.382,0,0,0,10000,0.0,10000.0
20160119,Hold,21.262,0,0,0,10000,0.0,10000.0
20160120,Hold,22.018,0,0,0,10000,0.0,10000.0
20160121,Buy,22.905,436,-9991.57329,436,8.427,-4.993,9995.007
20160122,Hold,22.505,0,0,436,8.427,-179.393,9820.607
20160125,Hold,22.454,0,0,436,8.427,-201.629,9798.371
20160126,Hold,23.133,0,0,436,8.427,94.415,10094.415
20160127,Sell,22.622,-436,9858.260403999999,0,9866.687,-133.313,9866.687
20160128,Hold,22.505,0,0,0,9866.687,-133.313,9866.687
20160129,Buy,23.037,428,-9864.765918,428,1.921,-138.243,9861.757
20160201,Hold,23.524,0,0,428,1.921,70.193,10070.193
20160202,Hold,23.409,0,0,428,1.921,20.973,10020.973
20160203,Hold,23.018,0,0,428,1.921,-146.375,9853.625
20160204,Sell,23.4,-428,10010.1924,0,10012.114,12.114,10012.114
20160205,Hold,23.149,0,0,0,10012.114,12.114,10012.114
20160208,Hold,23.565,0,0,0,10012.114,12.114,10012.114
20160209,Hold,23.116,0,0,0,10012.114,12.114,10012.114
20160210,Hold,22.314,0,0,0,10012.114,12.114,10012.114
20160211,Hold,21.843,0,0,0,10012.114,12.114,10012.114
20160212,Buy,23.448,426,-9993.842423999999,426,18.271,7.119,10007.119
20160216,Hold,24.659,0,0,426,18.271,523.005,10523.005
20160217,Hold,24.566,0,0,426,18.271,483.387,10483.387
20160218,Hold,24.659,0,0,426,18.271,523.005,10523.005
20160219,Hold,24.855,0,0,426,18.271,606.501,10606.501
20160222,Hold,25.624,0,0,426,18.271,934.095,10934.095
20160223,Hold,25.045,0,0,426,18.271,687.441,10687.441
20160224,Hold,26.643,0,0,426,18.271,1368.189,11368.189
20160225,Hold,26.575,0,0,426,18.271,1339.221,11339.221
