,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200108,Buy,285.85,34,-9723.759450000001,34,276.241,-4.859,9995.141
20200109,Hold,287.25,0,0.0,34,276.241,42.741,10042.741
20200110,Hold,284.3,0,0.0,34,276.241,-57.559,9942.441
20200113,Hold,286.54,0,0.0,34,276.241,18.601,10018.601
20200114,Hold,285.67,0,0.0,34,276.241,-10.979,9989.021
20200115,Hold,288.59,0,0.0,34,276.241,88.301,10088.301
20200116,Hold,290.49,0,0.0,34,276.241,152.901,10152.901
20200117,Hold,293.2,0,0.0,34,276.241,245.041,10245.041
20200121,Hold,300.08,0,0.0,34,276.241,478.961,10478.961
20200122,Hold,298.77,0,0.0,34,276.241,434.421,10434.421
20200123,Hold,300.66,0,0.0,34,276.241,498.681,10498.681
20200124,Hold,293.16,0,0.0,34,276.241,243.681,10243.681
20200127,Sell,297.32,-34,10103.82556,0,10380.066,380.066,10380.066
20200128,Hold,297.66,0,0.0,0,10380.066,380.066,10380.066
20200129,Hold,295.7,0,0.0,0,10380.066,380.066,10380.066
20200130,Hold,295.42,0,0.0,0,10380.066,380.066,10380.066
20200131,Hold,293.95,0,0.0,0,10380.066,380.066,10380.066
20200203,Hold,291.63,0,0.0,0,10380.066,380.066,10380.066
20200204,Hold,293.95,0,0.0,0,10380.066,380.066,10380.066
20200205,Hold,296.82,0,0.0,0,10380.066,380.066,10380.066
20200206,Buy,297.46,34,-10118.69682,34,261.369,375.009,10375.009
20200207,Hold,301.04,0,0.0,34,261.369,496.729,10496.729
20200210,Hold,301.31,0,0.0,34,261.369,505.909,10505.909
20200211,Hold,298.2,0,0.0,34,261.369,400.169,10400.169
20200212,Hold,302.1,0,0.0,34,261.369,532.769,10532.769
20200213,Hold,305.95,0,0.0,34,261.369,663.669,10663.669
20200214,Hold,306.08,0,0.0,34,261.369,668.089,10668.089
20200218,Hold,309.04,0,0.0,34,261.369,768.729,10768.729
20200219,Hold,309.26,0,0.0,34,261.369,776.209,10776.209
20200220,Sell,309.49,-34,10517.39867,0,10778.768,778.768,10778.768
20200221,Hold,302.73,0,0.0,0,10778.768,778.768,10778.768
20200224,Hold,302.25,0,0.0,0,10778.768,778.768,10778.768
20200225,Hold,295.09,0,0.0,0,10778.768,778.768,10778.768
20200226,Hold,289.77,0,0.0,0,10778.768,778.768,10778.768
20200227,Hold,273.72,0,0.0,0,10778.768,778.768,10778.768
20200228,Hold,282.52,0,0.0,0,10778.768,778.768,10778.768
20200302,Buy,296.63,36,-10684.019339999999,36,94.749,773.429,10773.429
20200303,Sell,295.8,-36,10643.475600000002,0,10738.224,738.224,10738.224
20200304,Buy,302.99,35,-10609.952324999998,35,128.272,732.922,10732.922
20200305,Sell,300.58,-35,10515.03985,0,10643.312,643.312,10643.312
20200306,Hold,283.9,0,0.0,0,10643.312,643.312,10643.312
20200309,Hold,295.49,0,0.0,0,10643.312,643.312,10643.312
20200310,Hold,288.69,0,0.0,0,10643.312,643.312,10643.312
20200311,Hold,269.07,0,0.0,0,10643.312,643.312,10643.312
20200312,Hold,277.13,0,0.0,0,10643.312,643.312,10643.312
20200313,Hold,270.42,0,0.0,0,10643.312,643.312,10643.312
20200316,Hold,277.3,0,0.0,0,10643.312,643.312,10643.312
20200317,Buy,285.93,37,-10584.699704999999,37,58.612,638.022,10638.022
