,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170109,Buy,118.58,84,-9965.700359999999,84,34.3,-4.98,9995.02
20170110,Hold,120.47,0,0.0,84,34.3,153.78,10153.78
20170111,Hold,119.95,0,0.0,84,34.3,110.1,10110.1
20170112,Hold,119.43,0,0.0,84,34.3,66.42,10066.42
20170113,Hold,119.59,0,0.0,84,34.3,79.86,10079.86
20170117,Hold,120.28,0,0.0,84,34.3,137.82,10137.82
20170118,Hold,120.37,0,0.0,84,34.3,145.38,10145.38
20170119,Hold,119.72,0,0.0,84,34.3,90.78,10090.78
20170120,Hold,119.76,0,0.0,84,34.3,94.14,10094.14
20170123,Hold,122.05,0,0.0,84,34.3,286.5,10286.5
20170124,Hold,122.55,0,0.0,84,34.3,328.5,10328.5
20170125,Hold,122.15,0,0.0,84,34.3,294.9,10294.9
20170126,Hold,122.86,0,0.0,84,34.3,354.54,10354.54
20170127,Hold,122.15,0,0.0,84,34.3,294.9,10294.9
20170130,Hold,121.81,0,0.0,84,34.3,266.34,10266.34
20170131,Sell,121.84,-84,10229.442720000001,0,10263.742,263.742,10263.742
20170201,Hold,121.68,0,0.0,0,10263.742,263.742,10263.742
20170202,Hold,121.5,0,0.0,0,10263.742,263.742,10263.742
20170203,Hold,121.65,0,0.0,0,10263.742,263.742,10263.742
20170206,Hold,121.4,0,0.0,0,10263.742,263.742,10263.742
20170207,Buy,121.18,84,-10184.209560000001,84,79.533,258.653,10258.653
20170208,Hold,121.95,0,0.0,84,79.533,323.333,10323.333
20170209,Hold,122.68,0,0.0,84,79.533,384.653,10384.653
20170210,Hold,124.33,0,0.0,84,79.533,523.253,10523.253
20170213,Hold,123.87,0,0.0,84,79.533,484.613,10484.613
20170214,Hold,125.05,0,0.0,84,79.533,583.733,10583.733
20170215,Hold,126.03,0,0.0,84,79.533,666.053,10666.053
20170216,Hold,125.12,0,0.0,84,79.533,589.613,10589.613
20170217,Hold,128.87,0,0.0,84,79.533,904.613,10904.613
20170221,Hold,128.41,0,0.0,84,79.533,865.973,10865.973
20170222,Hold,129.34,0,0.0,84,79.533,944.093,10944.093
20170223,Hold,128.04,0,0.0,84,79.533,834.893,10834.893
20170224,Hold,129.13,0,0.0,84,79.533,926.453,10926.453
20170227,Sell,128.34,-84,10775.16972,0,10854.703,854.703,10854.703
20170228,Buy,129.87,83,-10784.599605000001,83,70.103,849.313,10849.313
20170301,Hold,130.18,0,0.0,83,70.103,875.043,10875.043
20170302,Hold,131.1,0,0.0,83,70.103,951.403,10951.403
20170303,Hold,130.22,0,0.0,83,70.103,878.363,10878.363
20170306,Sell,130.3,-83,10809.492550000003,0,10879.595,879.595,10879.595
20170307,Hold,130.2,0,0.0,0,10879.595,879.595,10879.595
20170308,Hold,130.97,0,0.0,0,10879.595,879.595,10879.595
20170309,Hold,131.12,0,0.0,0,10879.595,879.595,10879.595
20170310,Buy,131.21,82,-10764.599610000001,82,114.996,874.216,10874.216
20170313,Hold,131.15,0,0.0,82,114.996,869.296,10869.296
20170314,Sell,131.23,-82,10755.47957,0,10870.475,870.475,10870.475
20170315,Buy,132.15,82,-10841.71815,82,28.757,865.057,10865.057
20170316,Hold,133.08,0,0.0,82,28.757,941.317,10941.317
20170317,Sell,133.06,-82,10905.46454,0,10934.222,934.222,10934.222
20170320,Hold,132.09,0,0.0,0,10934.222,934.222,10934.222
20170321,Hold,130.67,0,0.0,0,10934.222,934.222,10934.222
20170322,Hold,131.16,0,0.0,0,10934.222,934.222,10934.222
20170323,Buy,131.67,83,-10934.074304999998,83,0.148,928.758,10928.758
20170324,Sell,130.97,-83,10865.074745000002,0,10865.222,865.222,10865.222
20170327,Hold,131.17,0,0.0,0,10865.222,865.222,10865.222
20170328,Hold,130.34,0,0.0,0,10865.222,865.222,10865.222
20170329,Hold,130.66,0,0.0,0,10865.222,865.222,10865.222
20170330,Hold,130.8,0,0.0,0,10865.222,865.222,10865.222
20170331,Hold,130.86,0,0.0,0,10865.222,865.222,10865.222
20170403,Hold,130.47,0,0.0,0,10865.222,865.222,10865.222
20170404,Hold,130.58,0,0.0,0,10865.222,865.222,10865.222
20170405,Hold,130.95,0,0.0,0,10865.222,865.222,10865.222
20170406,Buy,130.99,82,-10746.550589999999,82,118.672,859.852,10859.852
20170407,Hold,130.88,0,0.0,82,118.672,850.832,10850.832
20170410,Hold,131.72,0,0.0,82,118.672,919.712,10919.712
20170411,Hold,131.29,0,0.0,82,118.672,884.452,10884.452
20170412,Sell,130.39,-82,10686.63401,0,10805.306,805.306,10805.306
20170413,Hold,129.93,0,0.0,0,10805.306,805.306,10805.306
20170417,Hold,130.97,0,0.0,0,10805.306,805.306,10805.306
20170418,Buy,131.74,81,-10676.27547,81,129.03,799.97,10799.97
20170419,Hold,131.49,0,0.0,81,129.03,779.72,10779.72
20170420,Hold,132.23,0,0.0,81,129.03,839.66,10839.66
20170421,Hold,134.57,0,0.0,81,129.03,1029.2,11029.2
20170424,Hold,136.07,0,0.0,81,129.03,1150.7,11150.7
20170425,Hold,136.36,0,0.0,81,129.03,1174.19,11174.19
20170426,Hold,137.77,0,0.0,81,129.03,1288.4,11288.4
20170427,Hold,138.92,0,0.0,81,129.03,1381.55,11381.55
20170428,Hold,139.12,0,0.0,81,129.03,1397.75,11397.75
20170501,Sell,137.58,-81,11138.408010000003,0,11267.438,1267.438,11267.438
20170502,Hold,138.19,0,0.0,0,11267.438,1267.438,11267.438
20170503,Hold,138.43,0,0.0,0,11267.438,1267.438,11267.438
20170504,Hold,138.35,0,0.0,0,11267.438,1267.438,11267.438
20170505,Buy,138.76,81,-11245.179779999999,81,22.258,1261.818,11261.818
20170508,Hold,139.87,0,0.0,81,22.258,1351.728,11351.728
20170509,Hold,140.26,0,0.0,81,22.258,1383.318,11383.318
20170510,Hold,140.11,0,0.0,81,22.258,1371.168,11371.168
20170511,Sell,139.27,-81,11275.229565000001,0,11297.488,1297.488,11297.488
20170512,Hold,140.06,0,0.0,0,11297.488,1297.488,11297.488
20170515,Hold,142.59,0,0.0,0,11297.488,1297.488,11297.488
20170516,Hold,139.9,0,0.0,0,11297.488,1297.488,11297.488
20170517,Hold,138.45,0,0.0,0,11297.488,1297.488,11297.488
20170518,Hold,138.95,0,0.0,0,11297.488,1297.488,11297.488
20170519,Hold,139.37,0,0.0,0,11297.488,1297.488,11297.488
20170522,Hold,138.82,0,0.0,0,11297.488,1297.488,11297.488
20170523,Hold,137.78,0,0.0,0,11297.488,1297.488,11297.488
20170524,Hold,139.1,0,0.0,0,11297.488,1297.488,11297.488
20170525,Hold,139.01,0,0.0,0,11297.488,1297.488,11297.488
20170526,Hold,137.95,0,0.0,0,11297.488,1297.488,11297.488
20170530,Hold,138.26,0,0.0,0,11297.488,1297.488,11297.488
20170531,Hold,137.5,0,0.0,0,11297.488,1297.488,11297.488
20170601,Buy,138.61,81,-11233.023705000001,81,64.464,1291.874,11291.874
20170602,Hold,139.31,0,0.0,81,64.464,1348.574,11348.574
20170605,Sell,138.34,-81,11199.937230000001,0,11264.402,1264.402,11264.402
20170606,Hold,138.53,0,0.0,0,11264.402,1264.402,11264.402
20170607,Hold,138.97,0,0.0,0,11264.402,1264.402,11264.402
20170608,Hold,137.95,0,0.0,0,11264.402,1264.402,11264.402
20170609,Hold,136.84,0,0.0,0,11264.402,1264.402,11264.402
20170612,Hold,136.43,0,0.0,0,11264.402,1264.402,11264.402
20170613,Hold,138.38,0,0.0,0,11264.402,1264.402,11264.402
20170614,Buy,139.86,80,-11194.394400000001,80,70.007,1258.807,11258.807
