,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170109,Hold,61.784,0,0,0,10000,0.0,10000.0
20170110,Hold,61.389,0,0,0,10000,0.0,10000.0
20170111,Hold,61.535,0,0,0,10000,0.0,10000.0
20170112,Hold,61.192,0,0,0,10000,0.0,10000.0
20170113,Hold,61.29,0,0,0,10000,0.0,10000.0
20170117,Hold,61.101,0,0,0,10000,0.0,10000.0
20170118,Hold,61.326,0,0,0,10000,0.0,10000.0
20170119,Hold,60.973,0,0,0,10000,0.0,10000.0
20170120,Hold,60.316,0,0,0,10000,0.0,10000.0
20170123,Hold,60.211,0,0,0,10000,0.0,10000.0
20170124,Hold,60.774,0,0,0,10000,0.0,10000.0
20170125,Hold,60.426,0,0,0,10000,0.0,10000.0
20170126,Hold,60.183,0,0,0,10000,0.0,10000.0
20170127,Hold,59.076,0,0,0,10000,0.0,10000.0
20170130,Hold,59.597,0,0,0,10000,0.0,10000.0
20170131,Hold,59.821,0,0,0,10000,0.0,10000.0
20170201,Hold,59.715,0,0,0,10000,0.0,10000.0
20170202,Buy,60.146,166,-9989.228118,166,10.772,-4.992,9995.008
20170203,Sell,59.743,-166,9912.379331,0,9923.151,-76.849,9923.151
20170206,Buy,59.912,165,-9890.422739999998,165,32.728,-81.792,9918.208
20170207,Hold,60.211,0,0,165,32.728,-32.457,9967.543
20170208,Hold,61.028,0,0,165,32.728,102.348,10102.348
20170209,Hold,61.431,0,0,165,32.728,168.843,10168.843
20170210,Hold,61.496,0,0,165,32.728,179.568,10179.568
20170213,Sell,61.101,-165,10076.6241675,0,10109.353,109.353,10109.353
20170214,Buy,60.991,165,-10068.546757499998,165,40.806,104.321,10104.321
20170215,Hold,61.812,0,0,165,40.806,239.786,10239.786
20170216,Hold,61.954,0,0,165,40.806,263.216,10263.216
20170217,Hold,64.096,0,0,165,40.806,616.646,10616.646
20170221,Hold,65.036,0,0,165,40.806,771.746,10771.746
20170222,Hold,64.809,0,0,165,40.806,734.291,10734.291
20170223,Hold,64.215,0,0,165,40.806,636.281,10636.281
20170224,Sell,65.059,-165,10729.3676325,0,10770.174,770.174,10770.174
20170227,Hold,63.792,0,0,0,10770.174,770.174,10770.174
20170228,Hold,63.88,0,0,0,10770.174,770.174,10770.174
20170301,Hold,63.385,0,0,0,10770.174,770.174,10770.174
20170302,Hold,63.738,0,0,0,10770.174,770.174,10770.174
20170303,Hold,63.008,0,0,0,10770.174,770.174,10770.174
20170306,Hold,62.919,0,0,0,10770.174,770.174,10770.174
20170307,Hold,63.19,0,0,0,10770.174,770.174,10770.174
20170308,Buy,63.244,170,-10756.855739999999,170,13.318,764.798,10764.798
20170309,Hold,63.474,0,0,170,13.318,803.898,10803.898
20170310,Hold,63.464,0,0,170,13.318,802.198,10802.198
20170313,Hold,64.215,0,0,170,13.318,929.868,10929.868
20170314,Hold,63.926,0,0,170,13.318,880.738,10880.738
20170315,Hold,63.571,0,0,170,13.318,820.388,10820.388
20170316,Sell,64.0,-170,10874.560000000001,0,10887.878,887.878,10887.878
20170317,Hold,63.597,0,0,0,10887.878,887.878,10887.878
20170320,Hold,63.626,0,0,0,10887.878,887.878,10887.878
20170321,Hold,63.498,0,0,0,10887.878,887.878,10887.878
20170322,Buy,63.654,170,-10826.59059,170,61.287,882.467,10882.467
20170323,Hold,63.464,0,0,170,61.287,850.167,10850.167
20170324,Hold,63.037,0,0,170,61.287,777.577,10777.577
20170327,Hold,62.865,0,0,170,61.287,748.337,10748.337
20170328,Hold,63.79,0,0,170,61.287,905.587,10905.587
20170329,Hold,64.096,0,0,170,61.287,957.607,10957.607
20170330,Hold,64.669,0,0,170,61.287,1055.017,11055.017
20170331,Hold,65.359,0,0,170,61.287,1172.317,11172.317
20170403,Hold,65.05,0,0,170,61.287,1119.787,11119.787
20170404,Hold,64.959,0,0,170,61.287,1104.317,11104.317
20170405,Hold,65.015,0,0,170,61.287,1113.837,11113.837
20170406,Hold,65.376,0,0,170,61.287,1175.207,11175.207
20170407,Hold,66.183,0,0,170,61.287,1312.397,11312.397
20170410,Hold,66.191,0,0,170,61.287,1313.757,11313.757
20170411,Hold,66.688,0,0,170,61.287,1398.247,11398.247
20170412,Hold,66.527,0,0,170,61.287,1370.877,11370.877
20170413,Hold,66.336,0,0,170,61.287,1338.407,11338.407
20170417,Hold,66.679,0,0,170,61.287,1396.717,11396.717
20170418,Hold,67.19,0,0,170,61.287,1483.587,11483.587
20170419,Hold,67.225,0,0,170,61.287,1489.537,11489.537
20170420,Hold,67.77,0,0,170,61.287,1582.187,11582.187
20170421,Hold,68.078,0,0,170,61.287,1634.547,11634.547
20170424,Hold,67.979,0,0,170,61.287,1617.717,11617.717
20170425,Hold,68.252,0,0,170,61.287,1664.127,11664.127
20170426,Hold,68.495,0,0,170,61.287,1705.437,11705.437
20170427,Hold,68.225,0,0,170,61.287,1659.537,11659.537
20170428,Sell,68.086,-170,11568.83269,0,11630.12,1630.12,11630.12
20170501,Hold,68.275,0,0,0,11630.12,1630.12,11630.12
20170502,Buy,68.368,170,-11628.37128,170,1.749,1624.309,11624.309
20170503,Hold,68.85,0,0,170,1.749,1706.249,11706.249
20170504,Hold,69.294,0,0,170,1.749,1781.729,11781.729
20170505,Hold,69.363,0,0,170,1.749,1793.459,11793.459
20170508,Sell,69.313,-170,11777.318395000002,0,11779.067,1779.067,11779.067
20170509,Hold,69.677,0,0,0,11779.067,1779.067,11779.067
20170510,Buy,69.693,168,-11714.278212,168,64.789,1773.213,11773.213
20170511,Sell,69.33,-168,11641.616280000002,0,11706.405,1706.405,11706.405
