,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190108,Buy,20.89,478,-9990.412709999999,478,9.587,-4.993,9995.007
20190109,Hold,19.76,0,0.0,478,9.587,-545.133,9454.867
20190110,Sell,19.47,-478,9302.00667,0,9311.594,-688.406,9311.594
20190111,Hold,19.96,0,0.0,0,9311.594,-688.406,9311.594
20190114,Hold,20.44,0,0.0,0,9311.594,-688.406,9311.594
20190115,Hold,20.4,0,0.0,0,9311.594,-688.406,9311.594
20190116,Hold,19.49,0,0.0,0,9311.594,-688.406,9311.594
20190117,Hold,20.37,0,0.0,0,9311.594,-688.406,9311.594
20190118,Hold,20.48,0,0.0,0,9311.594,-688.406,9311.594
20190122,Hold,20.03,0,0.0,0,9311.594,-688.406,9311.594
20190123,Hold,20.06,0,0.0,0,9311.594,-688.406,9311.594
20190124,Buy,20.99,443,-9303.219285,443,8.375,-693.055,9306.945
20190125,Hold,20.315,0,0.0,443,8.375,-992.08,9007.92
20190128,Sell,20.26,-443,8970.692410000001,0,8979.067,-1020.933,8979.067
20190129,Buy,21.49,417,-8965.810664999999,417,13.256,-1025.414,8974.586
20190130,Hold,23.02,0,0.0,417,13.256,-387.404,9612.596
20190131,Hold,24.61,0,0.0,417,13.256,275.626,10275.626
20190201,Hold,24.43,0,0.0,417,13.256,200.566,10200.566
20190204,Hold,23.42,0,0.0,417,13.256,-220.604,9779.396
20190205,Sell,23.63,-417,9848.783145,0,9862.04,-137.96,9862.04
20190206,Hold,22.99,0,0.0,0,9862.04,-137.96,9862.04
20190207,Hold,22.33,0,0.0,0,9862.04,-137.96,9862.04
20190208,Hold,23.05,0,0.0,0,9862.04,-137.96,9862.04
20190211,Hold,23.43,0,0.0,0,9862.04,-137.96,9862.04
20190212,Hold,22.98,0,0.0,0,9862.04,-137.96,9862.04
20190213,Buy,22.74,433,-9851.343209999999,433,10.696,-142.884,9857.116
20190214,Hold,23.58,0,0.0,433,10.696,220.836,10220.836
20190215,Hold,23.625,0,0.0,433,10.696,240.321,10240.321
20190219,Hold,24.14,0,0.0,433,10.696,463.316,10463.316
20190220,Hold,24.04,0,0.0,433,10.696,420.016,10420.016
20190221,Hold,24.05,0,0.0,433,10.696,424.346,10424.346
20190222,Hold,25.01,0,0.0,433,10.696,840.026,10840.026
20190225,Hold,24.65,0,0.0,433,10.696,684.146,10684.146
20190226,Sell,24.11,-433,10434.410185,0,10445.107,445.107,10445.107
20190227,Hold,23.21,0,0.0,0,10445.107,445.107,10445.107
20190228,Hold,23.97,0,0.0,0,10445.107,445.107,10445.107
20190301,Hold,23.89,0,0.0,0,10445.107,445.107,10445.107
20190304,Hold,23.34,0,0.0,0,10445.107,445.107,10445.107
20190305,Hold,23.47,0,0.0,0,10445.107,445.107,10445.107
20190306,Hold,22.33,0,0.0,0,10445.107,445.107,10445.107
20190307,Hold,21.35,0,0.0,0,10445.107,445.107,10445.107
20190308,Hold,22.15,0,0.0,0,10445.107,445.107,10445.107
20190311,Buy,23.1,451,-10423.30905,451,21.797,439.897,10439.897
20190312,Hold,23.66,0,0.0,451,21.797,692.457,10692.457
20190313,Hold,23.37,0,0.0,451,21.797,561.667,10561.667
20190314,Hold,23.1,0,0.0,451,21.797,439.897,10439.897
20190315,Hold,23.3,0,0.0,451,21.797,530.097,10530.097
20190318,Hold,23.6,0,0.0,451,21.797,665.397,10665.397
20190319,Hold,26.49,0,0.0,451,21.797,1968.787,11968.787
20190320,Hold,25.78,0,0.0,451,21.797,1648.577,11648.577
20190321,Hold,27.54,0,0.0,451,21.797,2442.337,12442.337
20190322,Sell,26.29,-451,11850.861605,0,11872.659,1872.659,11872.659
20190325,Hold,26.69,0,0.0,0,11872.659,1872.659,11872.659
20190326,Hold,25.7,0,0.0,0,11872.659,1872.659,11872.659
20190327,Hold,25.1,0,0.0,0,11872.659,1872.659,11872.659
20190328,Hold,25.58,0,0.0,0,11872.659,1872.659,11872.659
20190329,Buy,26.42,449,-11868.511289999999,449,4.148,1866.728,11866.728
20190401,Hold,26.51,0,0.0,449,4.148,1907.138,11907.138
20190402,Hold,28.02,0,0.0,449,4.148,2585.128,12585.128
20190403,Hold,28.88,0,0.0,449,4.148,2971.268,12971.268
20190404,Hold,29.64,0,0.0,449,4.148,3312.508,13312.508
20190405,Hold,28.69,0,0.0,449,4.148,2885.958,12885.958
20190408,Sell,28.24,-449,12673.420119999999,0,12677.568,2677.568,12677.568
20190409,Hold,27.46,0,0.0,0,12677.568,2677.568,12677.568
20190410,Hold,27.81,0,0.0,0,12677.568,2677.568,12677.568
20190411,Hold,28.21,0,0.0,0,12677.568,2677.568,12677.568
20190412,Hold,27.8,0,0.0,0,12677.568,2677.568,12677.568
20190415,Hold,27.72,0,0.0,0,12677.568,2677.568,12677.568
20190416,Hold,28.21,0,0.0,0,12677.568,2677.568,12677.568
20190417,Hold,27.6,0,0.0,0,12677.568,2677.568,12677.568
20190418,Hold,27.62,0,0.0,0,12677.568,2677.568,12677.568
20190422,Buy,28.18,449,-12659.14641,449,18.422,2671.242,12671.242
20190423,Hold,28.1,0,0.0,449,18.422,2635.322,12635.322
20190424,Hold,28.67,0,0.0,449,18.422,2891.252,12891.252
20190425,Sell,27.66,-449,12413.13033,0,12431.552,2431.552,12431.552
20190426,Hold,27.9,0,0.0,0,12431.552,2431.552,12431.552
20190429,Hold,27.59,0,0.0,0,12431.552,2431.552,12431.552
20190430,Hold,28.95,0,0.0,0,12431.552,2431.552,12431.552
20190501,Hold,26.94,0,0.0,0,12431.552,2431.552,12431.552
20190502,Buy,28.3,439,-12429.91185,439,1.64,2425.34,12425.34
20190503,Hold,26.72,0,0.0,439,1.64,1731.72,11731.72
20190506,Sell,27.2,-439,11934.8296,0,11936.47,1936.47,11936.47
20190507,Hold,26.41,0,0.0,0,11936.47,1936.47,11936.47
20190508,Hold,26.7,0,0.0,0,11936.47,1936.47,11936.47
20190509,Hold,27.03,0,0.0,0,11936.47,1936.47,11936.47
20190510,Buy,26.98,442,-11931.12258,442,5.347,1930.507,11930.507
20190513,Sell,26.53,-442,11720.39687,0,11725.744,1725.744,11725.744
20190514,Buy,26.87,436,-11721.17766,436,4.566,1719.886,11719.886
20190515,Hold,27.37,0,0.0,436,4.566,1937.886,11937.886
20190516,Sell,27.69,-436,12066.803580000002,0,12071.37,2071.37,12071.37
20190517,Hold,26.98,0,0.0,0,12071.37,2071.37,12071.37
20190520,Hold,27.18,0,0.0,0,12071.37,2071.37,12071.37
20190521,Hold,27.12,0,0.0,0,12071.37,2071.37,12071.37
20190522,Hold,26.99,0,0.0,0,12071.37,2071.37,12071.37
20190523,Hold,26.61,0,0.0,0,12071.37,2071.37,12071.37
20190524,Hold,27.27,0,0.0,0,12071.37,2071.37,12071.37
20190528,Buy,29.0,416,-12070.032,416,1.338,2065.338,12065.338
20190529,Hold,28.4,0,0.0,416,1.338,1815.738,11815.738
20190530,Hold,27.57,0,0.0,416,1.338,1470.458,11470.458
20190531,Sell,28.75,-416,11954.02,0,11955.358,1955.358,11955.358
20190603,Buy,28.39,420,-11929.761900000001,420,25.596,1949.396,11949.396
20190604,Hold,29.93,0,0.0,420,25.596,2596.196,12596.196
20190605,Hold,29.87,0,0.0,420,25.596,2570.996,12570.996
20190606,Hold,31.94,0,0.0,420,25.596,3440.396,13440.396
20190607,Hold,33.53,0,0.0,420,25.596,4108.196,14108.196
20190610,Hold,33.43,0,0.0,420,25.596,4066.196,14066.196
20190611,Sell,32.0,-420,13433.28,0,13458.876,3458.876,13458.876
20190612,Hold,32.39,0,0.0,0,13458.876,3458.876,13458.876
20190613,Hold,30.7,0,0.0,0,13458.876,3458.876,13458.876
20190614,Hold,30.25,0,0.0,0,13458.876,3458.876,13458.876
20190617,Hold,29.76,0,0.0,0,13458.876,3458.876,13458.876
20190618,Hold,30.665,0,0.0,0,13458.876,3458.876,13458.876
20190619,Hold,31.24,0,0.0,0,13458.876,3458.876,13458.876
20190620,Hold,29.65,0,0.0,0,13458.876,3458.876,13458.876
20190621,Hold,29.32,0,0.0,0,13458.876,3458.876,13458.876
20190624,Hold,29.26,0,0.0,0,13458.876,3458.876,13458.876
20190625,Hold,29.98,0,0.0,0,13458.876,3458.876,13458.876
20190626,Buy,30.41,442,-13447.940609999998,442,10.935,3452.155,13452.155
20190627,Hold,31.08,0,0.0,442,10.935,3748.295,13748.295
20190628,Hold,31.79,0,0.0,442,10.935,4062.115,14062.115
20190701,Hold,30.96,0,0.0,442,10.935,3695.255,13695.255
20190702,Hold,31.13,0,0.0,442,10.935,3770.395,13770.395
20190703,Hold,30.88,0,0.0,442,10.935,3659.895,13659.895
20190705,Hold,31.8,0,0.0,442,10.935,4066.535,14066.535
20190708,Hold,31.76,0,0.0,442,10.935,4048.855,14048.855
20190709,Hold,33.56,0,0.0,442,10.935,4844.455,14844.455
20190710,Hold,33.91,0,0.0,442,10.935,4999.155,14999.155
20190711,Hold,32.76,0,0.0,442,10.935,4490.855,14490.855
20190712,Sell,33.34,-442,14728.911860000002,0,14739.847,4739.847,14739.847
20190715,Buy,34.3,429,-14722.057349999997,429,17.79,4732.49,14732.49
20190716,Sell,34.01,-429,14582.994854999999,0,14600.785,4600.785,14600.785
20190717,Hold,33.03,0,0.0,0,14600.785,4600.785,14600.785
20190718,Hold,33.08,0,0.0,0,14600.785,4600.785,14600.785
20190719,Hold,32.8,0,0.0,0,14600.785,4600.785,14600.785
20190722,Hold,33.17,0,0.0,0,14600.785,4600.785,14600.785
20190723,Buy,33.64,433,-14573.40306,433,27.382,4593.502,14593.502
20190724,Hold,34.05,0,0.0,433,27.382,4771.032,14771.032
20190725,Sell,34.23,-433,14814.179204999999,0,14841.561,4841.561,14841.561
20190726,Hold,34.14,0,0.0,0,14841.561,4841.561,14841.561
20190729,Hold,33.21,0,0.0,0,14841.561,4841.561,14841.561
20190730,Hold,32.08,0,0.0,0,14841.561,4841.561,14841.561
20190731,Hold,30.5,0,0.0,0,14841.561,4841.561,14841.561
20190801,Hold,29.48,0,0.0,0,14841.561,4841.561,14841.561
20190802,Hold,28.26,0,0.0,0,14841.561,4841.561,14841.561
20190805,Hold,28.86,0,0.0,0,14841.561,4841.561,14841.561
20190806,Hold,28.47,0,0.0,0,14841.561,4841.561,14841.561
20190807,Buy,31.53,470,-14826.509549999999,470,15.051,4834.151,14834.151
20190808,Hold,33.45,0,0.0,470,15.051,5736.551,15736.551
20190809,Hold,34.16,0,0.0,470,15.051,6070.251,16070.251
20190812,Hold,32.36,0,0.0,470,15.051,5224.251,15224.251
20190813,Sell,31.0,-470,14562.715,0,14577.766,4577.766,14577.766
20190814,Hold,30.63,0,0.0,0,14577.766,4577.766,14577.766
20190815,Hold,30.32,0,0.0,0,14577.766,4577.766,14577.766
20190816,Buy,32.0,455,-14567.279999999999,455,10.486,4570.486,14570.486
20190819,Hold,30.94,0,0.0,455,10.486,4088.186,14088.186
20190820,Sell,31.05,-455,14120.686125,0,14131.172,4131.172,14131.172
