,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Buy,94.025,106,-9971.633325,106,28.367,-4.983,9995.017
20210111,Hold,97.86,0,0.0,106,28.367,401.527,10401.527
20210112,Hold,93.01,0,0.0,106,28.367,-112.573,9887.427
20210113,Sell,91.77,-106,9722.75619,0,9751.123,-248.877,9751.123
20210114,Hold,90.75,0,0.0,0,9751.123,-248.877,9751.123
20210115,Hold,89.56,0,0.0,0,9751.123,-248.877,9751.123
20210119,Hold,90.55,0,0.0,0,9751.123,-248.877,9751.123
20210120,Hold,89.34,0,0.0,0,9751.123,-248.877,9751.123
20210121,Buy,94.42,103,-9730.12263,103,21.0,-253.74,9746.26
20210122,Hold,94.14,0,0.0,103,21.0,-282.58,9717.42
20210125,Hold,94.91,0,0.0,103,21.0,-203.27,9796.73
20210126,Hold,91.1,0,0.0,103,21.0,-595.7,9404.3
20210127,Sell,89.83,-103,9247.863755,0,9268.864,-731.136,9268.864
20210128,Hold,87.56,0,0.0,0,9268.864,-731.136,9268.864
20210129,Hold,86.77,0,0.0,0,9268.864,-731.136,9268.864
20210201,Hold,88.49,0,0.0,0,9268.864,-731.136,9268.864
20210202,Buy,88.6,104,-9219.0072,104,49.857,-735.743,9264.257
20210203,Hold,88.22,0,0.0,104,49.857,-775.263,9224.737
20210204,Hold,88.15,0,0.0,104,49.857,-782.543,9217.457
20210205,Sell,88.31,-104,9179.64788,0,9229.505,-770.495,9229.505
20210208,Buy,91.39,100,-9143.5695,100,85.935,-775.065,9224.935
20210209,Hold,91.5,0,0.0,100,85.935,-764.065,9235.935
20210210,Hold,92.9,0,0.0,100,85.935,-624.065,9375.935
20210211,Hold,92.75,0,0.0,100,85.935,-639.065,9360.935
20210212,Hold,93.9,0,0.0,100,85.935,-524.065,9475.935
20210216,Sell,90.56,-100,9051.472,0,9137.407,-862.593,9137.407
20210217,Hold,89.09,0,0.0,0,9137.407,-862.593,9137.407
20210218,Hold,89.75,0,0.0,0,9137.407,-862.593,9137.407
20210219,Hold,88.15,0,0.0,0,9137.407,-862.593,9137.407
20210222,Hold,83.4,0,0.0,0,9137.407,-862.593,9137.407
20210223,Hold,84.33,0,0.0,0,9137.407,-862.593,9137.407
20210224,Hold,86.17,0,0.0,0,9137.407,-862.593,9137.407
20210225,Hold,83.565,0,0.0,0,9137.407,-862.593,9137.407
20210226,Hold,85.365,0,0.0,0,9137.407,-862.593,9137.407
20210301,Hold,86.92,0,0.0,0,9137.407,-862.593,9137.407
20210302,Hold,84.28,0,0.0,0,9137.407,-862.593,9137.407
20210303,Hold,80.23,0,0.0,0,9137.407,-862.593,9137.407
20210304,Hold,79.0,0,0.0,0,9137.407,-862.593,9137.407
20210305,Hold,78.03,0,0.0,0,9137.407,-862.593,9137.407
20210308,Hold,76.73,0,0.0,0,9137.407,-862.593,9137.407
