,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Buy,16.236,615,-9990.132570000002,615,9.867,-4.993,9995.007
20130109,Hold,16.534,0,0.0,615,9.867,178.277,10178.277
20130110,Hold,16.679,0,0.0,615,9.867,267.452,10267.452
20130111,Hold,16.818,0,0.0,615,9.867,352.937,10352.937
20130114,Hold,16.795,0,0.0,615,9.867,338.792,10338.792
20130115,Sell,16.766,-615,10305.934454999999,0,10315.802,315.802,10315.802
20130116,Hold,16.926,0,0.0,0,10315.802,315.802,10315.802
20130117,Hold,16.341,0,0.0,0,10315.802,315.802,10315.802
20130118,Hold,16.287,0,0.0,0,10315.802,315.802,10315.802
20130122,Hold,16.219,0,0.0,0,10315.802,315.802,10315.802
20130123,Hold,16.147,0,0.0,0,10315.802,315.802,10315.802
20130124,Hold,16.098,0,0.0,0,10315.802,315.802,10315.802
20130125,Buy,16.077,641,-10310.5096785,641,5.292,310.649,10310.649
20130128,Hold,16.139,0,0.0,641,5.292,350.391,10350.391
20130129,Hold,16.295,0,0.0,641,5.292,450.387,10450.387
20130130,Hold,16.299,0,0.0,641,5.292,452.951,10452.951
20130131,Sell,16.212,-641,10386.696054,0,10391.988,391.988,10391.988
20130201,Buy,16.299,637,-10387.654231499999,637,4.334,386.797,10386.797
20130204,Sell,16.346,-637,10407.195799000001,0,10411.53,411.53,10411.53
20130205,Hold,16.354,0,0.0,0,10411.53,411.53,10411.53
20130206,Hold,16.216,0,0.0,0,10411.53,411.53,10411.53
20130207,Hold,16.166,0,0.0,0,10411.53,411.53,10411.53
20130208,Buy,16.241,640,-10399.437119999999,640,12.093,406.333,10406.333
20130211,Hold,16.267,0,0.0,640,12.093,422.973,10422.973
20130212,Hold,16.414,0,0.0,640,12.093,517.053,10517.053
20130213,Hold,16.339,0,0.0,640,12.093,469.053,10469.053
20130214,Sell,16.397,-640,10488.832959999998,0,10500.926,500.926,10500.926
20130215,Hold,16.381,0,0.0,0,10500.926,500.926,10500.926
20130219,Hold,16.311,0,0.0,0,10500.926,500.926,10500.926
20130220,Hold,16.049,0,0.0,0,10500.926,500.926,10500.926
20130221,Hold,15.722,0,0.0,0,10500.926,500.926,10500.926
20130222,Hold,15.908,0,0.0,0,10500.926,500.926,10500.926
20130225,Hold,15.846,0,0.0,0,10500.926,500.926,10500.926
20130226,Buy,15.934,658,-10489.814285999999,658,11.111,495.683,10495.683
20130227,Hold,16.174,0,0.0,658,11.111,653.603,10653.603
20130228,Hold,16.08,0,0.0,658,11.111,591.751,10591.751
20130301,Hold,16.363,0,0.0,658,11.111,777.965,10777.965
20130304,Hold,16.504,0,0.0,658,11.111,870.743,10870.743
