,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190108,Buy,34.836,286,-9968.077548,286,31.922,-4.982,9995.018
20190109,Hold,35.125,0,0.0,286,31.922,77.672,10077.672
20190110,Hold,35.285,0,0.0,286,31.922,123.432,10123.432
20190111,Hold,34.588,0,0.0,286,31.922,-75.91,9924.09
20190114,Sell,34.886,-286,9972.407302000001,0,10004.33,4.33,10004.33
20190115,Hold,33.91,0,0.0,0,10004.33,4.33,10004.33
20190116,Hold,33.104,0,0.0,0,10004.33,4.33,10004.33
20190117,Hold,34.099,0,0.0,0,10004.33,4.33,10004.33
20190118,Buy,35.116,284,-9977.930471999998,284,26.399,-0.657,9999.343
20190122,Hold,33.98,0,0.0,284,26.399,-323.281,9676.719
20190123,Hold,35.175,0,0.0,284,26.399,16.099,10016.099
20190124,Hold,37.944,0,0.0,284,26.399,802.495,10802.495
20190125,Hold,36.809,0,0.0,284,26.399,480.155,10480.155
20190128,Hold,38.134,0,0.0,284,26.399,856.455,10856.455
20190129,Hold,38.154,0,0.0,284,26.399,862.135,10862.135
20190130,Hold,37.486,0,0.0,284,26.399,672.423,10672.423
20190131,Hold,38.164,0,0.0,284,26.399,864.975,10864.975
20190201,Hold,39.399,0,0.0,284,26.399,1215.715,11215.715
20190204,Hold,39.09,0,0.0,284,26.399,1127.959,11127.959
20190205,Hold,40.246,0,0.0,284,26.399,1456.263,11456.263
20190206,Hold,40.658,0,0.0,284,26.399,1573.271,11573.271
20190207,Sell,37.656,-284,10688.956848,0,10715.356,715.356,10715.356
20190208,Hold,38.452,0,0.0,0,10715.356,715.356,10715.356
20190211,Hold,39.239,0,0.0,0,10715.356,715.356,10715.356
20190212,Buy,40.694,263,-10707.873261,263,7.483,710.005,10710.005
20190213,Hold,41.232,0,0.0,263,7.483,851.499,10851.499
20190214,Hold,42.108,0,0.0,263,7.483,1081.887,11081.887
20190215,Hold,41.541,0,0.0,263,7.483,932.766,10932.766
20190219,Hold,42.148,0,0.0,263,7.483,1092.407,11092.407
20190220,Sell,42.308,-263,11121.440498000002,0,11128.923,1128.923,11128.923
20190221,Hold,41.919,0,0.0,0,11128.923,1128.923,11128.923
20190222,Hold,43.637,0,0.0,0,11128.923,1128.923,11128.923
20190225,Buy,42.188,263,-11100.991722,263,27.932,1123.376,11123.376
20190226,Sell,42.458,-263,11160.870773,0,11188.802,1188.802,11188.802
20190227,Hold,40.046,0,0.0,0,11188.802,1188.802,11188.802
20190228,Hold,41.481,0,0.0,0,11188.802,1188.802,11188.802
20190301,Hold,41.72,0,0.0,0,11188.802,1188.802,11188.802
20190304,Hold,40.096,0,0.0,0,11188.802,1188.802,11188.802
20190305,Hold,39.229,0,0.0,0,11188.802,1188.802,11188.802
20190306,Hold,37.397,0,0.0,0,11188.802,1188.802,11188.802
20190307,Hold,36.75,0,0.0,0,11188.802,1188.802,11188.802
20190308,Hold,38.762,0,0.0,0,11188.802,1188.802,11188.802
20190311,Buy,39.02,286,-11165.299860000001,286,23.503,1183.223,11183.223
20190312,Hold,39.249,0,0.0,286,23.503,1248.717,11248.717
20190313,Sell,38.592,-286,11031.793344,0,11055.296,1055.296,11055.296
20190314,Hold,38.432,0,0.0,0,11055.296,1055.296,11055.296
20190315,Buy,39.449,280,-11051.242859999998,280,4.053,1049.773,11049.773
20190318,Hold,39.778,0,0.0,280,4.053,1141.893,11141.893
20190319,Hold,40.345,0,0.0,280,4.053,1300.653,11300.653
20190320,Hold,41.541,0,0.0,280,4.053,1635.533,11635.533
20190321,Hold,43.304,0,0.0,280,4.053,2129.173,12129.173
20190322,Sell,41.182,-280,11525.194520000001,0,11529.248,1529.248,11529.248
20190325,Hold,41.013,0,0.0,0,11529.248,1529.248,11529.248
20190326,Hold,40.226,0,0.0,0,11529.248,1529.248,11529.248
20190327,Hold,39.249,0,0.0,0,11529.248,1529.248,11529.248
20190328,Hold,40.096,0,0.0,0,11529.248,1529.248,11529.248
20190329,Buy,42.103,273,-11499.8660595,273,29.382,1523.501,11523.501
20190401,Hold,41.919,0,0.0,273,29.382,1473.269,11473.269
20190402,Hold,43.384,0,0.0,273,29.382,1873.214,11873.214
20190403,Hold,42.198,0,0.0,273,29.382,1549.436,11549.436
20190404,Hold,43.135,0,0.0,273,29.382,1805.237,11805.237
20190405,Hold,42.019,0,0.0,273,29.382,1500.569,11500.569
20190408,Sell,42.378,-273,11563.409403,0,11592.791,1592.791,11592.791
20190409,Hold,41.531,0,0.0,0,11592.791,1592.791,11592.791
20190410,Hold,42.039,0,0.0,0,11592.791,1592.791,11592.791
20190411,Hold,42.686,0,0.0,0,11592.791,1592.791,11592.791
20190412,Hold,42.009,0,0.0,0,11592.791,1592.791,11592.791
20190415,Hold,42.098,0,0.0,0,11592.791,1592.791,11592.791
20190416,Buy,43.194,268,-11581.779996,268,11.011,1587.003,11587.003
20190417,Hold,43.035,0,0.0,268,11.011,1544.391,11544.391
20190418,Hold,42.975,0,0.0,268,11.011,1528.311,11528.311
20190422,Hold,43.204,0,0.0,268,11.011,1589.683,11589.683
20190423,Sell,42.656,-268,11426.092096,0,11437.103,1437.103,11437.103
20190424,Hold,43.454,0,0.0,0,11437.103,1437.103,11437.103
20190425,Hold,41.332,0,0.0,0,11437.103,1437.103,11437.103
20190426,Hold,41.969,0,0.0,0,11437.103,1437.103,11437.103
20190429,Hold,41.7,0,0.0,0,11437.103,1437.103,11437.103
20190430,Hold,42.268,0,0.0,0,11437.103,1437.103,11437.103
20190501,Buy,41.839,273,-11427.7580235,273,9.345,1431.392,11431.392
20190502,Hold,42.328,0,0.0,273,9.345,1564.889,11564.889
20190503,Sell,41.242,-273,11253.436467,0,11262.781,1262.781,11262.781
20190506,Hold,41.521,0,0.0,0,11262.781,1262.781,11262.781
20190507,Hold,39.708,0,0.0,0,11262.781,1262.781,11262.781
20190508,Hold,38.95,0,0.0,0,11262.781,1262.781,11262.781
20190509,Hold,38.862,0,0.0,0,11262.781,1262.781,11262.781
20190510,Hold,37.217,0,0.0,0,11262.781,1262.781,11262.781
20190513,Hold,37.875,0,0.0,0,11262.781,1262.781,11262.781
20190514,Hold,37.755,0,0.0,0,11262.781,1262.781,11262.781
20190515,Hold,37.536,0,0.0,0,11262.781,1262.781,11262.781
20190516,Hold,36.47,0,0.0,0,11262.781,1262.781,11262.781
20190517,Hold,34.617,0,0.0,0,11262.781,1262.781,11262.781
20190520,Hold,35.155,0,0.0,0,11262.781,1262.781,11262.781
20190521,Hold,35.066,0,0.0,0,11262.781,1262.781,11262.781
20190522,Hold,33.761,0,0.0,0,11262.781,1262.781,11262.781
