,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Buy,55.033,181,-9965.953486499999,181,34.047,-4.98,9995.02
20180109,Hold,54.044,0,0.0,181,34.047,-183.989,9816.011
20180110,Hold,55.726,0,0.0,181,34.047,120.453,10120.453
20180111,Hold,55.379,0,0.0,181,34.047,57.646,10057.646
20180112,Hold,55.491,0,0.0,181,34.047,77.918,10077.918
20180116,Hold,54.656,0,0.0,181,34.047,-73.217,9926.783
20180117,Hold,55.463,0,0.0,181,34.047,72.85,10072.85
20180118,Hold,56.49,0,0.0,181,34.047,258.737,10258.737
20180119,Hold,57.068,0,0.0,181,34.047,363.355,10363.355
20180122,Hold,58.41,0,0.0,181,34.047,606.257,10606.257
20180123,Hold,59.199,0,0.0,181,34.047,749.066,10749.066
20180124,Hold,58.947,0,0.0,181,34.047,703.454,10703.454
20180125,Hold,58.977,0,0.0,181,34.047,708.884,10708.884
20180126,Hold,60.12,0,0.0,181,34.047,915.767,10915.767
20180129,Hold,59.716,0,0.0,181,34.047,842.643,10842.643
20180130,Sell,60.873,-181,11012.5039935,0,11046.551,1046.551,11046.551
20180131,Hold,59.077,0,0.0,0,11046.551,1046.551,11046.551
20180201,Hold,58.698,0,0.0,0,11046.551,1046.551,11046.551
20180202,Hold,56.22,0,0.0,0,11046.551,1046.551,11046.551
20180205,Hold,50.624,0,0.0,0,11046.551,1046.551,11046.551
20180206,Hold,56.855,0,0.0,0,11046.551,1046.551,11046.551
20180207,Buy,57.922,190,-11010.68259,190,35.868,1041.048,11041.048
20180208,Sell,59.009,-190,11206.104145000001,0,11241.972,1241.972,11241.972
20180209,Buy,58.29,192,-11197.27584,192,44.696,1236.376,11236.376
20180212,Hold,56.11,0,0.0,192,44.696,817.816,10817.816
20180213,Hold,57.21,0,0.0,192,44.696,1029.016,11029.016
20180214,Hold,60.628,0,0.0,192,44.696,1685.272,11685.272
20180215,Hold,60.783,0,0.0,192,44.696,1715.032,11715.032
20180216,Hold,60.62,0,0.0,192,44.696,1683.736,11683.736
20180220,Hold,62.334,0,0.0,192,44.696,2012.824,12012.824
20180221,Sell,60.156,-192,11544.177024,0,11588.873,1588.873,11588.873
20180222,Hold,60.613,0,0.0,0,11588.873,1588.873,11588.873
20180223,Buy,61.415,188,-11551.79301,188,37.08,1583.1,11583.1
20180226,Sell,60.843,-188,11432.764758000001,0,11469.845,1469.845,11469.845
20180227,Hold,61.093,0,0.0,0,11469.845,1469.845,11469.845
20180228,Hold,59.953,0,0.0,0,11469.845,1469.845,11469.845
20180301,Hold,56.468,0,0.0,0,11469.845,1469.845,11469.845
20180302,Hold,58.118,0,0.0,0,11469.845,1469.845,11469.845
20180305,Hold,59.251,0,0.0,0,11469.845,1469.845,11469.845
20180306,Buy,58.984,194,-11448.617448,194,21.228,1464.124,11464.124
20180307,Hold,60.21,0,0.0,194,21.228,1701.968,11701.968
20180308,Hold,60.248,0,0.0,194,21.228,1709.34,11709.34
20180309,Hold,61.218,0,0.0,194,21.228,1897.52,11897.52
20180312,Hold,62.324,0,0.0,194,21.228,2112.084,12112.084
20180313,Hold,61.818,0,0.0,194,21.228,2013.92,12013.92
20180314,Hold,61.778,0,0.0,194,21.228,2006.16,12006.16
20180315,Hold,61.956,0,0.0,194,21.228,2040.692,12040.692
20180316,Hold,61.509,0,0.0,194,21.228,1953.974,11953.974
20180319,Sell,59.756,-194,11586.867668,0,11608.095,1608.095,11608.095
20180320,Hold,61.786,0,0.0,0,11608.095,1608.095,11608.095
20180321,Hold,60.968,0,0.0,0,11608.095,1608.095,11608.095
20180322,Hold,60.073,0,0.0,0,11608.095,1608.095,11608.095
