,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150108,Buy,78.2,127,-9936.365699999998,127,63.634,-4.966,9995.034
20150109,Hold,77.84,0,0.0,127,63.634,-50.686,9949.314
20150112,Sell,77.23,-127,9803.305895000001,0,9866.94,-133.06,9866.94
20150113,Hold,76.42,0,0.0,0,9866.94,-133.06,9866.94
20150114,Hold,76.4,0,0.0,0,9866.94,-133.06,9866.94
20150115,Hold,74.04,0,0.0,0,9866.94,-133.06,9866.94
20150116,Hold,75.72,0,0.0,0,9866.94,-133.06,9866.94
20150120,Buy,76.16,129,-9829.552319999999,129,37.388,-137.972,9862.028
20150121,Hold,77.17,0,0.0,129,37.388,-7.682,9992.318
20150122,Hold,77.65,0,0.0,129,37.388,54.238,10054.238
20150123,Hold,77.98,0,0.0,129,37.388,96.808,10096.808
20150126,Hold,76.71,0,0.0,129,37.388,-67.022,9932.978
20150127,Sell,76.9,-129,9915.13995,0,9952.528,-47.472,9952.528
20150128,Hold,76.85,0,0.0,0,9952.528,-47.472,9952.528
20150129,Hold,78.0,0,0.0,0,9952.528,-47.472,9952.528
20150130,Hold,76.11,0,0.0,0,9952.528,-47.472,9952.528
20150202,Hold,75.16,0,0.0,0,9952.528,-47.472,9952.528
20150203,Hold,75.09,0,0.0,0,9952.528,-47.472,9952.528
20150204,Hold,75.71,0,0.0,0,9952.528,-47.472,9952.528
20150205,Buy,75.68,131,-9919.037040000001,131,33.491,-52.429,9947.571
20150206,Sell,74.05,-131,9695.699725,0,9729.191,-270.809,9729.191
20150209,Hold,74.85,0,0.0,0,9729.191,-270.809,9729.191
20150210,Buy,75.09,129,-9691.453305000001,129,37.737,-275.653,9724.347
20150211,Hold,76.84,0,0.0,129,37.737,-49.903,9950.097
20150212,Hold,76.46,0,0.0,129,37.737,-98.923,9901.077
20150213,Hold,75.3,0,0.0,129,37.737,-248.563,9751.437
20150217,Hold,75.94,0,0.0,129,37.737,-166.003,9833.997
20150218,Hold,76.99,0,0.0,129,37.737,-30.553,9969.447
20150219,Hold,79.55,0,0.0,129,37.737,299.687,10299.687
20150220,Hold,79.96,0,0.0,129,37.737,352.577,10352.577
20150223,Hold,78.5,0,0.0,129,37.737,164.237,10164.237
20150224,Sell,78.5,-129,10121.43675,0,10159.174,159.174,10159.174
20150225,Buy,79.98,126,-10082.518740000001,126,76.655,154.135,10154.135
20150226,Hold,80.68,0,0.0,126,76.655,242.335,10242.335
20150227,Sell,79.0,-126,9949.023000000001,0,10025.678,25.678,10025.678
20150302,Buy,79.61,125,-9956.225625,125,69.453,20.703,10020.703
20150303,Sell,79.3,-125,9907.54375,0,9976.996,-23.004,9976.996
20150304,Buy,81.23,122,-9915.01503,122,61.981,-27.959,9972.041
20150305,Hold,80.9,0,0.0,122,61.981,-68.219,9931.781
20150306,Sell,79.68,-122,9716.099520000002,0,9778.081,-221.919,9778.081
20150309,Hold,78.5,0,0.0,0,9778.081,-221.919,9778.081
20150310,Hold,77.8,0,0.0,0,9778.081,-221.919,9778.081
20150311,Hold,78.1,0,0.0,0,9778.081,-221.919,9778.081
20150312,Buy,78.6,124,-9751.2732,124,26.808,-226.792,9773.208
20150313,Hold,77.96,0,0.0,124,26.808,-306.152,9693.848
20150316,Hold,78.36,0,0.0,124,26.808,-256.552,9743.448
20150317,Hold,79.25,0,0.0,124,26.808,-146.192,9853.808
20150318,Hold,81.12,0,0.0,124,26.808,85.688,10085.688
20150319,Hold,83.39,0,0.0,124,26.808,367.168,10367.168
20150320,Hold,83.92,0,0.0,124,26.808,432.888,10432.888
20150323,Hold,84.76,0,0.0,124,26.808,537.048,10537.048
20150324,Hold,85.5,0,0.0,124,26.808,628.808,10628.808
