,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Hold,260.48,0,0,0,10000,0.0,10000.0
20210111,Hold,256.63,0,0,0,10000,0.0,10000.0
20210112,Hold,251.55,0,0,0,10000,0.0,10000.0
20210113,Hold,253.4,0,0,0,10000,0.0,10000.0
20210114,Hold,247.9,0,0,0,10000,0.0,10000.0
20210115,Buy,256.9,38,-9767.081099999998,38,232.919,-4.881,9995.119
20210119,Hold,268.93,0,0,38,232.919,452.259,10452.259
20210120,Hold,269.26,0,0,38,232.919,464.799,10464.799
20210121,Hold,272.01,0,0,38,232.919,569.299,10569.299
20210122,Hold,278.14,0,0,38,232.919,802.239,10802.239
20210125,Hold,278.1398,0,0,38,232.919,802.231,10802.231
20210126,Hold,282.53,0,0,38,232.919,969.059,10969.059
20210127,Sell,277.18,-38,10527.57358,0,10760.492,760.492,10760.492
20210128,Hold,265.3,0,0,0,10760.492,760.492,10760.492
20210129,Hold,259.52,0,0,0,10760.492,760.492,10760.492
20210201,Hold,264.0,0,0,0,10760.492,760.492,10760.492
20210202,Buy,265.62,40,-10630.112399999998,40,130.38,755.18,10755.18
20210203,Hold,267.01,0,0,40,130.38,810.78,10810.78
20210204,Hold,266.8,0,0,40,130.38,802.38,10802.38
20210205,Hold,268.75,0,0,40,130.38,880.38,10880.38
20210208,Hold,266.44,0,0,40,130.38,787.98,10787.98
20210209,Hold,272.4465,0,0,40,130.38,1028.24,11028.24
20210210,Hold,271.89,0,0,40,130.38,1005.98,11005.98
20210211,Hold,270.52,0,0,40,130.38,951.18,10951.18
20210212,Sell,270.8,-40,10826.584,0,10956.964,956.964,10956.964
20210216,Hold,271.24,0,0,0,10956.964,956.964,10956.964
20210217,Hold,269.565,0,0,0,10956.964,956.964,10956.964
20210218,Hold,269.86,0,0,0,10956.964,956.964,10956.964
20210219,Hold,257.95,0,0,0,10956.964,956.964,10956.964
20210222,Hold,259.5,0,0,0,10956.964,956.964,10956.964
20210223,Hold,262.325,0,0,0,10956.964,956.964,10956.964
20210224,Hold,262.3,0,0,0,10956.964,956.964,10956.964
20210225,Hold,256.47,0,0,0,10956.964,956.964,10956.964
20210226,Hold,260.82,0,0,0,10956.964,956.964,10956.964
20210301,Buy,265.78,41,-10902.428489999998,41,54.536,951.516,10951.516
20210302,Sell,260.29,-41,10666.554055000002,0,10721.09,721.09,10721.09
20210303,Hold,256.47,0,0,0,10721.09,721.09,10721.09
20210304,Buy,260.67,41,-10692.813735,41,28.276,715.746,10715.746
20210305,Hold,265.55,0,0,41,28.276,915.826,10915.826
20210308,Sell,261.175,-41,10702.820912500001,0,10731.097,731.097,10731.097
20210309,Buy,268.64,39,-10482.19848,39,248.898,725.858,10725.858
20210310,Hold,268.11,0,0,39,248.898,705.188,10705.188
20210311,Hold,269.14,0,0,39,248.898,745.358,10745.358
20210312,Hold,269.08,0,0,39,248.898,743.018,10743.018
20210315,Hold,276.085,0,0,39,248.898,1016.213,11016.213
20210316,Hold,275.705,0,0,39,248.898,1001.393,11001.393
20210317,Hold,279.87,0,0,39,248.898,1163.828,11163.828
20210318,Hold,281.22,0,0,39,248.898,1216.478,11216.478
20210319,Hold,290.45,0,0,39,248.898,1576.448,11576.448
20210322,Hold,293.15,0,0,39,248.898,1681.748,11681.748
20210323,Sell,290.93,-39,11340.596865000001,0,11589.495,1589.495,11589.495
20210324,Hold,280.98,0,0,0,11589.495,1589.495,11589.495
20210325,Hold,278.3018,0,0,0,11589.495,1589.495,11589.495
20210326,Hold,285.77,0,0,0,11589.495,1589.495,11589.495
20210329,Buy,289.83,39,-11309.021684999998,39,280.474,1583.844,11583.844
20210330,Hold,289.99,0,0,39,280.474,1590.084,11590.084
20210331,Hold,298.4,0,0,39,280.474,1918.074,11918.074
20210401,Hold,300.89,0,0,39,280.474,2015.184,12015.184
20210405,Hold,308.8365,0,0,39,280.474,2325.097,12325.097
20210406,Hold,306.34,0,0,39,280.474,2227.734,12227.734
20210407,Hold,314.85,0,0,39,280.474,2559.624,12559.624
20210408,Hold,311.4,0,0,39,280.474,2425.074,12425.074
20210409,Sell,311.05,-39,12124.884525000001,0,12405.358,2405.358,12405.358
20210412,Hold,312.21,0,0,0,12405.358,2405.358,12405.358
