,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Buy,70.81,141,-9989.202105,141,10.798,-4.992,9995.008
20210111,Hold,71.17,0,0.0,141,10.798,45.768,10045.768
20210112,Hold,76.0,0,0.0,141,10.798,726.798,10726.798
20210113,Sell,73.45,-141,10351.271775000001,0,10362.07,362.07,10362.07
20210114,Hold,71.39,0,0.0,0,10362.07,362.07,10362.07
20210115,Hold,71.75,0,0.0,0,10362.07,362.07,10362.07
20210119,Hold,72.0,0,0.0,0,10362.07,362.07,10362.07
20210120,Buy,74.2,139,-10318.956900000001,139,43.113,356.913,10356.913
20210121,Hold,73.52,0,0.0,139,43.113,262.393,10262.393
20210122,Hold,74.46,0,0.0,139,43.113,393.053,10393.053
20210125,Sell,73.65,-139,10232.231325,0,10275.344,275.344,10275.344
20210126,Hold,65.52,0,0.0,0,10275.344,275.344,10275.344
20210127,Hold,67.32,0,0.0,0,10275.344,275.344,10275.344
20210128,Hold,68.0,0,0.0,0,10275.344,275.344,10275.344
20210129,Buy,69.61,147,-10237.786334999999,147,37.558,270.228,10270.228
20210201,Hold,72.48,0,0.0,147,37.558,692.118,10692.118
20210202,Hold,76.0,0,0.0,147,37.558,1209.558,11209.558
20210203,Hold,78.78,0,0.0,147,37.558,1618.218,11618.218
20210204,Hold,86.2,0,0.0,147,37.558,2708.958,12708.958
20210205,Hold,81.43,0,0.0,147,37.558,2007.768,12007.768
20210208,Hold,79.45,0,0.0,147,37.558,1716.708,11716.708
20210209,Hold,80.905,0,0.0,147,37.558,1930.593,11930.593
20210210,Hold,85.7,0,0.0,147,37.558,2635.458,12635.458
20210211,Hold,86.66,0,0.0,147,37.558,2776.578,12776.578
20210212,Hold,86.55,0,0.0,147,37.558,2760.408,12760.408
20210216,Hold,87.06,0,0.0,147,37.558,2835.378,12835.378
20210217,Hold,85.31,0,0.0,147,37.558,2578.128,12578.128
20210218,Sell,87.41,-147,12842.845365,0,12880.403,2880.403,12880.403
20210219,Hold,85.0,0,0.0,0,12880.403,2880.403,12880.403
20210222,Hold,74.35,0,0.0,0,12880.403,2880.403,12880.403
20210223,Hold,83.85,0,0.0,0,12880.403,2880.403,12880.403
20210224,Hold,85.57,0,0.0,0,12880.403,2880.403,12880.403
20210225,Hold,80.26,0,0.0,0,12880.403,2880.403,12880.403
20210226,Hold,82.57,0,0.0,0,12880.403,2880.403,12880.403
20210301,Buy,84.21,152,-12806.319959999997,152,74.083,2874.003,12874.003
20210302,Sell,81.17,-152,12331.67108,0,12405.754,2405.754,12405.754
20210303,Hold,73.01,0,0.0,0,12405.754,2405.754,12405.754
20210304,Hold,70.0,0,0.0,0,12405.754,2405.754,12405.754
20210305,Hold,68.55,0,0.0,0,12405.754,2405.754,12405.754
20210308,Hold,67.03,0,0.0,0,12405.754,2405.754,12405.754
20210309,Hold,68.71,0,0.0,0,12405.754,2405.754,12405.754
20210310,Buy,71.89,172,-12371.26254,172,34.492,2399.572,12399.572
20210311,Hold,68.81,0,0.0,172,34.492,1869.812,11869.812
20210312,Hold,72.3,0,0.0,172,34.492,2470.092,12470.092
20210315,Hold,73.99,0,0.0,172,34.492,2760.772,12760.772
20210316,Hold,72.4,0,0.0,172,34.492,2487.292,12487.292
20210317,Hold,74.05,0,0.0,172,34.492,2771.092,12771.092
20210318,Sell,69.41,-172,11932.550739999999,0,11967.042,1967.042,11967.042
20210319,Buy,71.8,166,-11924.759399999999,166,42.283,1961.083,11961.083
20210322,Sell,72.02,-166,11949.342340000001,0,11991.625,1991.625,11991.625
20210323,Hold,71.95,0,0.0,0,11991.625,1991.625,11991.625
20210324,Hold,66.375,0,0.0,0,11991.625,1991.625,11991.625
20210325,Hold,68.92,0,0.0,0,11991.625,1991.625,11991.625
20210326,Buy,68.84,174,-11984.14908,174,7.476,1985.636,11985.636
20210329,Hold,68.72,0,0.0,174,7.476,1964.756,11964.756
20210330,Hold,70.29,0,0.0,174,7.476,2237.936,12237.936
20210331,Hold,75.77,0,0.0,174,7.476,3191.456,13191.456
20210401,Hold,79.37,0,0.0,174,7.476,3817.856,13817.856
20210405,Hold,80.64,0,0.0,174,7.476,4038.836,14038.836
20210406,Hold,82.59,0,0.0,174,7.476,4378.136,14378.136
20210407,Hold,84.99,0,0.0,174,7.476,4795.736,14795.736
