,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200108,Hold,17.29,0,0,0,10000,0.0,10000.0
20200109,Buy,17.66,565,-9982.888949999999,565,17.111,-4.989,9995.011
20200110,Hold,17.48,0,0,565,17.111,-106.689,9893.311
20200113,Hold,17.99,0,0,565,17.111,181.461,10181.461
20200114,Hold,18.0,0,0,565,17.111,187.111,10187.111
20200115,Hold,18.02,0,0,565,17.111,198.411,10198.411
20200116,Hold,19.1,0,0,565,17.111,808.611,10808.611
20200117,Hold,19.02,0,0,565,17.111,763.411,10763.411
20200121,Hold,19.23,0,0,565,17.111,882.061,10882.061
20200122,Hold,19.18,0,0,565,17.111,853.811,10853.811
20200123,Sell,19.71,-565,11130.581925,0,11147.693,1147.693,11147.693
20200124,Hold,18.47,0,0,0,11147.693,1147.693,11147.693
20200127,Hold,18.8,0,0,0,11147.693,1147.693,11147.693
20200128,Hold,19.15,0,0,0,11147.693,1147.693,11147.693
20200129,Hold,18.81,0,0,0,11147.693,1147.693,11147.693
20200130,Hold,18.73,0,0,0,11147.693,1147.693,11147.693
20200131,Hold,18.65,0,0,0,11147.693,1147.693,11147.693
20200203,Hold,18.48,0,0,0,11147.693,1147.693,11147.693
20200204,Hold,18.02,0,0,0,11147.693,1147.693,11147.693
20200205,Hold,16.36,0,0,0,11147.693,1147.693,11147.693
20200206,Hold,16.96,0,0,0,11147.693,1147.693,11147.693
20200207,Buy,17.05,653,-11139.216825,653,8.476,1142.126,11142.126
20200210,Sell,17.65,-653,11519.687275,0,11528.163,1528.163,11528.163
20200211,Hold,17.66,0,0,0,11528.163,1528.163,11528.163
20200212,Hold,17.22,0,0,0,11528.163,1528.163,11528.163
20200213,Hold,17.54,0,0,0,11528.163,1528.163,11528.163
20200214,Hold,17.44,0,0,0,11528.163,1528.163,11528.163
20200218,Hold,17.23,0,0,0,11528.163,1528.163,11528.163
20200219,Hold,17.09,0,0,0,11528.163,1528.163,11528.163
20200220,Hold,16.83,0,0,0,11528.163,1528.163,11528.163
20200221,Hold,15.69,0,0,0,11528.163,1528.163,11528.163
20200224,Hold,16.31,0,0,0,11528.163,1528.163,11528.163
20200225,Hold,15.93,0,0,0,11528.163,1528.163,11528.163
20200226,Hold,15.18,0,0,0,11528.163,1528.163,11528.163
20200227,Hold,13.86,0,0,0,11528.163,1528.163,11528.163
20200228,Hold,14.35,0,0,0,11528.163,1528.163,11528.163
20200302,Hold,14.5,0,0,0,11528.163,1528.163,11528.163
20200303,Hold,13.82,0,0,0,11528.163,1528.163,11528.163
20200304,Hold,13.68,0,0,0,11528.163,1528.163,11528.163
20200305,Hold,13.46,0,0,0,11528.163,1528.163,11528.163
20200306,Hold,11.25,0,0,0,11528.163,1528.163,11528.163
