,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140108,Hold,59.54,0,0,0,10000,0.0,10000.0
20140109,Hold,57.5,0,0,0,10000,0.0,10000.0
20140110,Hold,59.98,0,0,0,10000,0.0,10000.0
20140113,Hold,58.88,0,0,0,10000,0.0,10000.0
20140114,Buy,59.11,169,-9994.584794999999,169,5.415,-4.995,9995.005
20140115,Hold,61.45,0,0,169,5.415,390.465,10390.465
20140116,Hold,63.6,0,0,169,5.415,753.815,10753.815
20140117,Hold,63.33,0,0,169,5.415,708.185,10708.185
20140121,Hold,63.11,0,0,169,5.415,671.005,10671.005
20140122,Hold,61.17,0,0,169,5.415,343.145,10343.145
20140123,Hold,62.17,0,0,169,5.415,512.145,10512.145
20140124,Sell,61.77,-169,10433.910435000002,0,10439.326,439.326,10439.326
20140127,Hold,57.44,0,0,0,10439.326,439.326,10439.326
20140128,Buy,59.62,175,-10438.71675,175,0.609,434.109,10434.109
20140129,Hold,63.98,0,0,175,0.609,1197.109,11197.109
20140130,Hold,63.39,0,0,175,0.609,1093.859,11093.859
20140131,Hold,65.92,0,0,175,0.609,1536.609,11536.609
20140203,Hold,66.25,0,0,175,0.609,1594.359,11594.359
20140204,Sell,67.16,-175,11747.123500000002,0,11747.732,1747.732,11747.732
20140205,Hold,50.61,0,0,0,11747.732,1747.732,11747.732
20140206,Hold,51.23,0,0,0,11747.732,1747.732,11747.732
20140207,Hold,54.5,0,0,0,11747.732,1747.732,11747.732
20140210,Hold,53.2,0,0,0,11747.732,1747.732,11747.732
20140211,Buy,55.05,213,-11731.512825,213,16.22,1741.87,11741.87
20140212,Hold,56.07,0,0,213,16.22,1959.13,11959.13
20140213,Hold,57.02,0,0,213,16.22,2161.48,12161.48
20140214,Hold,57.93,0,0,213,16.22,2355.31,12355.31
20140218,Hold,58.47,0,0,213,16.22,2470.33,12470.33
20140219,Sell,55.82,-213,11883.715170000001,0,11899.935,1899.935,11899.935
20140220,Buy,57.1,208,-11882.7384,208,17.196,1893.996,11893.996
20140221,Sell,56.03,-208,11648.41288,0,11665.609,1665.609,11665.609
20140224,Hold,55.89,0,0,0,11665.609,1665.609,11665.609
20140225,Hold,55.0,0,0,0,11665.609,1665.609,11665.609
20140226,Buy,56.31,207,-11661.998085,207,3.611,1659.781,11659.781
20140227,Sell,55.93,-207,11571.721245,0,11575.332,1575.332,11575.332
20140228,Hold,53.89,0,0,0,11575.332,1575.332,11575.332
20140303,Hold,54.37,0,0,0,11575.332,1575.332,11575.332
20140304,Hold,54.53,0,0,0,11575.332,1575.332,11575.332
20140305,Hold,54.91,0,0,0,11575.332,1575.332,11575.332
20140306,Hold,55.18,0,0,0,11575.332,1575.332,11575.332
20140307,Hold,54.09,0,0,0,11575.332,1575.332,11575.332
20140310,Hold,54.15,0,0,0,11575.332,1575.332,11575.332
20140311,Hold,54.24,0,0,0,11575.332,1575.332,11575.332
20140312,Hold,54.9,0,0,0,11575.332,1575.332,11575.332
20140313,Hold,53.4,0,0,0,11575.332,1575.332,11575.332
20140314,Hold,52.08,0,0,0,11575.332,1575.332,11575.332
20140317,Hold,52.03,0,0,0,11575.332,1575.332,11575.332
20140318,Hold,50.8,0,0,0,11575.332,1575.332,11575.332
20140319,Hold,51.0,0,0,0,11575.332,1575.332,11575.332
20140320,Hold,50.24,0,0,0,11575.332,1575.332,11575.332
