,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Hold,85.711,0,0,0,10000,0.0,10000.0
20130109,Buy,87.16,114,-9941.20812,114,58.792,-4.968,9995.032
20130110,Hold,87.37,0,0,114,58.792,18.972,10018.972
20130111,Sell,86.574,-114,9864.501282000001,0,9923.293,-76.707,9923.293
20130114,Hold,85.921,0,0,0,9923.293,-76.707,9923.293
20130115,Buy,86.574,114,-9874.370717999998,114,48.922,-81.642,9918.358
20130116,Hold,86.883,0,0,114,48.922,-46.416,9953.584
20130117,Hold,87.248,0,0,114,48.922,-4.806,9995.194
20130118,Hold,87.304,0,0,114,48.922,1.578,10001.578
20130122,Hold,86.729,0,0,114,48.922,-63.972,9936.028
20130123,Hold,87.481,0,0,114,48.922,21.756,10021.756
20130124,Hold,88.045,0,0,114,48.922,86.052,10086.052
20130125,Hold,89.283,0,0,114,48.922,227.184,10227.184
20130128,Sell,90.765,-114,10342.036395000001,0,10390.959,390.959,10390.959
20130129,Hold,90.876,0,0,0,10390.959,390.959,10390.959
20130130,Hold,90.069,0,0,0,10390.959,390.959,10390.959
20130131,Hold,86.33,0,0,0,10390.959,390.959,10390.959
20130201,Hold,85.8,0,0,0,10390.959,390.959,10390.959
20130204,Hold,86.109,0,0,0,10390.959,390.959,10390.959
20130205,Buy,86.342,120,-10366.220519999999,120,24.738,385.778,10385.778
20130206,Hold,89.261,0,0,120,24.738,736.058,10736.058
20130207,Hold,89.029,0,0,120,24.738,708.218,10708.218
20130208,Sell,89.095,-120,10686.0543,0,10710.793,710.793,10710.793
20130211,Hold,87.757,0,0,0,10710.793,710.793,10710.793
20130212,Buy,89.438,119,-10648.443560999998,119,62.349,705.471,10705.471
20130213,Hold,88.421,0,0,119,62.349,584.448,10584.448
20130214,Sell,87.768,-119,10439.169804000001,0,10501.519,501.519,10501.519
20130215,Buy,88.277,118,-10421.894343,118,79.625,496.311,10496.311
20130219,Hold,87.912,0,0,118,79.625,453.241,10453.241
20130220,Hold,86.264,0,0,118,79.625,258.777,10258.777
20130221,Hold,87.713,0,0,118,79.625,429.759,10429.759
20130222,Hold,92.778,0,0,118,79.625,1027.429,11027.429
20130225,Hold,92.889,0,0,118,79.625,1040.527,11040.527
20130226,Hold,96.66,0,0,118,79.625,1485.505,11485.505
20130227,Hold,96.151,0,0,118,79.625,1425.443,11425.443
20130228,Hold,94.857,0,0,118,79.625,1272.751,11272.751
20130301,Hold,95.012,0,0,118,79.625,1291.041,11291.041
20130304,Hold,96.173,0,0,118,79.625,1428.039,11428.039
20130305,Hold,97.478,0,0,118,79.625,1582.029,11582.029
20130306,Hold,100.2,0,0,118,79.625,1903.225,11903.225
20130307,Hold,99.54,0,0,118,79.625,1825.345,11825.345
20130308,Hold,98.584,0,0,118,79.625,1712.537,11712.537
20130311,Hold,98.916,0,0,118,79.625,1751.713,11751.713
20130312,Hold,100.45,0,0,118,79.625,1932.725,11932.725
20130313,Hold,99.403,0,0,118,79.625,1809.179,11809.179
20130314,Hold,99.89,0,0,118,79.625,1866.645,11866.645
20130315,Hold,98.673,0,0,118,79.625,1723.039,11723.039
20130318,Hold,110.21,0,0,118,79.625,3084.405,13084.405
20130319,Hold,111.65,0,0,118,79.625,3254.325,13254.325
20130320,Hold,115.33,0,0,118,79.625,3688.565,13688.565
20130321,Hold,113.47,0,0,118,79.625,3469.085,13469.085
20130322,Hold,114.47,0,0,118,79.625,3587.085,13587.085
20130325,Sell,113.8,-118,13421.685800000001,0,13501.31,3501.31,13501.31
20130326,Hold,113.63,0,0,0,13501.31,3501.31,13501.31
20130327,Buy,115.49,116,-13403.538419999999,116,97.772,3494.612,13494.612
20130328,Hold,115.74,0,0,116,97.772,3523.612,13523.612
20130401,Sell,115.07,-116,13341.44594,0,13439.218,3439.218,13439.218
20130402,Hold,114.92,0,0,0,13439.218,3439.218,13439.218
20130403,Hold,113.36,0,0,0,13439.218,3439.218,13439.218
20130404,Buy,113.54,118,-13404.41886,118,34.799,3432.519,13432.519
20130405,Hold,116.62,0,0,118,34.799,3795.959,13795.959
20130408,Hold,115.94,0,0,118,34.799,3715.719,13715.719
20130409,Sell,115.53,-118,13625.723730000002,0,13660.523,3660.523,13660.523
20130410,Hold,114.76,0,0,0,13660.523,3660.523,13660.523
20130411,Hold,115.23,0,0,0,13660.523,3660.523,13660.523
20130412,Hold,115.31,0,0,0,13660.523,3660.523,13660.523
20130415,Hold,115.16,0,0,0,13660.523,3660.523,13660.523
20130416,Hold,115.76,0,0,0,13660.523,3660.523,13660.523
20130417,Hold,115.31,0,0,0,13660.523,3660.523,13660.523
20130418,Hold,114.16,0,0,0,13660.523,3660.523,13660.523
20130419,Hold,115.13,0,0,0,13660.523,3660.523,13660.523
20130422,Hold,115.35,0,0,0,13660.523,3660.523,13660.523
20130423,Hold,115.96,0,0,0,13660.523,3660.523,13660.523
20130424,Hold,113.68,0,0,0,13660.523,3660.523,13660.523
20130425,Hold,110.63,0,0,0,13660.523,3660.523,13660.523
20130426,Hold,112.99,0,0,0,13660.523,3660.523,13660.523
