,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Hold,50.516,0,0,0,10000,0.0,10000.0
20210111,Hold,50.082,0,0,0,10000,0.0,10000.0
20210112,Hold,48.452,0,0,0,10000,0.0,10000.0
20210113,Hold,48.978,0,0,0,10000,0.0,10000.0
20210114,Hold,48.051,0,0,0,10000,0.0,10000.0
20210115,Hold,47.524,0,0,0,10000,0.0,10000.0
20210119,Hold,47.836,0,0,0,10000,0.0,10000.0
20210120,Hold,47.357,0,0,0,10000,0.0,10000.0
20210121,Buy,47.69,209,-9972.193604999999,209,27.806,-4.984,9995.016
20210122,Hold,47.357,0,0,209,27.806,-74.581,9925.419
20210125,Hold,47.993,0,0,209,27.806,58.343,10058.343
20210126,Hold,48.303,0,0,209,27.806,123.133,10123.133
20210127,Sell,48.822,-209,10198.696101000001,0,10226.502,226.502,10226.502
20210128,Buy,49.124,208,-10222.900896000001,208,3.602,221.394,10221.394
20210129,Sell,48.686,-208,10121.624656,0,10125.226,125.226,10125.226
20210201,Buy,49.164,205,-10083.659310000001,205,41.567,120.187,10120.187
20210202,Hold,50.043,0,0,205,41.567,300.382,10300.382
20210203,Hold,49.144,0,0,205,41.567,116.087,10116.087
20210204,Hold,50.642,0,0,205,41.567,423.177,10423.177
20210205,Hold,49.857,0,0,205,41.567,262.252,10262.252
20210208,Hold,50.774,0,0,205,41.567,450.237,10450.237
20210209,Hold,51.791,0,0,205,41.567,658.722,10658.722
20210210,Hold,51.673,0,0,205,41.567,634.532,10634.532
20210211,Hold,52.064,0,0,205,41.567,714.687,10714.687
20210212,Hold,51.751,0,0,205,41.567,650.522,10650.522
20210216,Sell,51.487,-205,10549.557582500001,0,10591.125,591.125,10591.125
20210217,Hold,51.44,0,0,0,10591.125,591.125,10591.125
20210218,Hold,51.175,0,0,0,10591.125,591.125,10591.125
20210219,Hold,50.746,0,0,0,10591.125,591.125,10591.125
20210222,Buy,51.556,205,-10574.26449,205,16.86,585.84,10585.84
20210223,Hold,51.331,0,0,205,16.86,539.715,10539.715
20210224,Hold,51.839,0,0,205,16.86,643.855,10643.855
20210225,Hold,51.039,0,0,205,16.86,479.855,10479.855
20210226,Hold,51.966,0,0,205,16.86,669.89,10669.89
20210301,Hold,53.031,0,0,205,16.86,888.215,10888.215
20210302,Hold,52.653,0,0,205,16.86,810.725,10810.725
20210303,Hold,52.551,0,0,205,16.86,789.815,10789.815
20210304,Hold,53.402,0,0,205,16.86,964.27,10964.27
20210305,Hold,53.528,0,0,205,16.86,990.1,10990.1
20210308,Hold,54.163,0,0,205,16.86,1120.275,11120.275
