,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150108,Buy,29.16,342,-9977.706359999998,342,22.294,-4.986,9995.014
20150109,Hold,29.35,0,0.0,342,22.294,59.994,10059.994
20150112,Hold,29.45,0,0.0,342,22.294,94.194,10094.194
20150113,Hold,29.21,0,0.0,342,22.294,12.114,10012.114
20150114,Hold,29.65,0,0.0,342,22.294,162.594,10162.594
20150115,Sell,29.15,-342,9964.315349999999,0,9986.609,-13.391,9986.609
20150116,Buy,29.84,334,-9971.543279999998,334,15.066,-18.374,9981.626
20150120,Hold,29.54,0,0.0,334,15.066,-118.574,9881.426
20150121,Hold,30.27,0,0.0,334,15.066,125.246,10125.246
20150122,Hold,30.42,0,0.0,334,15.066,175.346,10175.346
20150123,Hold,30.02,0,0.0,334,15.066,41.746,10041.746
20150126,Hold,30.32,0,0.0,334,15.066,141.946,10141.946
20150127,Hold,30.94,0,0.0,334,15.066,349.026,10349.026
20150128,Sell,30.11,-334,10051.71163,0,10066.777,66.777,10066.777
20150129,Hold,29.36,0,0.0,0,10066.777,66.777,10066.777
20150130,Hold,30.55,0,0.0,0,10066.777,66.777,10066.777
20150202,Buy,30.56,329,-10059.267119999999,329,7.51,61.75,10061.75
20150203,Hold,30.76,0,0.0,329,7.51,127.55,10127.55
20150204,Hold,30.78,0,0.0,329,7.51,134.13,10134.13
20150205,Hold,31.22,0,0.0,329,7.51,278.89,10278.89
20150206,Hold,31.18,0,0.0,329,7.51,265.73,10265.73
20150209,Hold,31.24,0,0.0,329,7.51,285.47,10285.47
20150210,Hold,31.36,0,0.0,329,7.51,324.95,10324.95
20150211,Hold,31.51,0,0.0,329,7.51,374.3,10374.3
20150212,Hold,31.68,0,0.0,329,7.51,430.23,10430.23
20150213,Hold,31.75,0,0.0,329,7.51,453.26,10453.26
20150217,Hold,31.72,0,0.0,329,7.51,443.39,10443.39
20150218,Sell,32.45,-329,10670.711975000002,0,10678.222,678.222,10678.222
20150219,Buy,31.96,333,-10648.001339999999,333,30.221,672.901,10672.901
20150220,Hold,31.75,0,0.0,333,30.221,602.971,10602.971
20150223,Sell,31.24,-333,10397.71854,0,10427.939,427.939,10427.939
20150224,Buy,31.58,330,-10426.6107,330,1.329,422.729,10422.729
20150225,Hold,32.56,0,0.0,330,1.329,746.129,10746.129
20150226,Hold,32.8,0,0.0,330,1.329,825.329,10825.329
20150227,Hold,32.82,0,0.0,330,1.329,831.929,10831.929
20150302,Hold,32.96,0,0.0,330,1.329,878.129,10878.129
20150303,Sell,33.02,-330,10891.1517,0,10892.48,892.48,10892.48
20150304,Hold,32.79,0,0.0,0,10892.48,892.48,10892.48
20150305,Hold,32.68,0,0.0,0,10892.48,892.48,10892.48
20150306,Hold,32.72,0,0.0,0,10892.48,892.48,10892.48
20150309,Buy,32.89,331,-10892.033295,331,0.447,887.037,10887.037
20150310,Sell,32.33,-331,10695.879385,0,10696.326,696.326,10696.326
20150311,Hold,32.13,0,0.0,0,10696.326,696.326,10696.326
20150312,Hold,32.05,0,0.0,0,10696.326,696.326,10696.326
20150313,Buy,32.23,331,-10673.464064999998,331,22.862,690.992,10690.992
