,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190108,Buy,25.214,396,-9989.736371999998,396,10.264,-4.992,9995.008
20190109,Sell,24.536,-396,9711.397872000001,0,9721.662,-278.338,9721.662
20190110,Buy,24.821,391,-9709.8635055,391,11.798,-283.191,9716.809
20190111,Hold,25.068,0,0.0,391,11.798,-186.614,9813.386
20190114,Sell,24.92,-391,9738.848140000002,0,9750.646,-249.354,9750.646
20190115,Buy,24.927,390,-9726.390765,390,24.255,-254.215,9745.785
20190116,Sell,24.944,-390,9723.29592,0,9747.551,-252.449,9747.551
20190117,Hold,25.279,0,0.0,0,9747.551,-252.449,9747.551
20190118,Hold,25.246,0,0.0,0,9747.551,-252.449,9747.551
20190122,Hold,25.083,0,0.0,0,9747.551,-252.449,9747.551
20190123,Hold,25.132,0,0.0,0,9747.551,-252.449,9747.551
20190124,Hold,25.049,0,0.0,0,9747.551,-252.449,9747.551
20190125,Hold,25.042,0,0.0,0,9747.551,-252.449,9747.551
20190128,Hold,25.0,0,0.0,0,9747.551,-252.449,9747.551
20190129,Hold,24.464,0,0.0,0,9747.551,-252.449,9747.551
20190130,Hold,24.088,0,0.0,0,9747.551,-252.449,9747.551
20190131,Hold,24.666,0,0.0,0,9747.551,-252.449,9747.551
20190201,Hold,24.521,0,0.0,0,9747.551,-252.449,9747.551
20190204,Hold,24.226,0,0.0,0,9747.551,-252.449,9747.551
20190205,Hold,24.25,0,0.0,0,9747.551,-252.449,9747.551
20190206,Hold,24.119,0,0.0,0,9747.551,-252.449,9747.551
20190207,Hold,24.005,0,0.0,0,9747.551,-252.449,9747.551
20190208,Hold,24.152,0,0.0,0,9747.551,-252.449,9747.551
20190211,Buy,24.373,399,-9729.6894135,399,17.862,-257.311,9742.689
20190212,Hold,24.34,0,0.0,399,17.862,-270.478,9729.522
20190213,Hold,24.25,0,0.0,399,17.862,-306.388,9693.612
20190214,Hold,24.521,0,0.0,399,17.862,-198.259,9801.741
20190215,Hold,24.871,0,0.0,399,17.862,-58.609,9941.391
20190219,Hold,25.02,0,0.0,399,17.862,0.842,10000.842
20190220,Hold,25.198,0,0.0,399,17.862,71.864,10071.864
20190221,Hold,25.271,0,0.0,399,17.862,100.991,10100.991
20190222,Hold,25.516,0,0.0,399,17.862,198.746,10198.746
20190225,Hold,25.425,0,0.0,399,17.862,162.437,10162.437
20190226,Sell,25.5,-399,10169.412750000001,0,10187.275,187.275,10187.275
