,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150108,Buy,34.087,293,-9992.484745500002,293,7.515,-4.994,9995.006
20150109,Hold,33.946,0,0.0,293,7.515,-46.307,9953.693
20150112,Hold,34.283,0,0.0,293,7.515,52.434,10052.434
20150113,Hold,33.841,0,0.0,293,7.515,-77.072,9922.928
20150114,Hold,34.11,0,0.0,293,7.515,1.745,10001.745
20150115,Hold,34.017,0,0.0,293,7.515,-25.504,9974.496
20150116,Hold,34.714,0,0.0,293,7.515,178.717,10178.717
20150120,Hold,34.563,0,0.0,293,7.515,134.474,10134.474
20150121,Hold,34.729,0,0.0,293,7.515,183.112,10183.112
20150122,Sell,34.563,-293,10121.895520500002,0,10129.411,129.411,10129.411
20150123,Hold,33.914,0,0.0,0,10129.411,129.411,10129.411
20150126,Hold,33.648,0,0.0,0,10129.411,129.411,10129.411
20150127,Hold,33.796,0,0.0,0,10129.411,129.411,10129.411
20150128,Hold,33.078,0,0.0,0,10129.411,129.411,10129.411
20150129,Hold,33.078,0,0.0,0,10129.411,129.411,10129.411
20150130,Buy,33.342,303,-10107.677313,303,21.733,124.359,10124.359
20150202,Hold,34.135,0,0.0,303,21.733,364.638,10364.638
20150203,Hold,34.403,0,0.0,303,21.733,445.842,10445.842
20150204,Hold,34.682,0,0.0,303,21.733,530.379,10530.379
20150205,Hold,34.822,0,0.0,303,21.733,572.799,10572.799
20150206,Hold,35.398,0,0.0,303,21.733,747.327,10747.327
20150209,Hold,35.547,0,0.0,303,21.733,792.474,10792.474
20150210,Hold,35.645,0,0.0,303,21.733,822.168,10822.168
20150211,Hold,36.006,0,0.0,303,21.733,931.551,10931.551
20150212,Hold,35.66,0,0.0,303,21.733,826.713,10826.713
20150213,Sell,35.381,-303,10715.0827785,0,10736.816,736.816,10736.816
20150217,Hold,35.524,0,0.0,0,10736.816,736.816,10736.816
20150218,Hold,35.185,0,0.0,0,10736.816,736.816,10736.816
20150219,Hold,35.248,0,0.0,0,10736.816,736.816,10736.816
20150220,Hold,35.32,0,0.0,0,10736.816,736.816,10736.816
20150223,Hold,35.128,0,0.0,0,10736.816,736.816,10736.816
20150224,Buy,35.627,301,-10729.088863500001,301,7.727,731.454,10731.454
20150225,Hold,35.407,0,0.0,301,7.727,665.234,10665.234
20150226,Hold,35.524,0,0.0,301,7.727,700.451,10700.451
20150227,Hold,35.452,0,0.0,301,7.727,678.779,10678.779
20150302,Hold,35.691,0,0.0,301,7.727,750.718,10750.718
20150303,Sell,35.771,-301,10761.6874645,0,10769.415,769.415,10769.415
20150304,Hold,35.516,0,0.0,0,10769.415,769.415,10769.415
20150305,Hold,34.997,0,0.0,0,10769.415,769.415,10769.415
20150306,Hold,34.832,0,0.0,0,10769.415,769.415,10769.415
20150309,Hold,34.723,0,0.0,0,10769.415,769.415,10769.415
20150310,Hold,34.33,0,0.0,0,10769.415,769.415,10769.415
