,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Buy,127.75,78,-9969.48225,78,30.518,-4.982,9995.018
20210111,Sell,127.89,-78,9970.43229,0,10000.95,0.95,10000.95
20210112,Hold,126.81,0,0.0,0,10000.95,0.95,10000.95
20210113,Hold,128.35,0,0.0,0,10000.95,0.95,10000.95
20210114,Hold,128.23,0,0.0,0,10000.95,0.95,10000.95
20210115,Hold,127.3271,0,0.0,0,10000.95,0.95,10000.95
20210119,Hold,126.03,0,0.0,0,10000.95,0.95,10000.95
20210120,Hold,126.01,0,0.0,0,10000.95,0.95,10000.95
20210121,Hold,125.27,0,0.0,0,10000.95,0.95,10000.95
20210122,Hold,122.39,0,0.0,0,10000.95,0.95,10000.95
20210125,Hold,120.38,0,0.0,0,10000.95,0.95,10000.95
20210126,Hold,118.69,0,0.0,0,10000.95,0.95,10000.95
20210127,Hold,120.01,0,0.0,0,10000.95,0.95,10000.95
20210128,Buy,119.75,83,-9944.219625,83,56.73,-4.02,9995.98
20210129,Sell,117.95,-83,9784.955075000002,0,9841.685,-158.315,9841.685
20210201,Buy,119.47,82,-9801.438269999999,82,40.247,-163.213,9836.787
20210202,Hold,122.0,0,0.0,82,40.247,44.247,10044.247
20210203,Hold,124.01,0,0.0,82,40.247,209.067,10209.067
20210204,Hold,126.99,0,0.0,82,40.247,453.427,10453.427
20210205,Hold,130.15,0,0.0,82,40.247,712.547,10712.547
20210208,Hold,129.29,0,0.0,82,40.247,642.027,10642.027
20210209,Sell,127.07,-82,10414.530130000001,0,10454.777,454.777,10454.777
20210210,Buy,127.56,81,-10337.52618,81,117.251,449.611,10449.611
20210211,Hold,125.74,0,0.0,81,117.251,302.191,10302.191
20210212,Hold,130.01,0,0.0,81,117.251,648.061,10648.061
20210216,Hold,128.4,0,0.0,81,117.251,517.651,10517.651
20210217,Hold,128.26,0,0.0,81,117.251,506.311,10506.311
20210218,Hold,131.28,0,0.0,81,117.251,750.931,10750.931
20210219,Hold,139.2,0,0.0,81,117.251,1392.451,11392.451
20210222,Hold,144.99,0,0.0,81,117.251,1861.441,11861.441
20210223,Hold,149.5,0,0.0,81,117.251,2226.751,12226.751
20210224,Hold,156.26,0,0.0,81,117.251,2774.311,12774.311
20210225,Hold,150.28,0,0.0,81,117.251,2289.931,12289.931
20210226,Sell,151.03,-81,12227.313285,0,12344.564,2344.564,12344.564
20210301,Hold,147.14,0,0.0,0,12344.564,2344.564,12344.564
20210302,Hold,149.51,0,0.0,0,12344.564,2344.564,12344.564
20210303,Hold,147.23,0,0.0,0,12344.564,2344.564,12344.564
20210304,Hold,146.656,0,0.0,0,12344.564,2344.564,12344.564
20210305,Buy,149.575,82,-12271.282575,82,73.282,2338.432,12338.432
20210308,Hold,151.235,0,0.0,82,73.282,2474.552,12474.552
20210309,Hold,147.4,0,0.0,82,73.282,2160.082,12160.082
20210310,Hold,147.14,0,0.0,82,73.282,2138.762,12138.762
20210311,Hold,149.35,0,0.0,82,73.282,2319.982,12319.982
20210312,Hold,152.49,0,0.0,82,73.282,2577.462,12577.462
20210315,Hold,153.56,0,0.0,82,73.282,2665.202,12665.202
20210316,Hold,149.85,0,0.0,82,73.282,2360.982,12360.982
20210317,Hold,154.57,0,0.0,82,73.282,2748.022,12748.022
20210318,Sell,152.59,-82,12506.123810000001,0,12579.406,2579.406,12579.406
20210319,Hold,150.55,0,0.0,0,12579.406,2579.406,12579.406
20210322,Hold,149.68,0,0.0,0,12579.406,2579.406,12579.406
20210323,Hold,144.2,0,0.0,0,12579.406,2579.406,12579.406
20210324,Hold,141.84,0,0.0,0,12579.406,2579.406,12579.406
20210325,Buy,147.35,85,-12531.012374999998,85,48.393,2573.143,12573.143
20210326,Hold,146.0,0,0.0,85,48.393,2458.393,12458.393
20210329,Hold,144.79,0,0.0,85,48.393,2355.543,12355.543
20210330,Hold,148.96,0,0.0,85,48.393,2709.993,12709.993
20210331,Hold,148.27,0,0.0,85,48.393,2651.343,12651.343
20210401,Hold,150.5,0,0.0,85,48.393,2840.893,12840.893
20210405,Hold,150.99,0,0.0,85,48.393,2882.543,12882.543
20210406,Hold,152.25,0,0.0,85,48.393,2989.643,12989.643
20210407,Sell,148.5,-85,12616.188750000001,0,12664.582,2664.582,12664.582
20210408,Hold,148.27,0,0.0,0,12664.582,2664.582,12664.582
20210409,Hold,148.47,0,0.0,0,12664.582,2664.582,12664.582
20210412,Hold,148.11,0,0.0,0,12664.582,2664.582,12664.582
20210413,Hold,149.09,0,0.0,0,12664.582,2664.582,12664.582
20210414,Hold,149.8,0,0.0,0,12664.582,2664.582,12664.582
20210415,Hold,150.12,0,0.0,0,12664.582,2664.582,12664.582
20210416,Hold,148.0,0,0.0,0,12664.582,2664.582,12664.582
20210419,Hold,146.47,0,0.0,0,12664.582,2664.582,12664.582
20210420,Hold,141.7008,0,0.0,0,12664.582,2664.582,12664.582
20210421,Buy,144.67,87,-12592.583144999999,87,71.999,2658.289,12658.289
20210422,Hold,147.04,0,0.0,87,71.999,2864.479,12864.479
20210423,Hold,149.5,0,0.0,87,71.999,3078.499,13078.499
20210426,Hold,148.96,0,0.0,87,71.999,3031.519,13031.519
20210427,Hold,149.58,0,0.0,87,71.999,3085.459,13085.459
20210428,Hold,151.31,0,0.0,87,71.999,3235.969,13235.969
20210429,Sell,149.1,-87,12965.21415,0,13037.213,3037.213,13037.213
20210430,Hold,149.32,0,0.0,0,13037.213,3037.213,13037.213
20210503,Hold,148.27,0,0.0,0,13037.213,3037.213,13037.213
20210504,Hold,147.82,0,0.0,0,13037.213,3037.213,13037.213
20210505,Hold,144.58,0,0.0,0,13037.213,3037.213,13037.213
20210506,Hold,143.0,0,0.0,0,13037.213,3037.213,13037.213
20210507,Hold,144.8736,0,0.0,0,13037.213,3037.213,13037.213
20210510,Hold,139.58,0,0.0,0,13037.213,3037.213,13037.213
20210511,Hold,140.48,0,0.0,0,13037.213,3037.213,13037.213
20210512,Hold,136.56,0,0.0,0,13037.213,3037.213,13037.213
20210513,Hold,140.42,0,0.0,0,13037.213,3037.213,13037.213
20210514,Buy,143.26,90,-12899.846699999998,90,137.366,3030.766,13030.766
20210517,Sell,140.87,-90,12671.960850000001,0,12809.327,2809.327,12809.327
20210518,Hold,137.86,0,0.0,0,12809.327,2809.327,12809.327
20210519,Hold,139.8,0,0.0,0,12809.327,2809.327,12809.327
20210520,Hold,139.71,0,0.0,0,12809.327,2809.327,12809.327
20210521,Buy,140.08,91,-12753.65364,91,55.674,2802.954,12802.954
20210524,Hold,142.45,0,0.0,91,55.674,3018.624,13018.624
20210525,Hold,144.03,0,0.0,91,55.674,3162.404,13162.404
20210526,Hold,145.42,0,0.0,91,55.674,3288.894,13288.894
20210527,Hold,145.63,0,0.0,91,55.674,3308.004,13308.004
20210528,Sell,145.4,-91,13224.784300000001,0,13280.458,3280.458,13280.458
20210601,Buy,145.99,90,-13145.66955,90,134.788,3273.888,13273.888
20210602,Sell,141.74,-90,12750.221700000002,0,12885.01,2885.01,12885.01
20210603,Hold,141.63,0,0.0,0,12885.01,2885.01,12885.01
20210604,Hold,143.04,0,0.0,0,12885.01,2885.01,12885.01
20210607,Hold,142.8,0,0.0,0,12885.01,2885.01,12885.01
20210608,Buy,146.38,87,-12741.427529999999,87,143.583,2878.643,12878.643
20210609,Hold,144.18,0,0.0,87,143.583,2687.243,12687.243
20210610,Hold,144.0,0,0.0,87,143.583,2671.583,12671.583
20210611,Sell,143.69,-87,12494.779485000001,0,12638.362,2638.362,12638.362
20210614,Hold,143.62,0,0.0,0,12638.362,2638.362,12638.362
20210615,Hold,143.97,0,0.0,0,12638.362,2638.362,12638.362
20210616,Hold,143.29,0,0.0,0,12638.362,2638.362,12638.362
20210617,Hold,140.225,0,0.0,0,12638.362,2638.362,12638.362
20210618,Hold,139.77,0,0.0,0,12638.362,2638.362,12638.362
20210621,Hold,142.0,0,0.0,0,12638.362,2638.362,12638.362
20210622,Hold,140.84,0,0.0,0,12638.362,2638.362,12638.362
20210623,Hold,142.08,0,0.0,0,12638.362,2638.362,12638.362
20210624,Hold,141.02,0,0.0,0,12638.362,2638.362,12638.362
20210625,Hold,139.33,0,0.0,0,12638.362,2638.362,12638.362
20210628,Hold,136.0,0,0.0,0,12638.362,2638.362,12638.362
20210629,Hold,135.0,0,0.0,0,12638.362,2638.362,12638.362
20210630,Hold,137.22,0,0.0,0,12638.362,2638.362,12638.362
20210701,Buy,139.7539,90,-12584.139925499998,90,54.222,2632.073,12632.073
20210702,Hold,141.48,0,0.0,90,54.222,2787.422,12787.422
20210706,Hold,139.5,0,0.0,90,54.222,2609.222,12609.222
20210707,Sell,136.87,-90,12312.140850000002,0,12366.363,2366.363,12366.363
20210708,Hold,138.26,0,0.0,0,12366.363,2366.363,12366.363
20210709,Buy,141.03,87,-12275.744805,87,90.618,2360.228,12360.228
20210712,Hold,140.95,0,0.0,87,90.618,2353.268,12353.268
20210713,Sell,138.76,-87,12066.08394,0,12156.702,2156.702,12156.702
20210714,Hold,139.4,0,0.0,0,12156.702,2156.702,12156.702
20210715,Hold,140.66,0,0.0,0,12156.702,2156.702,12156.702
20210716,Hold,130.85,0,0.0,0,12156.702,2156.702,12156.702
20210719,Hold,131.28,0,0.0,0,12156.702,2156.702,12156.702
20210720,Buy,135.43,89,-12059.296635,89,97.405,2150.675,12150.675
20210721,Hold,139.46,0,0.0,89,97.405,2509.345,12509.345
20210722,Hold,138.77,0,0.0,89,97.405,2447.935,12447.935
20210723,Hold,139.73,0,0.0,89,97.405,2533.375,12533.375
20210726,Hold,141.25,0,0.0,89,97.405,2668.655,12668.655
20210727,Hold,144.13,0,0.0,89,97.405,2924.975,12924.975
20210728,Hold,145.39,0,0.0,89,97.405,3037.115,13037.115
20210729,Hold,146.3816,0,0.0,89,97.405,3125.368,13125.368
20210730,Sell,147.06,-89,13081.795830000001,0,13179.201,3179.201,13179.201
20210802,Hold,145.65,0,0.0,0,13179.201,3179.201,13179.201
20210803,Hold,141.0,0,0.0,0,13179.201,3179.201,13179.201
20210804,Hold,139.04,0,0.0,0,13179.201,3179.201,13179.201
20210805,Hold,141.65,0,0.0,0,13179.201,3179.201,13179.201
20210806,Hold,141.02,0,0.0,0,13179.201,3179.201,13179.201
20210809,Hold,136.9493,0,0.0,0,13179.201,3179.201,13179.201
20210810,Hold,137.38,0,0.0,0,13179.201,3179.201,13179.201
20210811,Hold,137.55,0,0.0,0,13179.201,3179.201,13179.201
20210812,Hold,135.11,0,0.0,0,13179.201,3179.201,13179.201
20210813,Hold,133.46,0,0.0,0,13179.201,3179.201,13179.201
20210816,Hold,131.18,0,0.0,0,13179.201,3179.201,13179.201
20210817,Hold,130.25,0,0.0,0,13179.201,3179.201,13179.201
20210818,Hold,128.99,0,0.0,0,13179.201,3179.201,13179.201
20210819,Hold,129.551,0,0.0,0,13179.201,3179.201,13179.201
20210820,Buy,132.3,99,-13104.24885,99,74.952,3172.652,13172.652
20210823,Hold,135.0936,0,0.0,99,74.952,3449.219,13449.219
20210824,Hold,137.32,0,0.0,99,74.952,3669.632,13669.632
20210825,Hold,136.0,0,0.0,99,74.952,3538.952,13538.952
20210826,Sell,133.62,-99,13221.765810000003,0,13296.718,3296.718,13296.718
20210827,Buy,136.29,97,-13226.740064999998,97,69.978,3290.108,13290.108
20210830,Sell,134.4613,-97,13036.22472695,0,13106.203,3106.203,13106.203
20210831,Buy,136.3,96,-13091.3424,96,14.86,3099.66,13099.66
20210901,Hold,135.24,0,0.0,96,14.86,2997.9,12997.9
20210902,Hold,134.39,0,0.0,96,14.86,2916.3,12916.3
20210903,Hold,132.42,0,0.0,96,14.86,2727.18,12727.18
20210907,Hold,134.49,0,0.0,96,14.86,2925.9,12925.9
20210908,Hold,133.61,0,0.0,96,14.86,2841.42,12841.42
20210909,Hold,136.71,0,0.0,96,14.86,3139.02,13139.02
20210910,Hold,136.96,0,0.0,96,14.86,3163.02,13163.02
20210913,Hold,139.97,0,0.0,96,14.86,3451.98,13451.98
20210914,Hold,141.54,0,0.0,96,14.86,3602.7,13602.7
20210915,Hold,144.3997,0,0.0,96,14.86,3877.232,13877.232
20210916,Hold,145.02,0,0.0,96,14.86,3936.78,13936.78
20210917,Hold,142.515,0,0.0,96,14.86,3696.3,13696.3
20210920,Sell,143.7,-96,13788.3024,0,13803.163,3803.163,13803.163
20210921,Buy,142.76,96,-13711.812479999999,96,91.35,3796.31,13796.31
20210922,Hold,144.69,0,0.0,96,91.35,3981.59,13981.59
20210923,Hold,149.23,0,0.0,96,91.35,4417.43,14417.43
20210924,Hold,152.63,0,0.0,96,91.35,4743.83,14743.83
20210927,Hold,153.13,0,0.0,96,91.35,4791.83,14791.83
20210928,Hold,154.3,0,0.0,96,91.35,4904.15,14904.15
20210929,Sell,152.13,-96,14597.17776,0,14688.528,4688.528,14688.528
20210930,Hold,150.75,0,0.0,0,14688.528,4688.528,14688.528
20211001,Buy,155.8564,94,-14657.8268508,94,30.701,4681.203,14681.203
20211004,Hold,155.25,0,0.0,94,30.701,4624.201,14624.201
20211005,Hold,153.51,0,0.0,94,30.701,4460.641,14460.641
20211006,Hold,157.03,0,0.0,94,30.701,4791.521,14791.521
20211007,Hold,157.99,0,0.0,94,30.701,4881.761,14881.761
20211008,Hold,157.41,0,0.0,94,30.701,4827.241,14827.241
20211011,Hold,156.6,0,0.0,94,30.701,4751.101,14751.101
20211012,Hold,158.23,0,0.0,94,30.701,4904.321,14904.321
20211013,Sell,155.87,-94,14644.45411,0,14675.155,4675.155,14675.155
20211014,Hold,157.11,0,0.0,0,14675.155,4675.155,14675.155
20211015,Buy,159.0,92,-14635.313999999998,92,39.841,4667.841,14667.841
20211018,Hold,158.0,0,0.0,92,39.841,4575.841,14575.841
20211019,Sell,154.75,-92,14229.881500000001,0,14269.723,4269.723,14269.723
20211020,Hold,153.55,0,0.0,0,14269.723,4269.723,14269.723
20211021,Hold,155.31,0,0.0,0,14269.723,4269.723,14269.723
20211022,Hold,155.28,0,0.0,0,14269.723,4269.723,14269.723
20211025,Buy,156.65,91,-14262.277574999998,91,7.445,4262.595,14262.595
20211026,Hold,155.07,0,0.0,91,7.445,4118.815,14118.815
20211027,Hold,159.56,0,0.0,91,7.445,4527.405,14527.405
20211028,Hold,159.0,0,0.0,91,7.445,4476.445,14476.445
20211029,Hold,160.4,0,0.0,91,7.445,4603.845,14603.845
20211101,Hold,160.95,0,0.0,91,7.445,4653.895,14653.895
20211102,Hold,160.76,0,0.0,91,7.445,4636.605,14636.605
20211103,Hold,166.018,0,0.0,91,7.445,5115.083,15115.083
20211104,Hold,169.4,0,0.0,91,7.445,5422.845,15422.845
20211105,Sell,170.33,-91,15492.279985000001,0,15499.725,5499.725,15499.725
20211108,Hold,168.05,0,0.0,0,15499.725,5499.725,15499.725
20211109,Hold,163.48,0,0.0,0,15499.725,5499.725,15499.725
20211110,Hold,160.624,0,0.0,0,15499.725,5499.725,15499.725
20211111,Hold,157.5,0,0.0,0,15499.725,5499.725,15499.725
20211112,Hold,157.04,0,0.0,0,15499.725,5499.725,15499.725
20211115,Hold,155.1318,0,0.0,0,15499.725,5499.725,15499.725
20211116,Hold,153.27,0,0.0,0,15499.725,5499.725,15499.725
20211117,Buy,156.77,98,-15371.14173,98,128.584,5492.044,15492.044
20211118,Sell,153.98,-98,15082.49498,0,15211.079,5211.079,15211.079
20211119,Hold,156.16,0,0.0,0,15211.079,5211.079,15211.079
20211122,Hold,157.38,0,0.0,0,15211.079,5211.079,15211.079
20211123,Hold,156.12,0,0.0,0,15211.079,5211.079,15211.079
20211124,Hold,146.65,0,0.0,0,15211.079,5211.079,15211.079
20211126,Hold,149.7,0,0.0,0,15211.079,5211.079,15211.079
20211129,Hold,148.56,0,0.0,0,15211.079,5211.079,15211.079
20211130,Hold,150.26,0,0.0,0,15211.079,5211.079,15211.079
20211201,Hold,143.37,0,0.0,0,15211.079,5211.079,15211.079
20211202,Buy,151.57,100,-15164.5785,100,46.5,5203.5,15203.5
20211203,Hold,152.22,0,0.0,100,46.5,5268.5,15268.5
20211206,Hold,158.49,0,0.0,100,46.5,5895.5,15895.5
20211207,Hold,157.46,0,0.0,100,46.5,5792.5,15792.5
20211208,Hold,156.26,0,0.0,100,46.5,5672.5,15672.5
20211209,Hold,158.21,0,0.0,100,46.5,5867.5,15867.5
20211210,Hold,159.07,0,0.0,100,46.5,5953.5,15953.5
20211213,Sell,152.77,-100,15269.361500000003,0,15315.862,5315.862,15315.862
20211214,Hold,152.99,0,0.0,0,15315.862,5315.862,15315.862
20211215,Hold,151.1616,0,0.0,0,15315.862,5315.862,15315.862
20211216,Hold,149.38,0,0.0,0,15315.862,5315.862,15315.862
20211217,Buy,146.99,104,-15294.60348,104,21.258,5308.218,15308.218
20211220,Hold,150.92,0,0.0,104,21.258,5716.938,15716.938
20211221,Hold,158.56,0,0.0,104,21.258,6511.498,16511.498
20211222,Hold,164.25,0,0.0,104,21.258,7103.258,17103.258
20211223,Hold,164.47,0,0.0,104,21.258,7126.138,17126.138
20211227,Hold,165.91,0,0.0,104,21.258,7275.898,17275.898
20211228,Hold,166.35,0,0.0,104,21.258,7321.658,17321.658
20211229,Hold,166.55,0,0.0,104,21.258,7342.458,17342.458
20211230,Sell,164.85,-104,17135.8278,0,17157.086,7157.086,17157.086
