,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200108,Buy,34.45,290,-9995.49525,290,4.505,-4.995,9995.005
20200109,Hold,34.08,0,0.0,290,4.505,-112.295,9887.705
20200110,Hold,34.29,0,0.0,290,4.505,-51.395,9948.605
20200113,Hold,34.2,0,0.0,290,4.505,-77.495,9922.505
20200114,Hold,34.9,0,0.0,290,4.505,125.505,10125.505
20200115,Hold,35.03,0,0.0,290,4.505,163.205,10163.205
20200116,Hold,34.97,0,0.0,290,4.505,145.805,10145.805
20200117,Hold,35.5,0,0.0,290,4.505,299.505,10299.505
20200121,Hold,37.94,0,0.0,290,4.505,1007.105,11007.105
20200122,Hold,36.97,0,0.0,290,4.505,725.805,10725.805
20200123,Hold,37.5,0,0.0,290,4.505,879.505,10879.505
20200124,Sell,35.23,-290,10211.59165,0,10216.096,216.096,10216.096
20200127,Hold,37.14,0,0.0,0,10216.096,216.096,10216.096
20200128,Hold,36.98,0,0.0,0,10216.096,216.096,10216.096
20200129,Hold,36.82,0,0.0,0,10216.096,216.096,10216.096
20200130,Hold,37.0,0,0.0,0,10216.096,216.096,10216.096
20200131,Hold,36.75,0,0.0,0,10216.096,216.096,10216.096
20200203,Buy,37.87,269,-10192.123514999997,269,23.973,211.003,10211.003
20200204,Hold,38.89,0,0.0,269,23.973,485.383,10485.383
20200205,Hold,37.3,0,0.0,269,23.973,57.673,10057.673
20200206,Hold,39.98,0,0.0,269,23.973,778.593,10778.593
20200207,Hold,40.65,0,0.0,269,23.973,958.823,10958.823
20200210,Hold,40.25,0,0.0,269,23.973,851.223,10851.223
20200211,Hold,41.5,0,0.0,269,23.973,1187.473,11187.473
20200212,Sell,40.93,-269,11004.664915000001,0,11028.638,1028.638,11028.638
20200213,Hold,40.04,0,0.0,0,11028.638,1028.638,11028.638
20200214,Hold,39.49,0,0.0,0,11028.638,1028.638,11028.638
20200218,Hold,40.42,0,0.0,0,11028.638,1028.638,11028.638
