,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,147.37,67,-9878.726895,67,121.273,-4.937,9995.063
20170111,Hold,147.91,0,0.0,67,121.273,31.243,10031.243
20170112,Hold,147.55,0,0.0,67,121.273,7.123,10007.123
20170113,Sell,147.16,-67,9854.79014,0,9976.063,-23.937,9976.063
20170117,Hold,146.66,0,0.0,0,9976.063,-23.937,9976.063
20170118,Hold,146.07,0,0.0,0,9976.063,-23.937,9976.063
20170119,Hold,147.29,0,0.0,0,9976.063,-23.937,9976.063
20170120,Buy,148.17,67,-9932.353694999998,67,43.71,-28.9,9971.1
20170123,Hold,147.35,0,0.0,67,43.71,-83.84,9916.16
20170124,Hold,147.02,0,0.0,67,43.71,-105.95,9894.05
20170125,Hold,151.67,0,0.0,67,43.71,205.6,10205.6
20170126,Hold,155.06,0,0.0,67,43.71,432.73,10432.73
20170127,Hold,156.89,0,0.0,67,43.71,555.34,10555.34
20170130,Hold,153.81,0,0.0,67,43.71,348.98,10348.98
20170131,Hold,152.93,0,0.0,67,43.71,290.02,10290.02
20170201,Sell,152.27,-67,10196.988955,0,10240.699,240.699,10240.699
20170202,Hold,151.33,0,0.0,0,10240.699,240.699,10240.699
20170203,Hold,151.1,0,0.0,0,10240.699,240.699,10240.699
20170206,Hold,150.56,0,0.0,0,10240.699,240.699,10240.699
20170207,Buy,152.97,66,-10101.068009999999,66,139.63,235.65,10235.65
20170208,Hold,154.28,0,0.0,66,139.63,322.11,10322.11
20170209,Hold,153.98,0,0.0,66,139.63,302.31,10302.31
20170210,Hold,154.51,0,0.0,66,139.63,337.29,10337.29
20170213,Hold,155.63,0,0.0,66,139.63,411.21,10411.21
20170214,Hold,156.82,0,0.0,66,139.63,489.75,10489.75
20170215,Hold,157.48,0,0.0,66,139.63,533.31,10533.31
20170216,Hold,158.64,0,0.0,66,139.63,609.87,10609.87
20170217,Hold,159.35,0,0.0,66,139.63,656.73,10656.73
20170221,Hold,162.63,0,0.0,66,139.63,873.21,10873.21
20170222,Hold,163.62,0,0.0,66,139.63,938.55,10938.55
