,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Hold,78.816,0,0,0,10000,0.0,10000.0
20140110,Buy,79.296,126,-9996.291648,126,3.708,-4.996,9995.004
20140113,Hold,78.708,0,0,126,3.708,-79.084,9920.916
20140114,Sell,79.164,-126,9969.676668000002,0,9973.385,-26.615,9973.385
20140115,Buy,79.452,125,-9936.46575,125,36.919,-31.581,9968.419
20140116,Hold,79.638,0,0,125,36.919,-8.331,9991.669
20140117,Hold,79.594,0,0,125,36.919,-13.831,9986.169
20140121,Hold,79.963,0,0,125,36.919,32.294,10032.294
20140122,Hold,80.199,0,0,125,36.919,61.794,10061.794
20140123,Hold,83.401,0,0,125,36.919,462.044,10462.044
20140124,Hold,83.465,0,0,125,36.919,470.044,10470.044
20140127,Hold,81.647,0,0,125,36.919,242.794,10242.794
20140128,Hold,83.448,0,0,125,36.919,467.919,10467.919
20140129,Hold,83.249,0,0,125,36.919,443.044,10443.044
20140130,Sell,82.716,-125,10334.33025,0,10371.25,371.25,10371.25
20140131,Buy,82.775,125,-10352.0484375,125,19.201,366.076,10366.076
20140203,Hold,84.272,0,0,125,19.201,553.201,10553.201
20140204,Sell,84.187,-125,10518.113312500001,0,10537.314,537.314,10537.314
20140205,Buy,82.817,127,-10523.0178795,127,14.297,532.056,10532.056
20140206,Sell,83.565,-127,10607.4486225,0,10621.745,621.745,10621.745
20140207,Buy,84.994,124,-10544.525628,124,77.22,616.476,10616.476
20140210,Hold,86.1,0,0,124,77.22,753.62,10753.62
20140211,Hold,85.788,0,0,124,77.22,714.932,10714.932
20140212,Hold,86.179,0,0,124,77.22,763.416,10763.416
20140213,Hold,85.971,0,0,124,77.22,737.624,10737.624
20140214,Hold,86.453,0,0,124,77.22,797.392,10797.392
20140218,Hold,88.522,0,0,124,77.22,1053.948,11053.948
20140219,Hold,88.722,0,0,124,77.22,1078.748,11078.748
20140220,Hold,88.139,0,0,124,77.22,1006.456,11006.456
20140221,Hold,90.177,0,0,124,77.22,1259.168,11259.168
20140224,Hold,89.498,0,0,124,77.22,1174.972,11174.972
20140225,Hold,90.62,0,0,124,77.22,1314.1,11314.1
20140226,Hold,90.293,0,0,124,77.22,1273.552,11273.552
20140227,Hold,90.105,0,0,124,77.22,1250.24,11250.24
