,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,117.85,84,-9904.349699999999,84,95.65,-4.95,9995.05
20140110,Hold,117.85,0,0.0,84,95.65,-4.95,9995.05
20140113,Hold,121.59,0,0.0,84,95.65,309.21,10309.21
20140114,Hold,119.54,0,0.0,84,95.65,137.01,10137.01
20140115,Hold,119.76,0,0.0,84,95.65,155.49,10155.49
20140116,Hold,121.01,0,0.0,84,95.65,260.49,10260.49
20140117,Hold,121.61,0,0.0,84,95.65,310.89,10310.89
20140121,Hold,121.83,0,0.0,84,95.65,329.37,10329.37
20140122,Hold,122.59,0,0.0,84,95.65,393.21,10393.21
20140123,Hold,124.26,0,0.0,84,95.65,533.49,10533.49
20140124,Sell,119.19,-84,10006.95402,0,10102.604,102.604,10102.604
20140127,Hold,117.16,0,0.0,0,10102.604,102.604,10102.604
20140128,Hold,116.27,0,0.0,0,10102.604,102.604,10102.604
20140129,Hold,116.39,0,0.0,0,10102.604,102.604,10102.604
20140130,Hold,117.53,0,0.0,0,10102.604,102.604,10102.604
20140131,Buy,116.34,86,-10010.242619999999,86,92.362,97.602,10097.602
20140203,Hold,119.08,0,0.0,86,92.362,333.242,10333.242
20140204,Hold,117.04,0,0.0,86,92.362,157.802,10157.802
20140205,Sell,116.86,-86,10044.935019999999,0,10137.297,137.297,10137.297
20140206,Buy,118.42,85,-10070.73285,85,66.564,132.264,10132.264
20140207,Hold,120.14,0,0.0,85,66.564,278.464,10278.464
20140210,Hold,122.39,0,0.0,85,66.564,469.714,10469.714
20140211,Hold,121.97,0,0.0,85,66.564,434.014,10434.014
20140212,Hold,125.52,0,0.0,85,66.564,735.764,10735.764
20140213,Hold,124.73,0,0.0,85,66.564,668.614,10668.614
20140214,Hold,126.41,0,0.0,85,66.564,811.414,10811.414
20140218,Hold,127.77,0,0.0,85,66.564,927.014,10927.014
20140219,Hold,128.6,0,0.0,85,66.564,997.564,10997.564
20140220,Hold,128.9,0,0.0,85,66.564,1023.064,11023.064
20140221,Hold,130.52,0,0.0,85,66.564,1160.764,11160.764
20140224,Hold,130.99,0,0.0,85,66.564,1200.714,11200.714
20140225,Hold,131.77,0,0.0,85,66.564,1267.014,11267.014
20140226,Hold,129.16,0,0.0,85,66.564,1045.164,11045.164
20140227,Sell,127.94,-85,10869.46255,0,10936.026,936.026,10936.026
20140228,Hold,128.54,0,0.0,0,10936.026,936.026,10936.026
20140303,Hold,128.27,0,0.0,0,10936.026,936.026,10936.026
20140304,Buy,131.03,83,-10880.927744999999,83,55.099,930.589,10930.589
20140305,Hold,132.57,0,0.0,83,55.099,1058.409,11058.409
20140306,Hold,133.06,0,0.0,83,55.099,1099.079,11099.079
20140307,Hold,133.6,0,0.0,83,55.099,1143.899,11143.899
20140310,Hold,132.16,0,0.0,83,55.099,1024.379,11024.379
20140311,Sell,131.89,-83,10941.396565,0,10996.495,996.495,10996.495
20140312,Hold,130.38,0,0.0,0,10996.495,996.495,10996.495
20140313,Hold,131.2,0,0.0,0,10996.495,996.495,10996.495
20140314,Hold,129.66,0,0.0,0,10996.495,996.495,10996.495
20140317,Hold,130.35,0,0.0,0,10996.495,996.495,10996.495
20140318,Buy,131.45,83,-10915.805174999998,83,80.69,991.04,10991.04
20140319,Hold,131.09,0,0.0,83,80.69,961.16,10961.16
20140320,Sell,128.51,-83,10660.996835,0,10741.687,741.687,10741.687
20140321,Hold,128.42,0,0.0,0,10741.687,741.687,10741.687
20140324,Hold,126.46,0,0.0,0,10741.687,741.687,10741.687
