,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Hold,3148.01,0,0,0,10000,0.0,10000.0
20210112,Hold,3120.0,0,0,0,10000,0.0,10000.0
20210113,Hold,3128.44,0,0,0,10000,0.0,10000.0
20210114,Buy,3167.52,3,-9507.311279999998,3,492.689,-4.751,9995.249
20210115,Sell,3123.02,-3,9364.37547,0,9857.064,-142.936,9857.064
20210119,Hold,3107.0,0,0,0,9857.064,-142.936,9857.064
20210120,Buy,3181.99,3,-9550.742984999999,3,306.321,-147.709,9852.291
20210121,Hold,3293.0,0,0,3,306.321,185.321,10185.321
20210122,Hold,3304.31,0,0,3,306.321,219.251,10219.251
20210125,Hold,3328.5,0,0,3,306.321,291.821,10291.821
20210126,Hold,3296.3559,0,0,3,306.321,195.389,10195.389
20210127,Hold,3341.49,0,0,3,306.321,330.791,10330.791
20210128,Sell,3235.04,-3,9700.26744,0,10006.589,6.589,10006.589
20210129,Hold,3230.0,0,0,0,10006.589,6.589,10006.589
20210201,Hold,3242.36,0,0,0,10006.589,6.589,10006.589
20210202,Buy,3380.0,2,-6763.379999999999,2,3243.209,3.209,10003.209
20210203,Hold,3425.01,0,0,2,3243.209,93.229,10093.229
20210204,Hold,3330.0,0,0,2,3243.209,-96.791,9903.209
20210205,Hold,3319.0,0,0,2,3243.209,-118.791,9881.209
20210208,Sell,3358.5,-2,6713.641500000001,0,9956.85,-43.15,9956.85
20210209,Hold,3312.49,0,0,0,9956.85,-43.15,9956.85
20210210,Hold,3314.0,0,0,0,9956.85,-43.15,9956.85
20210211,Hold,3292.0,0,0,0,9956.85,-43.15,9956.85
20210212,Hold,3250.0,0,0,0,9956.85,-43.15,9956.85
20210216,Hold,3254.05,0,0,0,9956.85,-43.15,9956.85
20210217,Hold,3263.6,0,0,0,9956.85,-43.15,9956.85
20210218,Buy,3282.42,3,-9852.18363,3,104.667,-48.073,9951.927
20210219,Hold,3328.23,0,0,3,104.667,89.357,10089.357
20210222,Hold,3208.13,0,0,3,104.667,-270.943,9729.057
20210223,Sell,3131.02,-3,9388.36347,0,9493.03,-506.97,9493.03
20210224,Hold,3166.75,0,0,0,9493.03,-506.97,9493.03
20210225,Hold,3136.74,0,0,0,9493.03,-506.97,9493.03
20210226,Hold,3095.2,0,0,0,9493.03,-506.97,9493.03
20210301,Hold,3127.89,0,0,0,9493.03,-506.97,9493.03
20210302,Hold,3143.47,0,0,0,9493.03,-506.97,9493.03
20210303,Hold,3081.18,0,0,0,9493.03,-506.97,9493.03
20210304,Hold,3012.0,0,0,0,9493.03,-506.97,9493.03
20210305,Hold,3005.0,0,0,0,9493.03,-506.97,9493.03
20210308,Hold,3015.0,0,0,0,9493.03,-506.97,9493.03
20210309,Hold,3017.99,0,0,0,9493.03,-506.97,9493.03
20210310,Buy,3098.45,3,-9299.997674999999,3,193.032,-511.618,9488.382
20210311,Hold,3104.01,0,0,3,193.032,-494.938,9505.062
20210312,Hold,3075.0,0,0,3,193.032,-581.968,9418.032
20210315,Hold,3074.57,0,0,3,193.032,-583.258,9416.742
20210316,Sell,3104.97,-3,9310.252545000001,0,9503.285,-496.715,9503.285
20210317,Buy,3073.22,3,-9224.26983,3,279.015,-501.325,9498.675
20210318,Hold,3101.0,0,0,3,279.015,-417.985,9582.015
20210319,Sell,3029.23,-3,9083.146155,0,9362.161,-637.839,9362.161
20210322,Hold,3067.85,0,0,0,9362.161,-637.839,9362.161
20210323,Hold,3127.0,0,0,0,9362.161,-637.839,9362.161
20210324,Buy,3151.04,2,-6305.23104,2,3056.93,-640.99,9359.01
20210325,Hold,3072.99,0,0,2,3056.93,-797.09,9202.91
20210326,Sell,3044.06,-2,6085.075940000001,0,9142.006,-857.994,9142.006
20210329,Hold,3055.4394,0,0,0,9142.006,-857.994,9142.006
20210330,Hold,3070.01,0,0,0,9142.006,-857.994,9142.006
20210331,Hold,3064.06,0,0,0,9142.006,-857.994,9142.006
20210401,Buy,3117.94,2,-6238.99794,2,2903.008,-861.112,9138.888
20210405,Hold,3173.0,0,0,2,2903.008,-750.992,9249.008
20210406,Hold,3223.75,0,0,2,2903.008,-649.492,9350.508
20210407,Hold,3233.8,0,0,2,2903.008,-629.392,9370.608
20210408,Hold,3310.9,0,0,2,2903.008,-475.192,9524.808
20210409,Hold,3304.7,0,0,2,2903.008,-487.592,9512.408
20210412,Hold,3355.21,0,0,2,2903.008,-386.572,9613.428
20210413,Hold,3400.845,0,0,2,2903.008,-295.302,9704.698
20210414,Hold,3404.04,0,0,2,2903.008,-288.912,9711.088
20210415,Hold,3371.0,0,0,2,2903.008,-354.992,9645.008
20210416,Hold,3380.0,0,0,2,2903.008,-336.992,9663.008
20210419,Hold,3390.33,0,0,2,2903.008,-316.332,9683.668
20210420,Sell,3373.6,-2,6743.8264,0,9646.835,-353.165,9646.835
20210421,Hold,3316.0,0,0,0,9646.835,-353.165,9646.835
20210422,Hold,3371.68,0,0,0,9646.835,-353.165,9646.835
20210423,Hold,3319.1,0,0,0,9646.835,-353.165,9646.835
20210426,Hold,3348.0,0,0,0,9646.835,-353.165,9646.835
20210427,Buy,3443.47,2,-6890.383469999999,2,2756.451,-356.609,9643.391
20210428,Hold,3434.8,0,0,2,2756.451,-373.949,9626.051
20210429,Hold,3505.0981,0,0,2,2756.451,-233.353,9766.647
20210430,Hold,3525.12,0,0,2,2756.451,-193.309,9806.691
20210503,Hold,3484.73,0,0,2,2756.451,-274.089,9725.911
20210504,Sell,3356.19,-2,6709.023810000001,0,9465.475,-534.525,9465.475
20210505,Hold,3338.855,0,0,0,9465.475,-534.525,9465.475
20210506,Hold,3270.0,0,0,0,9465.475,-534.525,9465.475
20210507,Hold,3319.09,0,0,0,9465.475,-534.525,9465.475
20210510,Hold,3282.32,0,0,0,9465.475,-534.525,9465.475
20210511,Hold,3136.28,0,0,0,9465.475,-534.525,9465.475
20210512,Hold,3185.0,0,0,0,9465.475,-534.525,9465.475
20210513,Hold,3185.47,0,0,0,9465.475,-534.525,9465.475
20210514,Hold,3185.56,0,0,0,9465.475,-534.525,9465.475
20210517,Buy,3245.93,2,-6495.10593,2,2970.369,-537.771,9462.229
20210518,Hold,3292.575,0,0,2,2970.369,-444.481,9555.519
20210519,Hold,3195.0,0,0,2,2970.369,-639.631,9360.369
20210520,Hold,3244.4042,0,0,2,2970.369,-540.823,9459.177
20210521,Hold,3250.0,0,0,2,2970.369,-529.631,9470.369
20210524,Sell,3215.5,-2,6427.784500000001,0,9398.153,-601.847,9398.153
20210525,Hold,3266.67,0,0,0,9398.153,-601.847,9398.153
20210526,Buy,3274.5905,2,-6552.455590499999,2,2845.698,-605.121,9394.879
20210527,Hold,3256.0,0,0,2,2845.698,-642.302,9357.698
20210528,Hold,3242.0,0,0,2,2845.698,-670.302,9329.698
20210601,Sell,3243.495,-2,6483.746505,0,9329.444,-670.556,9329.444
20210602,Hold,3223.1,0,0,0,9329.444,-670.556,9329.444
20210603,Hold,3204.23,0,0,0,9329.444,-670.556,9329.444
20210604,Hold,3212.0,0,0,0,9329.444,-670.556,9329.444
20210607,Hold,3197.33,0,0,0,9329.444,-670.556,9329.444
20210608,Hold,3222.61,0,0,0,9329.444,-670.556,9329.444
20210609,Buy,3272.87,2,-6549.01287,2,2780.431,-673.829,9326.171
20210610,Hold,3282.01,0,0,2,2780.431,-655.549,9344.451
20210611,Hold,3349.65,0,0,2,2780.431,-520.269,9479.731
20210614,Hold,3346.83,0,0,2,2780.431,-525.909,9474.091
20210615,Hold,3384.0,0,0,2,2780.431,-451.569,9548.431
20210616,Hold,3392.0,0,0,2,2780.431,-435.569,9564.431
20210617,Hold,3403.18,0,0,2,2780.431,-413.209,9586.791
20210618,Hold,3479.99,0,0,2,2780.431,-259.589,9740.411
20210621,Hold,3476.42,0,0,2,2780.431,-266.729,9733.271
20210622,Hold,3458.06,0,0,2,2780.431,-303.449,9696.551
20210623,Hold,3505.0,0,0,2,2780.431,-209.569,9790.431
20210624,Hold,3507.64,0,0,2,2780.431,-204.289,9795.711
20210625,Sell,3464.0,-2,6924.536,0,9704.967,-295.033,9704.967
20210628,Hold,3416.0,0,0,0,9704.967,-295.033,9704.967
20210629,Hold,3438.82,0,0,0,9704.967,-295.033,9704.967
20210630,Hold,3441.06,0,0,0,9704.967,-295.033,9704.967
20210701,Buy,3434.61,2,-6872.65461,2,2832.313,-298.467,9701.533
20210702,Hold,3451.64,0,0,2,2832.313,-264.407,9735.593
20210706,Hold,3530.11,0,0,2,2832.313,-107.467,9892.533
20210707,Hold,3717.3772,0,0,2,2832.313,267.067,10267.067
20210708,Hold,3643.56,0,0,2,2832.313,119.433,10119.433
20210709,Hold,3722.52,0,0,2,2832.313,277.353,10277.353
20210712,Hold,3744.0,0,0,2,2832.313,320.313,10320.313
20210713,Hold,3702.1,0,0,2,2832.313,236.513,10236.513
20210714,Sell,3708.85,-2,7413.99115,0,10246.304,246.304,10246.304
20210715,Hold,3694.2,0,0,0,10246.304,246.304,10246.304
20210716,Hold,3633.31,0,0,0,10246.304,246.304,10246.304
20210719,Hold,3532.58,0,0,0,10246.304,246.304,10246.304
20210720,Hold,3567.32,0,0,0,10246.304,246.304,10246.304
20210721,Hold,3576.375,0,0,0,10246.304,246.304,10246.304
20210722,Hold,3587.23,0,0,0,10246.304,246.304,10246.304
20210723,Buy,3640.0,2,-7283.639999999999,2,2962.664,242.664,10242.664
20210726,Hold,3673.17,0,0,2,2962.664,309.004,10309.004
20210727,Hold,3698.5,0,0,2,2962.664,359.664,10359.664
20210728,Hold,3633.78,0,0,2,2962.664,230.224,10230.224
20210729,Sell,3627.75,-2,7251.87225,0,10214.536,214.536,10214.536
20210730,Hold,3347.95,0,0,0,10214.536,214.536,10214.536
20210802,Hold,3353.1,0,0,0,10214.536,214.536,10214.536
20210803,Hold,3340.72,0,0,0,10214.536,214.536,10214.536
20210804,Hold,3379.35,0,0,0,10214.536,214.536,10214.536
20210805,Hold,3356.22,0,0,0,10214.536,214.536,10214.536
20210806,Buy,3375.0,3,-10130.0625,3,84.474,209.474,10209.474
20210809,Hold,3343.61,0,0,3,84.474,115.304,10115.304
20210810,Sell,3345.01,-3,10030.012485000001,0,10114.486,114.486,10114.486
20210811,Hold,3331.4469,0,0,0,10114.486,114.486,10114.486
20210812,Hold,3290.0,0,0,0,10114.486,114.486,10114.486
20210813,Hold,3305.67,0,0,0,10114.486,114.486,10114.486
20210816,Hold,3283.0,0,0,0,10114.486,114.486,10114.486
20210817,Hold,3277.5,0,0,0,10114.486,114.486,10114.486
20210818,Hold,3241.99,0,0,0,10114.486,114.486,10114.486
20210819,Hold,3194.02,0,0,0,10114.486,114.486,10114.486
20210820,Hold,3203.8725,0,0,0,10114.486,114.486,10114.486
20210823,Hold,3211.9,0,0,0,10114.486,114.486,10114.486
20210824,Buy,3280.0,3,-9844.92,3,269.566,109.566,10109.566
20210825,Hold,3309.87,0,0,3,269.566,199.176,10199.176
20210826,Hold,3299.0,0,0,3,269.566,166.566,10166.566
20210827,Hold,3333.23,0,0,3,269.566,269.256,10269.256
20210830,Hold,3357.425,0,0,3,269.566,341.841,10341.841
20210831,Hold,3424.8,0,0,3,269.566,543.966,10543.966
20210901,Hold,3496.396,0,0,3,269.566,758.754,10758.754
20210902,Hold,3494.76,0,0,3,269.566,753.846,10753.846
20210903,Hold,3452.0,0,0,3,269.566,625.566,10625.566
20210907,Hold,3478.0,0,0,3,269.566,703.566,10703.566
20210908,Hold,3511.65,0,0,3,269.566,804.516,10804.516
20210909,Hold,3526.02,0,0,3,269.566,847.626,10847.626
20210910,Hold,3501.8308,0,0,3,269.566,775.059,10775.059
20210913,Sell,3482.8,-3,10443.175800000003,0,10712.742,712.742,10712.742
20210914,Hold,3475.55,0,0,0,10712.742,712.742,10712.742
20210915,Hold,3442.52,0,0,0,10712.742,712.742,10712.742
20210916,Hold,3459.96,0,0,0,10712.742,712.742,10712.742
20210917,Hold,3488.4146,0,0,0,10712.742,712.742,10712.742
20210920,Buy,3396.0,3,-10193.094,3,519.648,707.648,10707.648
20210921,Sell,3375.0,-3,10119.9375,0,10639.586,639.586,10639.586
20210922,Hold,3351.0,0,0,0,10639.586,639.586,10639.586
20210923,Hold,3380.05,0,0,0,10639.586,639.586,10639.586
20210924,Hold,3402.01,0,0,0,10639.586,639.586,10639.586
20210927,Buy,3371.5,3,-10119.55725,3,520.028,634.528,10634.528
20210928,Hold,3357.71,0,0,3,520.028,593.158,10593.158
20210929,Sell,3322.11,-3,9961.346835,0,10481.375,481.375,10481.375
20210930,Hold,3316.0,0,0,0,10481.375,481.375,10481.375
20211001,Hold,3289.01,0,0,0,10481.375,481.375,10481.375
20211004,Hold,3279.39,0,0,0,10481.375,481.375,10481.375
20211005,Hold,3204.5,0,0,0,10481.375,481.375,10481.375
20211006,Hold,3213.53,0,0,0,10481.375,481.375,10481.375
20211007,Hold,3291.54,0,0,0,10481.375,481.375,10481.375
20211008,Buy,3317.0,3,-9955.975499999999,3,525.4,476.4,10476.4
20211011,Hold,3275.0,0,0,3,525.4,350.4,10350.4
20211012,Hold,3257.0,0,0,3,525.4,296.4,10296.4
20211013,Hold,3269.71,0,0,3,525.4,334.53,10334.53
20211014,Hold,3302.4541,0,0,3,525.4,432.762,10432.762
20211015,Hold,3311.42,0,0,3,525.4,459.66,10459.66
20211018,Hold,3388.3576,0,0,3,525.4,690.472,10690.472
20211019,Hold,3434.29,0,0,3,525.4,828.27,10828.27
20211020,Hold,3452.66,0,0,3,525.4,883.38,10883.38
20211021,Hold,3414.25,0,0,3,525.4,768.15,10768.15
20211022,Hold,3421.0,0,0,3,525.4,788.4,10788.4
20211025,Sell,3335.0,-3,9999.997500000001,0,10525.397,525.397,10525.397
20211026,Hold,3349.51,0,0,0,10525.397,525.397,10525.397
20211027,Hold,3388.0,0,0,0,10525.397,525.397,10525.397
20211028,Buy,3402.095,3,-10211.3881425,3,314.009,520.294,10520.294
