,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,74.12,134,-9937.04604,134,62.954,-4.966,9995.034
20170111,Hold,74.27,0,0.0,134,62.954,15.134,10015.134
20170112,Hold,75.17,0,0.0,134,62.954,135.734,10135.734
20170113,Hold,74.84,0,0.0,134,62.954,91.514,10091.514
20170117,Hold,75.3,0,0.0,134,62.954,153.154,10153.154
20170118,Hold,75.59,0,0.0,134,62.954,192.014,10192.014
20170119,Hold,75.72,0,0.0,134,62.954,209.434,10209.434
20170120,Hold,75.76,0,0.0,134,62.954,214.794,10214.794
20170123,Hold,75.7,0,0.0,134,62.954,206.754,10206.754
20170124,Hold,76.32,0,0.0,134,62.954,289.834,10289.834
20170125,Hold,77.53,0,0.0,134,62.954,451.974,10451.974
20170126,Hold,79.0,0,0.0,134,62.954,648.954,10648.954
20170127,Hold,78.19,0,0.0,134,62.954,540.414,10540.414
20170130,Hold,77.8,0,0.0,134,62.954,488.154,10488.154
20170131,Hold,78.45,0,0.0,134,62.954,575.254,10575.254
20170201,Hold,78.91,0,0.0,134,62.954,636.894,10636.894
20170202,Hold,78.33,0,0.0,134,62.954,559.174,10559.174
20170203,Hold,80.39,0,0.0,134,62.954,835.214,10835.214
20170206,Hold,80.02,0,0.0,134,62.954,785.634,10785.634
20170207,Hold,80.28,0,0.0,134,62.954,820.474,10820.474
20170208,Hold,80.0,0,0.0,134,62.954,782.954,10782.954
20170209,Hold,80.5,0,0.0,134,62.954,849.954,10849.954
20170210,Hold,81.41,0,0.0,134,62.954,971.894,10971.894
20170213,Hold,81.18,0,0.0,134,62.954,941.074,10941.074
20170214,Hold,80.95,0,0.0,134,62.954,910.254,10910.254
20170215,Hold,81.23,0,0.0,134,62.954,947.774,10947.774
20170216,Hold,81.52,0,0.0,134,62.954,986.634,10986.634
20170217,Hold,80.57,0,0.0,134,62.954,859.334,10859.334
20170221,Hold,81.68,0,0.0,134,62.954,1008.074,11008.074
20170222,Hold,82.0,0,0.0,134,62.954,1050.954,11050.954
20170223,Hold,82.33,0,0.0,134,62.954,1095.174,11095.174
20170224,Hold,81.41,0,0.0,134,62.954,971.894,10971.894
20170227,Hold,81.63,0,0.0,134,62.954,1001.374,11001.374
20170228,Sell,81.5,-134,10915.5395,0,10978.493,978.493,10978.493
20170301,Hold,82.87,0,0.0,0,10978.493,978.493,10978.493
20170302,Buy,83.56,131,-10951.83318,131,26.66,973.02,10973.02
20170303,Hold,82.0,0,0.0,131,26.66,768.66,10768.66
20170306,Hold,81.76,0,0.0,131,26.66,737.22,10737.22
20170307,Sell,83.36,-131,10914.699920000001,0,10941.36,941.36,10941.36
20170308,Buy,82.96,131,-10873.193879999997,131,68.166,935.926,10935.926
20170309,Hold,83.19,0,0.0,131,68.166,966.056,10966.056
20170310,Hold,83.56,0,0.0,131,68.166,1014.526,11014.526
20170313,Hold,83.47,0,0.0,131,68.166,1002.736,11002.736
20170314,Hold,83.42,0,0.0,131,68.166,996.186,10996.186
20170315,Sell,83.56,-131,10940.886820000002,0,11009.053,1009.053,11009.053
20170316,Buy,83.95,131,-11002.948725,131,6.104,1003.554,11003.554
20170317,Hold,83.94,0,0.0,131,6.104,1002.244,11002.244
20170320,Sell,83.03,-131,10871.491535000001,0,10877.596,877.596,10877.596
20170321,Hold,83.0,0,0.0,0,10877.596,877.596,10877.596
20170322,Hold,81.69,0,0.0,0,10877.596,877.596,10877.596
20170323,Hold,82.0,0,0.0,0,10877.596,877.596,10877.596
20170324,Hold,81.88,0,0.0,0,10877.596,877.596,10877.596
20170327,Hold,81.0,0,0.0,0,10877.596,877.596,10877.596
20170328,Hold,81.44,0,0.0,0,10877.596,877.596,10877.596
20170329,Buy,82.04,132,-10834.69464,132,42.901,872.181,10872.181
20170330,Hold,82.25,0,0.0,132,42.901,899.901,10899.901
20170331,Hold,82.27,0,0.0,132,42.901,902.541,10902.541
20170403,Hold,82.61,0,0.0,132,42.901,947.421,10947.421
20170404,Hold,82.74,0,0.0,132,42.901,964.581,10964.581
20170405,Hold,83.19,0,0.0,132,42.901,1023.981,11023.981
20170406,Hold,85.42,0,0.0,132,42.901,1318.341,11318.341
20170407,Hold,84.7,0,0.0,132,42.901,1223.301,11223.301
20170410,Hold,84.13,0,0.0,132,42.901,1148.061,11148.061
20170411,Hold,84.07,0,0.0,132,42.901,1140.141,11140.141
20170412,Sell,83.83,-132,11060.02722,0,11102.929,1102.929,11102.929
20170413,Hold,83.2,0,0.0,0,11102.929,1102.929,11102.929
20170417,Hold,83.25,0,0.0,0,11102.929,1102.929,11102.929
20170418,Hold,84.0,0,0.0,0,11102.929,1102.929,11102.929
20170419,Buy,84.08,131,-11019.987239999999,131,82.941,1097.421,11097.421
20170420,Hold,83.95,0,0.0,131,82.941,1080.391,11080.391
20170421,Hold,84.01,0,0.0,131,82.941,1088.251,11088.251
20170424,Hold,84.51,0,0.0,131,82.941,1153.751,11153.751
20170425,Hold,84.57,0,0.0,131,82.941,1161.611,11161.611
20170426,Hold,84.75,0,0.0,131,82.941,1185.191,11185.191
20170427,Hold,85.38,0,0.0,131,82.941,1267.721,11267.721
20170428,Hold,85.78,0,0.0,131,82.941,1320.121,11320.121
20170501,Hold,86.25,0,0.0,131,82.941,1381.691,11381.691
20170502,Hold,86.79,0,0.0,131,82.941,1452.431,11452.431
20170503,Hold,86.97,0,0.0,131,82.941,1476.011,11476.011
20170504,Hold,86.75,0,0.0,131,82.941,1447.191,11447.191
20170505,Hold,86.44,0,0.0,131,82.941,1406.581,11406.581
20170508,Hold,86.93,0,0.0,131,82.941,1470.771,11470.771
20170509,Hold,87.03,0,0.0,131,82.941,1483.871,11483.871
20170510,Hold,87.38,0,0.0,131,82.941,1529.721,11529.721
20170511,Hold,87.38,0,0.0,131,82.941,1529.721,11529.721
20170512,Hold,87.97,0,0.0,131,82.941,1607.011,11607.011
20170515,Hold,89.27,0,0.0,131,82.941,1777.311,11777.311
20170516,Hold,90.01,0,0.0,131,82.941,1874.251,11874.251
20170517,Hold,89.06,0,0.0,131,82.941,1749.801,11749.801
20170518,Sell,87.88,-131,11506.52386,0,11589.465,1589.465,11589.465
20170519,Hold,90.95,0,0.0,0,11589.465,1589.465,11589.465
20170522,Hold,87.54,0,0.0,0,11589.465,1589.465,11589.465
20170523,Buy,88.73,130,-11540.667449999999,130,48.798,1583.698,11583.698
20170524,Hold,88.43,0,0.0,130,48.798,1544.698,11544.698
20170525,Hold,89.97,0,0.0,130,48.798,1744.898,11744.898
20170526,Hold,90.93,0,0.0,130,48.798,1869.698,11869.698
20170530,Hold,90.5,0,0.0,130,48.798,1813.798,11813.798
20170531,Hold,90.69,0,0.0,130,48.798,1838.498,11838.498
20170601,Hold,90.0,0,0.0,130,48.798,1748.798,11748.798
20170602,Sell,90.24,-130,11725.3344,0,11774.132,1774.132,11774.132
20170605,Hold,91.0,0,0.0,0,11774.132,1774.132,11774.132
20170606,Buy,91.0,129,-11744.869499999999,129,29.263,1768.263,11768.263
20170607,Hold,91.45,0,0.0,129,29.263,1826.313,11826.313
20170608,Hold,91.34,0,0.0,129,29.263,1812.123,11812.123
20170609,Hold,91.09,0,0.0,129,29.263,1779.873,11779.873
20170612,Sell,86.12,-129,11103.925260000002,0,11133.188,1133.188,11133.188
20170613,Hold,87.83,0,0.0,0,11133.188,1133.188,11133.188
20170614,Hold,87.69,0,0.0,0,11133.188,1133.188,11133.188
20170615,Hold,85.99,0,0.0,0,11133.188,1133.188,11133.188
20170616,Hold,86.08,0,0.0,0,11133.188,1133.188,11133.188
20170619,Hold,86.69,0,0.0,0,11133.188,1133.188,11133.188
20170620,Buy,87.63,126,-11046.900689999999,126,86.287,1127.667,11127.667
20170621,Hold,87.5,0,0.0,126,86.287,1111.287,11111.287
20170622,Hold,87.87,0,0.0,126,86.287,1157.907,11157.907
20170623,Hold,88.29,0,0.0,126,86.287,1210.827,11210.827
20170626,Hold,88.8,0,0.0,126,86.287,1275.087,11275.087
20170627,Hold,88.0,0,0.0,126,86.287,1174.287,11174.287
20170628,Hold,88.28,0,0.0,126,86.287,1209.567,11209.567
20170629,Sell,87.65,-126,11038.378050000001,0,11124.665,1124.665,11124.665
20170630,Hold,86.8,0,0.0,0,11124.665,1124.665,11124.665
20170703,Hold,87.01,0,0.0,0,11124.665,1124.665,11124.665
20170705,Hold,86.28,0,0.0,0,11124.665,1124.665,11124.665
20170706,Hold,86.62,0,0.0,0,11124.665,1124.665,11124.665
20170707,Buy,87.2,127,-11079.937199999998,127,44.728,1119.128,11119.128
20170710,Hold,87.86,0,0.0,127,44.728,1202.948,11202.948
20170711,Hold,88.26,0,0.0,127,44.728,1253.748,11253.748
20170712,Hold,89.22,0,0.0,127,44.728,1375.668,11375.668
20170713,Hold,90.56,0,0.0,127,44.728,1545.848,11545.848
20170714,Hold,89.79,0,0.0,127,44.728,1448.058,11448.058
20170717,Hold,89.98,0,0.0,127,44.728,1472.188,11472.188
20170718,Hold,89.0,0,0.0,127,44.728,1347.728,11347.728
20170719,Sell,89.35,-127,11341.776275,0,11386.504,1386.504,11386.504
20170720,Hold,89.71,0,0.0,0,11386.504,1386.504,11386.504
20170721,Buy,90.34,125,-11298.14625,125,88.358,1380.858,11380.858
20170724,Hold,89.65,0,0.0,125,88.358,1294.608,11294.608
20170725,Hold,89.73,0,0.0,125,88.358,1304.608,11304.608
20170726,Hold,90.63,0,0.0,125,88.358,1417.108,11417.108
20170727,Hold,91.25,0,0.0,125,88.358,1494.608,11494.608
20170728,Hold,90.0,0,0.0,125,88.358,1338.358,11338.358
20170731,Hold,90.81,0,0.0,125,88.358,1439.608,11439.608
20170801,Hold,91.37,0,0.0,125,88.358,1509.608,11509.608
20170802,Hold,91.35,0,0.0,125,88.358,1507.108,11507.108
20170803,Sell,90.0,-125,11244.375,0,11332.733,1332.733,11332.733
20170804,Hold,90.61,0,0.0,0,11332.733,1332.733,11332.733
20170807,Hold,90.55,0,0.0,0,11332.733,1332.733,11332.733
20170808,Hold,90.18,0,0.0,0,11332.733,1332.733,11332.733
20170809,Hold,89.64,0,0.0,0,11332.733,1332.733,11332.733
20170810,Hold,89.67,0,0.0,0,11332.733,1332.733,11332.733
20170811,Hold,87.55,0,0.0,0,11332.733,1332.733,11332.733
20170814,Hold,89.29,0,0.0,0,11332.733,1332.733,11332.733
20170815,Buy,90.35,125,-11299.396874999999,125,33.336,1327.086,11327.086
20170816,Hold,91.05,0,0.0,125,33.336,1414.586,11414.586
20170817,Hold,92.0,0,0.0,125,33.336,1533.336,11533.336
20170818,Hold,90.82,0,0.0,125,33.336,1385.836,11385.836
20170821,Hold,90.95,0,0.0,125,33.336,1402.086,11402.086
20170822,Hold,92.43,0,0.0,125,33.336,1587.086,11587.086
20170823,Hold,92.14,0,0.0,125,33.336,1550.836,11550.836
20170824,Hold,93.7,0,0.0,125,33.336,1745.836,11745.836
20170825,Hold,94.0,0,0.0,125,33.336,1783.336,11783.336
20170828,Hold,94.08,0,0.0,125,33.336,1793.336,11793.336
20170829,Hold,92.75,0,0.0,125,33.336,1627.086,11627.086
20170830,Hold,93.83,0,0.0,125,33.336,1762.086,11762.086
20170831,Hold,94.94,0,0.0,125,33.336,1900.836,11900.836
20170901,Hold,95.75,0,0.0,125,33.336,2002.086,12002.086
20170905,Hold,95.36,0,0.0,125,33.336,1953.336,11953.336
20170906,Hold,96.16,0,0.0,125,33.336,2053.336,12053.336
20170907,Hold,96.09,0,0.0,125,33.336,2044.586,12044.586
20170908,Hold,96.62,0,0.0,125,33.336,2110.836,12110.836
20170911,Hold,96.95,0,0.0,125,33.336,2152.086,12152.086
20170912,Hold,97.59,0,0.0,125,33.336,2232.086,12232.086
20170913,Hold,96.89,0,0.0,125,33.336,2144.586,12144.586
20170914,Sell,95.38,-125,11916.538750000002,0,11949.875,1949.875,11949.875
20170915,Hold,95.51,0,0.0,0,11949.875,1949.875,11949.875
20170918,Hold,94.94,0,0.0,0,11949.875,1949.875,11949.875
20170919,Hold,95.97,0,0.0,0,11949.875,1949.875,11949.875
20170920,Hold,95.08,0,0.0,0,11949.875,1949.875,11949.875
20170921,Hold,94.82,0,0.0,0,11949.875,1949.875,11949.875
20170922,Hold,94.79,0,0.0,0,11949.875,1949.875,11949.875
20170925,Hold,94.87,0,0.0,0,11949.875,1949.875,11949.875
20170926,Hold,92.95,0,0.0,0,11949.875,1949.875,11949.875
20170927,Hold,92.91,0,0.0,0,11949.875,1949.875,11949.875
20170928,Hold,93.21,0,0.0,0,11949.875,1949.875,11949.875
20170929,Hold,92.77,0,0.0,0,11949.875,1949.875,11949.875
20171002,Buy,93.72,127,-11908.39122,127,41.484,1943.924,11943.924
20171003,Hold,94.17,0,0.0,127,41.484,2001.074,12001.074
20171004,Hold,95.2,0,0.0,127,41.484,2131.884,12131.884
