,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,807.86,12,-9699.167159999999,12,300.833,-4.847,9995.153
20170111,Hold,805.0,0,0.0,12,300.833,-39.167,9960.833
20170112,Hold,807.14,0,0.0,12,300.833,-13.487,9986.513
20170113,Hold,807.48,0,0.0,12,300.833,-9.407,9990.593
20170117,Hold,807.08,0,0.0,12,300.833,-14.207,9985.793
20170118,Hold,805.81,0,0.0,12,300.833,-29.447,9970.553
20170119,Sell,805.12,-12,9656.60928,0,9957.442,-42.558,9957.442
20170120,Buy,806.91,12,-9687.76146,12,269.681,-47.399,9952.601
20170123,Sell,807.25,-12,9682.156500000001,0,9951.837,-48.163,9951.837
20170124,Buy,822.3,12,-9872.533799999997,12,79.303,-53.097,9946.903
20170125,Hold,829.62,0,0.0,12,79.303,34.743,10034.743
20170126,Hold,837.81,0,0.0,12,79.303,133.023,10133.023
20170127,Hold,834.71,0,0.0,12,79.303,95.823,10095.823
20170130,Hold,814.66,0,0.0,12,79.303,-144.777,9855.223
20170131,Sell,796.86,-12,9557.538840000001,0,9636.842,-363.158,9636.842
20170201,Hold,799.68,0,0.0,0,9636.842,-363.158,9636.842
20170202,Hold,793.8,0,0.0,0,9636.842,-363.158,9636.842
20170203,Hold,802.99,0,0.0,0,9636.842,-363.158,9636.842
20170206,Buy,799.7,12,-9601.1982,12,35.644,-367.956,9632.044
20170207,Hold,803.99,0,0.0,12,35.644,-316.476,9683.524
20170208,Hold,807.0,0,0.0,12,35.644,-280.356,9719.644
20170209,Hold,809.51,0,0.0,12,35.644,-250.236,9749.764
20170210,Hold,811.7,0,0.0,12,35.644,-223.956,9776.044
20170213,Hold,816.0,0,0.0,12,35.644,-172.356,9827.644
20170214,Hold,819.0,0,0.0,12,35.644,-136.356,9863.644
20170215,Hold,819.36,0,0.0,12,35.644,-132.036,9867.964
20170216,Hold,819.93,0,0.0,12,35.644,-125.196,9874.804
20170217,Hold,823.02,0,0.0,12,35.644,-88.116,9911.884
20170221,Hold,828.66,0,0.0,12,35.644,-20.436,9979.564
20170222,Hold,828.66,0,0.0,12,35.644,-20.436,9979.564
20170223,Hold,830.12,0,0.0,12,35.644,-2.916,9997.084
20170224,Hold,827.73,0,0.0,12,35.644,-31.596,9968.404
20170227,Hold,824.55,0,0.0,12,35.644,-69.756,9930.244
20170228,Sell,825.61,-12,9902.36634,0,9938.01,-61.99,9938.01
20170301,Hold,828.85,0,0.0,0,9938.01,-61.99,9938.01
20170302,Buy,833.85,11,-9176.936175,11,761.074,-66.576,9933.424
20170303,Hold,830.56,0,0.0,11,761.074,-102.766,9897.234
20170306,Hold,826.95,0,0.0,11,761.074,-142.476,9857.524
20170307,Sell,827.4,-11,9096.8493,0,9857.923,-142.077,9857.923
20170308,Buy,833.51,11,-9173.194305,11,684.729,-146.661,9853.339
20170309,Hold,836.0,0,0.0,11,684.729,-119.271,9880.729
20170310,Hold,843.28,0,0.0,11,684.729,-39.191,9960.809
20170313,Hold,847.753,0,0.0,11,684.729,10.012,10010.012
20170314,Hold,843.64,0,0.0,11,684.729,-35.231,9964.769
20170315,Hold,847.59,0,0.0,11,684.729,8.219,10008.219
20170316,Hold,849.03,0,0.0,11,684.729,24.059,10024.059
20170317,Hold,851.61,0,0.0,11,684.729,52.439,10052.439
20170320,Hold,850.01,0,0.0,11,684.729,34.839,10034.839
20170321,Hold,851.4,0,0.0,11,684.729,50.129,10050.129
20170322,Sell,831.91,-11,9146.434495000001,0,9831.164,-168.836,9831.164
20170323,Hold,821.0,0,0.0,0,9831.164,-168.836,9831.164
20170324,Hold,820.08,0,0.0,0,9831.164,-168.836,9831.164
20170327,Hold,806.95,0,0.0,0,9831.164,-168.836,9831.164
20170328,Hold,820.41,0,0.0,0,9831.164,-168.836,9831.164
20170329,Hold,825.0,0,0.0,0,9831.164,-168.836,9831.164
20170330,Buy,833.5,11,-9173.08425,11,658.079,-173.421,9826.579
20170331,Hold,828.97,0,0.0,11,658.079,-223.251,9776.749
20170403,Hold,829.22,0,0.0,11,658.079,-220.501,9779.499
20170404,Hold,831.36,0,0.0,11,658.079,-196.961,9803.039
