,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130109,Hold,135.81,0,0,0,10000,0.0,10000.0
20130110,Hold,135.18,0,0,0,10000,0.0,10000.0
20130111,Hold,135.93,0,0,0,10000,0.0,10000.0
20130114,Buy,135.32,73,-9883.299179999998,73,116.701,-4.939,9995.061
20130115,Hold,134.27,0,0,73,116.701,-81.589,9918.411
20130116,Sell,134.76,-73,9832.56126,0,9949.262,-50.738,9949.262
20130117,Hold,136.03,0,0,0,9949.262,-50.738,9949.262
20130118,Buy,136.17,73,-9945.380205,73,3.882,-55.708,9944.292
20130122,Hold,136.4,0,0,73,3.882,-38.918,9961.082
20130123,Hold,142.82,0,0,73,3.882,429.742,10429.742
20130124,Hold,143.11,0,0,73,3.882,450.912,10450.912
20130125,Hold,143.5,0,0,73,3.882,479.382,10479.382
20130128,Hold,143.8,0,0,73,3.882,501.282,10501.282
20130129,Hold,143.41,0,0,73,3.882,472.812,10472.812
20130130,Sell,142.99,-73,10433.050865000001,0,10436.933,436.933,10436.933
20130131,Hold,142.71,0,0,0,10436.933,436.933,10436.933
20130201,Hold,143.64,0,0,0,10436.933,436.933,10436.933
20130204,Buy,143.31,72,-10323.479159999999,72,113.454,431.774,10431.774
20130205,Sell,143.39,-72,10318.917959999999,0,10432.372,432.372,10432.372
20130206,Hold,141.6,0,0,0,10432.372,432.372,10432.372
20130207,Hold,141.4,0,0,0,10432.372,432.372,10432.372
20130208,Hold,140.95,0,0,0,10432.372,432.372,10432.372
20130211,Hold,141.99,0,0,0,10432.372,432.372,10432.372
20130212,Hold,140.98,0,0,0,10432.372,432.372,10432.372
20130213,Hold,141.43,0,0,0,10432.372,432.372,10432.372
20130214,Buy,140.77,74,-10422.18849,74,10.183,427.163,10427.163
20130215,Sell,140.95,-74,10425.08485,0,10435.268,435.268,10435.268
20130219,Hold,141.38,0,0,0,10435.268,435.268,10435.268
20130220,Buy,141.4,73,-10327.3611,73,107.907,430.107,10430.107
20130221,Sell,139.98,-73,10213.43073,0,10321.338,321.338,10321.338
20130222,Hold,140.4,0,0,0,10321.338,321.338,10321.338
20130225,Hold,142.14,0,0,0,10321.338,321.338,10321.338
20130226,Hold,139.98,0,0,0,10321.338,321.338,10321.338
20130227,Hold,140.19,0,0,0,10321.338,321.338,10321.338
20130228,Buy,142.49,72,-10264.40964,72,56.928,316.208,10316.208
20130301,Hold,141.43,0,0,72,56.928,239.888,10239.888
20130304,Hold,142.78,0,0,72,56.928,337.088,10337.088
20130305,Hold,145.07,0,0,72,56.928,501.968,10501.968
20130306,Hold,145.9,0,0,72,56.928,561.728,10561.728
20130307,Hold,146.8,0,0,72,56.928,626.528,10626.528
20130308,Hold,147.88,0,0,72,56.928,704.288,10704.288
20130311,Hold,148.03,0,0,72,56.928,715.088,10715.088
20130312,Hold,147.6,0,0,72,56.928,684.128,10684.128
20130313,Hold,148.16,0,0,72,56.928,724.448,10724.448
20130314,Hold,149.52,0,0,72,56.928,822.368,10822.368
20130315,Hold,151.8,0,0,72,56.928,986.528,10986.528
20130318,Hold,150.06,0,0,72,56.928,861.248,10861.248
20130319,Hold,150.93,0,0,72,56.928,923.888,10923.888
20130320,Hold,151.37,0,0,72,56.928,955.568,10955.568
20130321,Hold,150.09,0,0,72,56.928,863.408,10863.408
20130322,Sell,149.56,-72,10762.93584,0,10819.864,819.864,10819.864
20130325,Hold,149.79,0,0,0,10819.864,819.864,10819.864
20130326,Hold,149.26,0,0,0,10819.864,819.864,10819.864
