,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190410,Hold,47.623,0,0,0,10000,0.0,10000.0
20190411,Hold,47.377,0,0,0,10000,0.0,10000.0
20190412,Hold,47.573,0,0,0,10000,0.0,10000.0
20190415,Buy,49.819,200,-9968.7819,200,31.218,-4.982,9995.018
20190416,Hold,49.935,0,0,200,31.218,18.218,10018.218
20190417,Hold,50.142,0,0,200,31.218,59.618,10059.618
20190418,Hold,49.64,0,0,200,31.218,-40.782,9959.218
20190422,Sell,48.891,-200,9773.310899999999,0,9804.529,-195.471,9804.529
20190423,Hold,48.729,0,0,0,9804.529,-195.471,9804.529
20190424,Hold,48.899,0,0,0,9804.529,-195.471,9804.529
20190425,Hold,47.429,0,0,0,9804.529,-195.471,9804.529
20190426,Hold,47.036,0,0,0,9804.529,-195.471,9804.529
20190429,Hold,46.825,0,0,0,9804.529,-195.471,9804.529
20190430,Hold,47.429,0,0,0,9804.529,-195.471,9804.529
20190501,Buy,48.33,202,-9767.54133,202,36.988,-200.352,9799.648
20190502,Hold,47.242,0,0,202,36.988,-420.128,9579.872
20190503,Sell,45.251,-202,9136.131648999999,0,9173.119,-826.881,9173.119
20190506,Hold,44.358,0,0,0,9173.119,-826.881,9173.119
20190507,Hold,44.961,0,0,0,9173.119,-826.881,9173.119
20190508,Hold,45.362,0,0,0,9173.119,-826.881,9173.119
20190509,Hold,44.452,0,0,0,9173.119,-826.881,9173.119
20190510,Hold,45.03,0,0,0,9173.119,-826.881,9173.119
20190513,Hold,44.468,0,0,0,9173.119,-826.881,9173.119
20190514,Hold,43.658,0,0,0,9173.119,-826.881,9173.119
20190515,Hold,44.215,0,0,0,9173.119,-826.881,9173.119
20190516,Hold,45.327,0,0,0,9173.119,-826.881,9173.119
20190517,Buy,44.52,205,-9131.1633,205,41.956,-831.444,9168.556
20190520,Sell,42.87,-205,8783.955825000001,0,8825.912,-1174.088,8825.912
20190521,Hold,42.768,0,0,0,8825.912,-1174.088,8825.912
