,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,87.656,114,-9997.780392,114,2.22,-4.996,9995.004
20150112,Hold,88.25,0,0.0,114,2.22,62.72,10062.72
20150113,Hold,88.802,0,0.0,114,2.22,125.648,10125.648
20150114,Hold,87.608,0,0.0,114,2.22,-10.468,9989.532
20150115,Sell,88.179,-114,10047.379797000001,0,10049.599,49.599,10049.599
20150116,Hold,87.608,0,0.0,0,10049.599,49.599,10049.599
20150120,Buy,88.746,113,-10033.312148999998,113,16.287,44.585,10044.585
20150121,Sell,87.953,-113,9933.719655500001,0,9950.007,-49.993,9950.007
20150122,Buy,88.15,112,-9877.7364,112,72.271,-54.929,9945.071
20150123,Hold,88.467,0,0.0,112,72.271,-19.425,9980.575
20150126,Hold,88.03,0,0.0,112,72.271,-68.369,9931.631
20150127,Sell,87.618,-112,9808.309392000001,0,9880.58,-119.42,9880.58
20150128,Hold,87.739,0,0.0,0,9880.58,-119.42,9880.58
20150129,Hold,86.771,0,0.0,0,9880.58,-119.42,9880.58
20150130,Hold,86.21,0,0.0,0,9880.58,-119.42,9880.58
20150202,Hold,85.093,0,0.0,0,9880.58,-119.42,9880.58
20150203,Hold,86.147,0,0.0,0,9880.58,-119.42,9880.58
20150204,Buy,92.634,106,-9824.113602,106,56.466,-124.33,9875.67
20150205,Hold,93.91,0,0.0,106,56.466,10.926,10010.926
20150206,Hold,95.695,0,0.0,106,56.466,200.136,10200.136
20150209,Hold,94.877,0,0.0,106,56.466,113.428,10113.428
20150210,Hold,95.02,0,0.0,106,56.466,128.586,10128.586
20150211,Hold,94.936,0,0.0,106,56.466,119.682,10119.682
20150212,Hold,95.21,0,0.0,106,56.466,148.726,10148.726
20150213,Hold,96.667,0,0.0,106,56.466,303.168,10303.168
20150217,Hold,97.153,0,0.0,106,56.466,354.684,10354.684
20150218,Hold,96.369,0,0.0,106,56.466,271.58,10271.58
20150219,Hold,96.929,0,0.0,106,56.466,330.94,10330.94
20150220,Hold,96.725,0,0.0,106,56.466,309.316,10309.316
20150223,Hold,97.63,0,0.0,106,56.466,405.246,10405.246
20150224,Hold,97.445,0,0.0,106,56.466,385.636,10385.636
20150225,Hold,97.552,0,0.0,106,56.466,396.978,10396.978
20150226,Hold,98.328,0,0.0,106,56.466,479.234,10479.234
20150227,Hold,97.542,0,0.0,106,56.466,395.918,10395.918
