,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Hold,507.84,0,0,0,10000,0.0,10000.0
20210112,Hold,500.0,0,0,0,10000,0.0,10000.0
20210113,Hold,495.5012,0,0,0,10000,0.0,10000.0
20210114,Buy,507.35,19,-9644.469824999998,19,355.53,-4.82,9995.18
20210115,Hold,500.0,0,0,19,355.53,-144.47,9855.53
20210119,Hold,501.0,0,0,19,355.53,-125.47,9874.53
20210120,Hold,565.42,0,0,19,355.53,1098.51,11098.51
20210121,Hold,582.45,0,0,19,355.53,1422.08,11422.08
20210122,Hold,582.1,0,0,19,355.53,1415.43,11415.43
20210125,Hold,567.0,0,0,19,355.53,1128.53,11128.53
20210126,Hold,554.73,0,0,19,355.53,895.4,10895.4
20210127,Sell,550.71,-19,10458.258255000002,0,10813.788,813.788,10813.788
20210128,Hold,535.88,0,0,0,10813.788,813.788,10813.788
20210129,Hold,538.0,0,0,0,10813.788,813.788,10813.788
20210201,Hold,536.79,0,0,0,10813.788,813.788,10813.788
20210202,Hold,542.01,0,0,0,10813.788,813.788,10813.788
20210203,Buy,550.17,19,-10458.456615,19,355.332,808.562,10808.562
20210204,Hold,539.81,0,0,19,355.332,611.722,10611.722
20210205,Hold,552.26,0,0,19,355.332,848.272,10848.272
20210208,Hold,555.0,0,0,19,355.332,900.332,10900.332
20210209,Hold,546.0,0,0,19,355.332,729.332,10729.332
20210210,Hold,562.5,0,0,19,355.332,1042.832,11042.832
20210211,Hold,564.442,0,0,19,355.332,1079.73,11079.73
20210212,Hold,556.94,0,0,19,355.332,937.192,10937.192
20210216,Hold,557.286,0,0,19,355.332,943.766,10943.766
20210217,Sell,550.99,-19,10463.575595,0,10818.907,818.907,10818.907
20210218,Hold,549.0,0,0,0,10818.907,818.907,10818.907
20210219,Hold,548.0,0,0,0,10818.907,818.907,10818.907
20210222,Hold,534.99,0,0,0,10818.907,818.907,10818.907
20210223,Hold,525.0035,0,0,0,10818.907,818.907,10818.907
20210224,Hold,539.8,0,0,0,10818.907,818.907,10818.907
20210225,Buy,550.27,19,-10460.357564999998,19,358.55,813.68,10813.68
20210226,Hold,546.51,0,0,19,358.55,742.24,10742.24
20210301,Hold,545.5734,0,0,19,358.55,724.444,10724.444
20210302,Hold,553.34,0,0,19,358.55,872.01,10872.01
20210303,Hold,545.93,0,0,19,358.55,731.22,10731.22
20210304,Sell,521.5,-19,9903.545750000001,0,10262.096,262.096,10262.096
20210305,Hold,511.98,0,0,0,10262.096,262.096,10262.096
20210308,Hold,514.46,0,0,0,10262.096,262.096,10262.096
20210309,Hold,507.31,0,0,0,10262.096,262.096,10262.096
20210310,Hold,513.5,0,0,0,10262.096,262.096,10262.096
20210311,Buy,512.2048,20,-10249.218047999999,20,12.878,256.974,10256.974
20210312,Hold,512.5,0,0,20,12.878,262.878,10262.878
