,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,93.958,106,-9964.527774,106,35.472,-4.98,9995.02
20150112,Hold,93.894,0,0.0,106,35.472,-11.764,9988.236
20150113,Hold,95.572,0,0.0,106,35.472,166.104,10166.104
20150114,Hold,93.463,0,0.0,106,35.472,-57.45,9942.55
20150115,Sell,91.385,-106,9681.966595000002,0,9717.439,-282.561,9717.439
20150116,Hold,89.966,0,0.0,0,9717.439,-282.561,9717.439
20150120,Hold,92.258,0,0.0,0,9717.439,-282.561,9717.439
20150121,Hold,90.701,0,0.0,0,9717.439,-282.561,9717.439
20150122,Hold,91.377,0,0.0,0,9717.439,-282.561,9717.439
20150123,Buy,92.439,105,-9710.948047499998,105,6.491,-287.414,9712.586
20150126,Hold,91.377,0,0.0,105,6.491,-398.924,9601.076
20150127,Hold,91.42,0,0.0,105,6.491,-394.409,9605.591
20150128,Hold,93.051,0,0.0,105,6.491,-223.154,9776.846
20150129,Hold,93.359,0,0.0,105,6.491,-190.814,9809.186
20150130,Hold,93.638,0,0.0,105,6.491,-161.519,9838.481
20150202,Hold,92.87,0,0.0,105,6.491,-242.159,9757.841
20150203,Sell,92.121,-105,9667.868647500001,0,9674.359,-325.641,9674.359
20150204,Hold,91.674,0,0.0,0,9674.359,-325.641,9674.359
20150205,Hold,93.243,0,0.0,0,9674.359,-325.641,9674.359
20150206,Buy,93.088,103,-9592.858031999998,103,81.501,-330.435,9669.565
20150209,Hold,92.483,0,0.0,103,81.501,-392.75,9607.25
20150210,Sell,92.611,-103,9534.163533500001,0,9615.665,-384.335,9615.665
20150211,Buy,94.289,101,-9527.9505945,101,87.714,-389.097,9610.903
20150212,Hold,93.712,0,0.0,101,87.714,-447.374,9552.626
20150213,Hold,93.332,0,0.0,101,87.714,-485.754,9514.246
20150217,Hold,93.243,0,0.0,101,87.714,-494.743,9505.257
20150218,Sell,93.923,-101,9481.4798885,0,9569.194,-430.806,9569.194
20150219,Buy,95.314,100,-9536.1657,100,33.029,-435.571,9564.429
20150220,Hold,95.044,0,0.0,100,33.029,-462.571,9537.429
20150223,Hold,95.601,0,0.0,100,33.029,-406.871,9593.129
20150224,Hold,96.497,0,0.0,100,33.029,-317.271,9682.729
20150225,Hold,96.526,0,0.0,100,33.029,-314.371,9685.629
20150226,Hold,96.866,0,0.0,100,33.029,-280.371,9719.629
20150227,Hold,96.968,0,0.0,100,33.029,-270.171,9729.829
20150302,Sell,95.024,-100,9497.6488,0,9530.677,-469.323,9530.677
20150303,Hold,97.485,0,0.0,0,9530.677,-469.323,9530.677
20150304,Hold,95.24,0,0.0,0,9530.677,-469.323,9530.677
20150305,Hold,96.72,0,0.0,0,9530.677,-469.323,9530.677
20150306,Buy,96.128,99,-9521.430336,99,9.247,-474.081,9525.919
20150309,Sell,94.55,-99,9355.769774999999,0,9365.017,-634.983,9365.017
20150310,Hold,94.133,0,0.0,0,9365.017,-634.983,9365.017
20150311,Hold,92.668,0,0.0,0,9365.017,-634.983,9365.017
20150312,Hold,91.819,0,0.0,0,9365.017,-634.983,9365.017
20150313,Buy,93.958,99,-9306.492921000001,99,58.524,-639.634,9360.366
20150316,Hold,93.913,0,0.0,99,58.524,-644.089,9355.911
20150317,Hold,94.965,0,0.0,99,58.524,-539.941,9460.059
20150318,Hold,95.542,0,0.0,99,58.524,-482.818,9517.182
20150319,Hold,95.551,0,0.0,99,58.524,-481.927,9518.073
20150320,Hold,97.653,0,0.0,99,58.524,-273.829,9726.171
20150323,Hold,97.74,0,0.0,99,58.524,-265.216,9734.784
20150324,Hold,97.153,0,0.0,99,58.524,-323.329,9676.671
20150325,Hold,97.249,0,0.0,99,58.524,-313.825,9686.175
20150326,Sell,94.133,-99,9314.5074165,0,9373.031,-626.969,9373.031
20150327,Hold,94.09,0,0.0,0,9373.031,-626.969,9373.031
20150330,Hold,95.165,0,0.0,0,9373.031,-626.969,9373.031
20150331,Hold,95.766,0,0.0,0,9373.031,-626.969,9373.031
20150401,Hold,93.789,0,0.0,0,9373.031,-626.969,9373.031
20150402,Hold,93.799,0,0.0,0,9373.031,-626.969,9373.031
20150406,Hold,93.692,0,0.0,0,9373.031,-626.969,9373.031
20150407,Hold,94.241,0,0.0,0,9373.031,-626.969,9373.031
20150408,Hold,92.89,0,0.0,0,9373.031,-626.969,9373.031
20150409,Hold,93.359,0,0.0,0,9373.031,-626.969,9373.031
20150410,Hold,92.989,0,0.0,0,9373.031,-626.969,9373.031
20150413,Hold,93.73,0,0.0,0,9373.031,-626.969,9373.031
20150414,Buy,93.712,99,-9282.126744000001,99,90.905,-631.607,9368.393
20150415,Sell,92.551,-99,9157.9677255,0,9248.872,-751.128,9248.872
20150416,Hold,92.612,0,0.0,0,9248.872,-751.128,9248.872
20150417,Buy,93.369,99,-9248.1527655,99,0.719,-755.75,9244.25
20150420,Hold,93.527,0,0.0,99,0.719,-740.108,9259.892
20150421,Hold,93.48,0,0.0,99,0.719,-744.761,9255.239
20150422,Hold,92.567,0,0.0,99,0.719,-835.148,9164.852
20150423,Hold,100.04,0,0.0,99,0.719,-95.321,9904.679
20150424,Hold,102.9,0,0.0,99,0.719,187.819,10187.819
20150427,Hold,106.41,0,0.0,99,0.719,535.309,10535.309
20150428,Hold,103.23,0,0.0,99,0.719,220.489,10220.489
20150429,Hold,103.92,0,0.0,99,0.719,288.799,10288.799
20150430,Sell,101.79,-99,10072.171395000001,0,10072.891,72.891,10072.891
20150501,Hold,101.54,0,0.0,0,10072.891,72.891,10072.891
20150504,Hold,101.78,0,0.0,0,10072.891,72.891,10072.891
20150505,Hold,100.93,0,0.0,0,10072.891,72.891,10072.891
20150506,Hold,99.257,0,0.0,0,10072.891,72.891,10072.891
20150507,Hold,99.04,0,0.0,0,10072.891,72.891,10072.891
20150508,Buy,102.14,98,-10014.724859999998,98,58.166,67.886,10067.886
20150511,Hold,102.08,0,0.0,98,58.166,62.006,10062.006
20150512,Hold,102.11,0,0.0,98,58.166,64.946,10064.946
20150513,Hold,101.99,0,0.0,98,58.166,53.186,10053.186
20150514,Hold,102.28,0,0.0,98,58.166,81.606,10081.606
20150515,Hold,103.13,0,0.0,98,58.166,164.906,10164.906
20150518,Hold,103.15,0,0.0,98,58.166,166.866,10166.866
20150519,Hold,104.12,0,0.0,98,58.166,261.926,10261.926
20150520,Hold,103.18,0,0.0,98,58.166,169.806,10169.806
20150521,Hold,102.93,0,0.0,98,58.166,145.306,10145.306
20150522,Sell,102.97,-98,10086.01447,0,10144.18,144.18,10144.18
20150526,Hold,101.78,0,0.0,0,10144.18,144.18,10144.18
20150527,Hold,101.51,0,0.0,0,10144.18,144.18,10144.18
20150528,Hold,102.18,0,0.0,0,10144.18,144.18,10144.18
20150529,Hold,102.09,0,0.0,0,10144.18,144.18,10144.18
20150601,Hold,102.53,0,0.0,0,10144.18,144.18,10144.18
20150602,Buy,101.46,99,-10049.562269999999,99,94.618,139.158,10139.158
20150603,Hold,102.45,0,0.0,99,94.618,237.168,10237.168
20150604,Hold,101.73,0,0.0,99,94.618,165.888,10165.888
20150605,Hold,101.82,0,0.0,99,94.618,174.798,10174.798
20150608,Hold,102.64,0,0.0,99,94.618,255.978,10255.978
20150609,Hold,102.87,0,0.0,99,94.618,278.748,10278.748
20150610,Hold,103.38,0,0.0,99,94.618,329.238,10329.238
20150611,Hold,105.44,0,0.0,99,94.618,533.178,10533.178
20150612,Hold,104.71,0,0.0,99,94.618,460.908,10460.908
20150615,Hold,104.23,0,0.0,99,94.618,413.388,10413.388
20150616,Hold,103.67,0,0.0,99,94.618,357.948,10357.948
20150617,Sell,103.26,-99,10217.628630000001,0,10312.247,312.247,10312.247
20150618,Hold,104.41,0,0.0,0,10312.247,312.247,10312.247
20150619,Buy,105.71,97,-10258.996935,97,53.25,307.12,10307.12
20150622,Hold,105.79,0,0.0,97,53.25,314.88,10314.88
20150623,Hold,106.92,0,0.0,97,53.25,424.49,10424.49
20150624,Hold,106.3,0,0.0,97,53.25,364.35,10364.35
20150625,Sell,105.29,-97,10208.023435000001,0,10261.273,261.273,10261.273
20150626,Hold,105.46,0,0.0,0,10261.273,261.273,10261.273
20150629,Buy,105.18,97,-10207.561230000001,97,53.712,256.172,10256.172
20150630,Hold,107.05,0,0.0,97,53.712,437.562,10437.562
20150701,Hold,107.65,0,0.0,97,53.712,495.762,10495.762
20150702,Hold,107.56,0,0.0,97,53.712,487.032,10487.032
