,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Hold,76.828,0,0,0,10000,0.0,10000.0
20140110,Hold,76.5,0,0,0,10000,0.0,10000.0
20140113,Hold,76.5,0,0,0,10000,0.0,10000.0
20140114,Hold,75.685,0,0,0,10000,0.0,10000.0
20140115,Hold,76.229,0,0,0,10000,0.0,10000.0
20140116,Hold,76.156,0,0,0,10000,0.0,10000.0
20140117,Hold,76.651,0,0,0,10000,0.0,10000.0
20140121,Buy,76.127,131,-9977.623318499998,131,22.377,-4.986,9995.014
20140122,Sell,75.894,-131,9937.142943000003,0,9959.52,-40.48,9959.52
20140123,Hold,75.478,0,0,0,9959.52,-40.48,9959.52
20140124,Hold,75.598,0,0,0,9959.52,-40.48,9959.52
20140127,Hold,75.256,0,0,0,9959.52,-40.48,9959.52
20140128,Hold,75.301,0,0,0,9959.52,-40.48,9959.52
20140129,Hold,75.006,0,0,0,9959.52,-40.48,9959.52
20140130,Hold,74.551,0,0,0,9959.52,-40.48,9959.52
20140131,Hold,74.28,0,0,0,9959.52,-40.48,9959.52
20140203,Hold,75.47,0,0,0,9959.52,-40.48,9959.52
20140204,Hold,74.131,0,0,0,9959.52,-40.48,9959.52
20140205,Hold,74.055,0,0,0,9959.52,-40.48,9959.52
20140206,Hold,74.936,0,0,0,9959.52,-40.48,9959.52
20140207,Buy,75.868,131,-9943.677353999998,131,15.842,-45.45,9954.55
20140210,Hold,76.438,0,0,131,15.842,29.22,10029.22
20140211,Hold,75.885,0,0,131,15.842,-43.223,9956.777
20140212,Hold,76.188,0,0,131,15.842,-3.53,9996.47
20140213,Hold,75.59,0,0,131,15.842,-81.868,9918.132
20140214,Sell,76.075,-131,9960.842087500001,0,9976.684,-23.316,9976.684
20140218,Buy,76.66,130,-9970.782899999998,130,5.901,-28.299,9971.701
20140219,Hold,76.46,0,0,130,5.901,-54.299,9945.701
20140220,Hold,76.366,0,0,130,5.901,-66.519,9933.481
20140221,Hold,76.668,0,0,130,5.901,-27.259,9972.741
20140224,Hold,76.974,0,0,130,5.901,12.521,10012.521
20140225,Hold,77.004,0,0,130,5.901,16.421,10016.421
20140226,Hold,77.137,0,0,130,5.901,33.711,10033.711
20140227,Hold,76.675,0,0,130,5.901,-26.349,9973.651
20140228,Sell,76.572,-130,9949.38282,0,9955.284,-44.716,9955.284
20140303,Hold,75.87,0,0,0,9955.284,-44.716,9955.284
20140304,Hold,76.684,0,0,0,9955.284,-44.716,9955.284
20140305,Hold,76.764,0,0,0,9955.284,-44.716,9955.284
20140306,Buy,76.532,130,-9954.13458,130,1.15,-49.69,9950.31
20140307,Hold,77.117,0,0,130,1.15,26.36,10026.36
20140310,Hold,76.692,0,0,130,1.15,-28.89,9971.11
20140311,Hold,77.179,0,0,130,1.15,34.42,10034.42
20140312,Hold,79.283,0,0,130,1.15,307.94,10307.94
20140313,Hold,79.622,0,0,130,1.15,352.01,10352.01
20140314,Hold,78.249,0,0,130,1.15,173.52,10173.52
20140317,Hold,79.011,0,0,130,1.15,272.58,10272.58
20140318,Sell,78.741,-130,10231.211835,0,10232.362,232.362,10232.362
20140319,Hold,78.311,0,0,0,10232.362,232.362,10232.362
20140320,Hold,77.24,0,0,0,10232.362,232.362,10232.362
20140321,Hold,78.271,0,0,0,10232.362,232.362,10232.362
20140324,Hold,77.363,0,0,0,10232.362,232.362,10232.362
20140325,Hold,77.643,0,0,0,10232.362,232.362,10232.362
20140326,Hold,77.319,0,0,0,10232.362,232.362,10232.362
20140327,Hold,77.103,0,0,0,10232.362,232.362,10232.362
20140328,Buy,77.506,131,-10158.362643,131,73.999,227.285,10227.285
20140331,Hold,78.45,0,0,131,73.999,350.949,10350.949
20140401,Hold,78.981,0,0,131,73.999,420.51,10420.51
20140402,Hold,79.019,0,0,131,73.999,425.488,10425.488
20140403,Hold,78.924,0,0,131,73.999,413.043,10413.043
20140404,Hold,78.714,0,0,131,73.999,385.533,10385.533
20140407,Hold,78.559,0,0,131,73.999,365.228,10365.228
20140408,Sell,78.078,-131,10223.103891,0,10297.103,297.103,10297.103
20140409,Buy,78.963,130,-10270.322594999998,130,26.78,291.97,10291.97
20140410,Hold,79.341,0,0,130,26.78,341.11,10341.11
20140411,Hold,79.817,0,0,130,26.78,402.99,10402.99
20140414,Hold,80.235,0,0,130,26.78,457.33,10457.33
20140415,Hold,80.972,0,0,130,26.78,553.14,10553.14
20140416,Hold,81.316,0,0,130,26.78,597.86,10597.86
20140417,Hold,81.093,0,0,130,26.78,568.87,10568.87
20140421,Hold,80.349,0,0,130,26.78,472.15,10472.15
20140422,Sell,80.518,-130,10462.10633,0,10488.887,488.887,10488.887
20140423,Hold,79.99,0,0,0,10488.887,488.887,10488.887
20140424,Hold,80.122,0,0,0,10488.887,488.887,10488.887
20140425,Hold,80.388,0,0,0,10488.887,488.887,10488.887
20140428,Buy,81.298,128,-10411.347072,128,77.539,483.683,10483.683
20140429,Hold,80.68,0,0,128,77.539,404.579,10404.579
20140430,Hold,81.762,0,0,128,77.539,543.075,10543.075
20140501,Hold,81.044,0,0,128,77.539,451.171,10451.171
20140502,Hold,81.33,0,0,128,77.539,487.779,10487.779
20140505,Hold,81.563,0,0,128,77.539,517.603,10517.603
20140506,Hold,81.359,0,0,128,77.539,491.491,10491.491
20140507,Sell,81.524,-128,10429.854464,0,10507.394,507.394,10507.394
20140508,Buy,82.112,127,-10433.438112,127,73.956,502.18,10502.18
20140509,Hold,82.008,0,0,127,73.956,488.972,10488.972
20140512,Hold,82.891,0,0,127,73.956,601.113,10601.113
20140513,Hold,83.176,0,0,127,73.956,637.308,10637.308
20140514,Hold,83.486,0,0,127,73.956,676.678,10676.678
20140515,Hold,82.739,0,0,127,73.956,581.809,10581.809
20140516,Sell,82.565,-127,10480.5121225,0,10554.468,554.468,10554.468
20140519,Hold,82.774,0,0,0,10554.468,554.468,10554.468
20140520,Hold,82.155,0,0,0,10554.468,554.468,10554.468
20140521,Hold,81.892,0,0,0,10554.468,554.468,10554.468
20140522,Hold,82.648,0,0,0,10554.468,554.468,10554.468
20140523,Buy,82.539,127,-10487.6942265,127,66.774,549.227,10549.227
20140527,Hold,82.275,0,0,127,66.774,515.699,10515.699
20140528,Hold,82.657,0,0,127,66.774,564.213,10564.213
20140529,Hold,82.189,0,0,127,66.774,504.777,10504.777
20140530,Sell,82.17,-127,10430.372205000001,0,10497.146,497.146,10497.146
20140602,Buy,82.284,127,-10455.293034,127,41.853,491.921,10491.921
20140603,Hold,82.496,0,0,127,41.853,518.845,10518.845
20140604,Hold,82.26,0,0,127,41.853,488.873,10488.873
